cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0486	5666	3638	2028
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0486	8065	5186	2879
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,0486	17946	11853	6093
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,0486	6305	3946	2359
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,0486	5154	3085	2069
L00069	2	-46,6240453	-23,5332439	1765	0,1133	0,0972	3469	2192	1277
L00077	3	-46,6228821	-23,5238878	3089	0,0971	0,1458	5985	3756	2229
L00088	2	-46,6217269	-23,5533444	1019	0,1963	0,0972	1932	1238	694
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0486	4753	2932	1821
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,0486	3331	2227	1104
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,0486	7905	5265	2640
L05553	2	-46,4351534	-23,5022679	3506	0,057	0,0972	6236	4381	1855
L05554	2	-46,4441795	-23,4982353	3546	0,0564	0,0972	6065	4260	1805
L05555	2	-46,4398111	-23,5068607	1270	0,1575	0,0972	2259	1566	693
L05556	2	-46,4403512	-23,4942325	2553	0,0783	0,0972	4433	3067	1366
L05560	2	-46,4200805	-23,5177469	783	0,2554	0,0972	1422	1053	369
L05561	5	-46,4389924	-23,5145862	3097	0,1614	0,2431	5489	4147	1342
L05562	2	-46,4459517	-23,5057536	2705	0,0739	0,0972	4642	3367	1275
L05563	4	-46,4331534	-23,4945484	2753	0,1453	0,1945	4924	3393	1531
L05564	4	-46,4259779	-23,5162635	4083	0,098	0,1945	6687	5009	1678
L05565	2	-46,4195668	-23,5172129	2191	0,0913	0,0972	3749	2826	923
L05567	1	-46,4215117	-23,5013996	3622	0,0276	0,0486	6083	4594	1489
L05568	1	-46,4300003	-23,4998815	2971	0,0337	0,0486	5227	3654	1573
L05570	4	-46,4345329	-23,5094734	3688	0,1085	0,1945	6309	4565	1744
L05571	2	-46,4218866	-23,5204965	2679	0,0747	0,0972	4440	3324	1116
L05573	2	-46,4192720	-23,4963124	2328	0,0859	0,0972	4347	2982	1365
L05578	1	-46,4526050	-23,5387875	2564	0,039	0,0486	4882	3187	1695
L05579	4	-46,4415141	-23,5227656	2072	0,1931	0,1945	3867	2846	1021
L05580	3	-46,4367093	-23,5286893	3428	0,0875	0,1458	6257	4314	1943
L05581	85	-46,4522081	-23,5171617	3935	2,1601	4,1322	6924	5015	1909
L05584	10	-46,4623208	-23,5289299	3239	0,3087	0,4861	5568	4191	1377
L05585	3	-46,4451845	-23,5472188	2365	0,1268	0,1458	4123	3094	1029
L05586	4	-46,4459252	-23,5256810	2399	0,1667	0,1945	4163	3117	1046
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,0486	5471	4127	1344
L05588	1	-46,4326641	-23,5174330	2595	0,0385	0,0486	4297	3303	994
L05589	2	-46,4544868	-23,5471412	2039	0,0981	0,0972	3417	2606	811
L05590	2	-46,4560761	-23,5496358	3285	0,0609	0,0972	6239	4284	1955
L05591	3	-46,4544144	-23,5410443	3621	0,0829	0,1458	6839	4640	2199
L05592	10	-46,4528483	-23,5265608	3373	0,2965	0,4861	6254	4448	1806
L05593	95	-46,4528982	-23,5182408	3494	2,7189	4,6184	6309	4695	1614
L05594	2	-46,4618318	-23,5393802	2228	0,0898	0,0972	3850	2859	991
L05595	2	-46,4580805	-23,5512840	2564	0,078	0,0972	4400	3342	1058
L05596	7	-46,4536228	-23,5552304	3671	0,1907	0,3403	6672	4852	1820
L05597	16	-46,4601240	-23,5260232	3143	0,5091	0,7778	5422	4051	1371
L05598	134	-46,4625526	-23,5168760	2035	6,5848	6,5143	3550	2651	899
L05599	2	-46,4443340	-23,5321000	3793	0,0527	0,0972	6860	4712	2148
L05600	3	-46,4589975	-23,5302914	3067	0,0978	0,1458	5494	3916	1578
L05601	2	-46,4359061	-23,5226454	2327	0,0859	0,0972	4159	3108	1051
L05602	4	-46,4402958	-23,5148095	3394	0,1179	0,1945	6298	4377	1921
L05603	1	-46,4430227	-23,5314831	2610	0,0383	0,0486	4621	3404	1217
L05605	1	-46,4587342	-23,5292643	947	0,1056	0,0486	1607	1196	411
L05607	5	-46,4470139	-23,5216112	1268	0,3943	0,2431	2275	1708	567
L05610	28	-46,4554689	-23,5282555	6146	0,4556	1,3612	10609	7693	2916
L05719	1	-46,6976578	-23,5648688	2714	0,0368	0,0486	4719	3052	1667
L05720	1	-46,5018743	-23,5298075	832	0,1202	0,0486	1456	1081	375
L05722	2	-46,5000225	-23,5253888	2828	0,0707	0,0972	4665	3627	1038
L05723	1	-46,5331739	-23,5220975	2306	0,0434	0,0486	3823	2837	986
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,0486	7112	4601	2511
L05734	2	-46,5478984	-23,5284411	2172	0,0921	0,0972	4014	2746	1268
L05736	2	-46,5179226	-23,5228086	3663	0,0546	0,0972	6711	4640	2071
L05737	2	-46,4989941	-23,5275262	2079	0,0962	0,0972	3862	2632	1230
L05739	1	-46,4991515	-23,5296706	3000	0,0333	0,0486	5527	3909	1618
L05740	1	-46,5095310	-23,5250203	3929	0,0255	0,0486	7326	4889	2437
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,0486	5266	3603	1663
L05744	4	-46,5317318	-23,5311949	1071	0,3735	0,1945	1768	1306	462
L05745	5	-46,5393250	-23,5309129	2457	0,2035	0,2431	4417	3008	1409
L05746	3	-46,5505175	-23,5250578	1516	0,1979	0,1458	2837	1855	982
L05747	7	-46,5214246	-23,5293125	1229	0,5696	0,3403	2257	1504	753
L05753	1	-46,5571310	-23,5490160	3586	0,0279	0,0486	6008	4212	1796
L05754	1	-46,5702535	-23,5486528	3035	0,0329	0,0486	4571	3526	1045
L05759	1	-46,5311184	-23,5605521	2832	0,0353	0,0486	5109	3500	1609
L05760	3	-46,4984532	-23,5847269	4733	0,0634	0,1458	8851	6109	2742
L05761	2	-46,5547639	-23,5507972	2499	0,08	0,0972	4611	3030	1581
L05767	1	-46,5144520	-23,5672180	1865	0,0536	0,0486	3112	2401	711
L05772	1	-46,5679267	-23,5325642	2271	0,044	0,0486	4284	2700	1584
L05779	1	-46,5006634	-23,5840738	2450	0,0408	0,0486	4426	3133	1293
L05789	3	-46,5161156	-23,5584076	585	0,5128	0,1458	915	734	181
L05800	1	-46,6048519	-23,5043234	2579	0,0388	0,0486	4629	3241	1388
L05808	1	-46,5892786	-23,5184715	2964	0,0337	0,0486	5799	3706	2093
L05809	1	-46,5863582	-23,5062229	1595	0,0627	0,0486	2902	1932	970
L05811	1	-46,5847966	-23,5140241	2439	0,041	0,0486	4518	2999	1519
L05812	1	-46,5733059	-23,5126116	2290	0,0437	0,0486	4034	2934	1100
L05814	2	-46,6049224	-23,5160697	1794	0,1115	0,0972	3377	2233	1144
L05816	1	-46,5824545	-23,5151915	4574	0,0219	0,0486	8444	5563	2881
L05819	4	-46,5825547	-23,5256742	2853	0,1402	0,1945	5154	3537	1617
L05822	4	-46,5755961	-23,5193541	2191	0,1826	0,1945	3907	2794	1113
L05826	1	-46,5569370	-23,5174260	1028	0,0973	0,0486	1887	1420	467
L05842	2	-46,6566659	-23,5007326	1397	0,1432	0,0972	2475	1764	711
L05843	1	-46,6732228	-23,5017435	1901	0,0526	0,0486	3104	2323	781
L05847	1	-46,6551176	-23,4983123	3654	0,0274	0,0486	6457	4489	1968
L05859	1	-46,6755514	-23,4980697	2950	0,0339	0,0486	5525	3700	1825
L05860	2	-46,6806536	-23,4985927	2933	0,0682	0,0972	5335	3608	1727
L05867	1	-46,6611936	-23,4979397	2374	0,0421	0,0486	4516	2931	1585
L05870	2	-46,6722354	-23,4967228	2389	0,0837	0,0972	4246	3161	1085
L05874	1	-46,6665068	-23,4702189	3203	0,0312	0,0486	5602	3899	1703
L05879	1	-46,6100888	-23,4531726	1472	0,0679	0,0486	2453	1731	722
L05882	1	-46,6215526	-23,4621730	2370	0,0422	0,0486	3968	2787	1181
L05889	1	-46,6306396	-23,4568482	2624	0,0381	0,0486	4737	3252	1485
L05931	2	-46,5593803	-23,5886767	2087	0,0958	0,0972	3493	2634	859
L05943	1	-46,5480300	-23,5998140	3286	0,0304	0,0486	5695	4099	1596
L05944	1	-46,5421787	-23,5921449	3003	0,0333	0,0486	5738	3791	1947
L06009	1	-46,6344182	-23,5944514	2798	0,0357	0,0486	4833	3210	1623
L06016	1	-46,6492475	-23,5982808	2316	0,0432	0,0486	4108	2664	1444
L06039	1	-46,6072382	-23,5903260	2134	0,0469	0,0486	3877	2517	1360
L06054	3	-46,6080780	-23,6028560	3098	0,0968	0,1458	5810	3763	2047
L06691	1	-46,6914688	-23,7136432	2546	0,0393	0,0486	4232	3121	1111
L07583	1	-46,6477955	-23,6558420	3661	0,0273	0,0486	6289	4390	1899
L07673	1	-46,7258835	-23,4822099	1763	0,0567	0,0486	3138	2256	882
L07689	6	-46,4919582	-23,5063549	2108	0,2846	0,2917	3605	2714	891
L07693	1	-46,4705358	-23,4926534	4113	0,0243	0,0486	7400	5306	2094
L07695	2	-46,4925761	-23,4889873	3199	0,0625	0,0972	5543	4116	1427
L07699	2	-46,4816039	-23,4998180	2953	0,0677	0,0972	5279	3696	1583
L07700	2	-46,4851971	-23,4905377	3489	0,0573	0,0972	6056	4395	1661
L07702	2	-46,4749626	-23,4875229	2327	0,0859	0,0972	4070	2936	1134
L07703	1	-46,4731818	-23,5027056	2186	0,0457	0,0486	3519	2750	769
L07704	2	-46,4783102	-23,4996696	2270	0,0881	0,0972	4005	2861	1144
L07705	1	-46,4753246	-23,4969321	1922	0,052	0,0486	3284	2392	892
L07708	3	-46,4849725	-23,5032693	2712	0,1106	0,1458	5219	3402	1817
L07709	2	-46,4926895	-23,4988971	1792	0,1116	0,0972	3099	2351	748
L07712	1	-46,4733392	-23,4886727	826	0,1211	0,0486	1450	1023	427
L07730	2	-46,7196553	-23,4675600	2010	0,0995	0,0972	3558	2712	846
L07738	1	-46,7064209	-23,4786059	2105	0,0475	0,0486	3957	2729	1228
L07739	2	-46,7128806	-23,4857983	3106	0,0644	0,0972	5261	3930	1331
L07750	1	-46,7708337	-23,6299871	13605	0,0074	0,0486	25821	17652	8169
L07754	2	-46,7510131	-23,6228353	4006	0,0499	0,0972	7103	5278	1825
L07756	2	-46,7617923	-23,6408234	4236	0,0472	0,0972	7697	5404	2293
L07758	1	-46,7701188	-23,6470003	3205	0,0312	0,0486	5536	3955	1581
L07764	6	-46,7625103	-23,6349197	3815	0,1573	0,2917	6862	4883	1979
L07769	1	-46,7686119	-23,6296456	3708	0,027	0,0486	6898	4781	2117
L07772	4	-46,7607719	-23,6385695	2910	0,1375	0,1945	5170	3706	1464
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,0486	5923	4007	1916
L08223	1	-46,5031002	-23,5704138	1840	0,0543	0,0486	3025	2358	667
L08229	1	-46,4982241	-23,5504038	2927	0,0342	0,0486	5051	3739	1312
L08230	1	-46,5221139	-23,5406331	2745	0,0364	0,0486	5219	3471	1748
L08236	3	-46,4990570	-23,5735096	2833	0,1059	0,1458	4657	3582	1075
L08238	1	-46,5056207	-23,5405406	972	0,1029	0,0486	1635	1239	396
L08240	1	-46,4985710	-23,5542600	1414	0,0707	0,0486	2497	1881	616
L08242	3	-46,5020045	-23,5414163	2155	0,1392	0,1458	4183	2801	1382
L08244	3	-46,4849359	-23,5443559	2408	0,1246	0,1458	4352	3219	1133
L08248	1	-46,5330363	-23,5393366	1903	0,0525	0,0486	3430	2454	976
L08251	1	-46,5141937	-23,5522187	2485	0,0402	0,0486	4173	3088	1085
L08254	3	-46,5030630	-23,5515660	2892	0,1037	0,1458	5108	3701	1407
L08255	2	-46,4930480	-23,5384900	1910	0,1047	0,0972	3638	2415	1223
L08258	2	-46,5095374	-23,5384628	2376	0,0842	0,0972	4461	3015	1446
L08259	1	-46,5081299	-23,5436866	2539	0,0394	0,0486	4640	3247	1393
L08260	1	-46,5041450	-23,5368140	2070	0,0483	0,0486	3558	2654	904
L08262	3	-46,5005028	-23,5350092	2427	0,1236	0,1458	4145	3117	1028
L08271	1	-46,5489169	-23,5706004	2230	0,0448	0,0486	4306	2779	1527
L08275	2	-46,5344569	-23,5777136	2311	0,0865	0,0972	4317	2988	1329
L08276	1	-46,5458952	-23,5550134	2003	0,0499	0,0486	3017	2414	603
L08283	1	-46,5276225	-23,5710305	2727	0,0367	0,0486	5111	3464	1647
L08284	1	-46,5527913	-23,5614550	3182	0,0314	0,0486	5966	3914	2052
L08297	1	-46,5922270	-23,4778802	3114	0,0321	0,0486	5691	3862	1829
L08313	1	-46,5922900	-23,4849578	1618	0,0618	0,0486	3176	1990	1186
L08324	3	-46,5186723	-23,5960943	684	0,4386	0,1458	1181	881	300
L08325	1	-46,5316668	-23,6073717	2872	0,0348	0,0486	5114	3787	1327
L08331	1	-46,5224167	-23,5870214	2150	0,0465	0,0486	3937	2882	1055
L08334	2	-46,5237361	-23,5957342	4037	0,0495	0,0972	7533	5184	2349
L08340	1	-46,5365552	-23,5957785	3050	0,0328	0,0486	5865	3909	1956
L08353	1	-46,6568120	-23,6724366	2485	0,0402	0,0486	4291	3131	1160
L08354	1	-46,6718510	-23,6480180	3606	0,0277	0,0486	5953	4267	1686
L08381	1	-46,3943443	-23,5046166	3160	0,0316	0,0486	5695	4002	1693
L08382	1	-46,3763198	-23,4939856	3628	0,0276	0,0486	6476	4624	1852
L08384	1	-46,3985890	-23,5096370	3537	0,0283	0,0486	6428	4541	1887
L08386	4	-46,3879010	-23,5188440	3845	0,104	0,1945	6696	5024	1672
L08387	1	-46,3754478	-23,4964448	3203	0,0312	0,0486	5688	4215	1473
L08388	1	-46,3717432	-23,4962403	1681	0,0595	0,0486	3000	2313	687
L08390	1	-46,3766695	-23,5066526	4172	0,024	0,0486	7610	5548	2062
L08393	1	-46,3905136	-23,4921738	2500	0,04	0,0486	4429	3299	1130
L08398	1	-46,4040381	-23,5003398	2632	0,038	0,0486	4564	3375	1189
L08399	2	-46,3842236	-23,5203421	3359	0,0595	0,0972	6149	4622	1527
L08401	1	-46,3808672	-23,5028827	722	0,1385	0,0486	1259	974	285
L08402	1	-46,3759431	-23,5147403	1122	0,0891	0,0486	1980	1519	461
L08404	1	-46,3922999	-23,4852473	2625	0,0381	0,0486	4589	3442	1147
L08409	1	-46,4020530	-23,4932319	3373	0,0296	0,0486	6356	4333	2023
L08411	1	-46,3698794	-23,5080357	3148	0,0318	0,0486	5639	4225	1414
L08413	1	-46,3937105	-23,5156176	1095	0,0913	0,0486	2083	1525	558
L08422	4	-46,4003582	-23,5441270	1520	0,2632	0,1945	2178	1462	716
L08423	2	-46,3977921	-23,5358129	1106	0,1808	0,0972	2069	1477	592
L08424	1	-46,4006522	-23,5380013	865	0,1156	0,0486	1585	1163	422
L08425	19	-46,4057199	-23,5624173	3131	0,6068	0,9237	5663	4158	1505
L08426	7	-46,4008912	-23,5381934	3356	0,2086	0,3403	6116	4546	1570
L08427	3	-46,4213722	-23,5297891	4764	0,063	0,1458	7765	5959	1806
L08428	1	-46,3882687	-23,5454378	2086	0,0479	0,0486	3720	2817	903
L08429	62	-46,4009383	-23,5583730	2595	2,3892	3,0141	4383	3368	1015
L08430	7	-46,4157806	-23,5492070	1808	0,3872	0,3403	3393	2325	1068
L08432	5	-46,4189254	-23,5384808	3214	0,1556	0,2431	5635	4179	1456
