cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,5208	5416	3426	1990
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,5208	5297	3132	2165
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,5208	6463	3952	2511
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,5208	3771	2812	959
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,5208	8045	4955	3090
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,5208	4461	3203	1258
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,5208	6970	4489	2481
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,5208	7290	5070	2220
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,5208	6863	4657	2206
L00528	1	-46,7937390	-23,6862114	4929	0,0203	0,5208	8528	6298	2230
L00535	1	-46,7885429	-23,6654381	2164	0,0462	0,5208	3718	2707	1011
L00541	2	-46,7778780	-23,6885051	4697	0,0426	1,0417	8374	5781	2593
L00544	1	-46,7734160	-23,6802425	3538	0,0283	0,5208	6419	4341	2078
L00553	1	-46,7839538	-23,6721527	1679	0,0596	0,5208	2758	2071	687
L00560	1	-46,7971617	-23,6783864	2752	0,0363	0,5208	4757	3583	1174
L00561	1	-46,7797991	-23,6713610	3438	0,0291	0,5208	6027	4213	1814
L05558	2	-46,4234630	-23,5085168	3758	0,0532	1,0417	6529	4735	1794
L05563	1	-46,4331534	-23,4945484	2753	0,0363	0,5208	4924	3393	1531
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,5208	6128	4395	1733
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,5208	4123	3094	1029
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,5208	6672	4852	1820
L05602	1	-46,4402958	-23,5148095	3394	0,0295	0,5208	6298	4377	1921
L05605	1	-46,4587342	-23,5292643	947	0,1056	0,5208	1607	1196	411
L05673	1	-46,7244140	-23,5363009	2278	0,0439	0,5208	4168	2682	1486
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,5208	3862	2632	1230
L05740	1	-46,5095310	-23,5250203	3929	0,0255	0,5208	7326	4889	2437
L05745	1	-46,5393250	-23,5309129	2457	0,0407	0,5208	4417	3008	1409
L05759	2	-46,5311184	-23,5605521	2832	0,0706	1,0417	5109	3500	1609
L05783	1	-46,5747550	-23,5436990	1751	0,0571	0,5208	2933	2099	834
L05785	1	-46,4982329	-23,5898352	2069	0,0483	0,5208	3681	2817	864
L05800	1	-46,6048519	-23,5043234	2579	0,0388	0,5208	4629	3241	1388
L05802	1	-46,6013419	-23,5076564	3312	0,0302	0,5208	6027	4063	1964
L05854	2	-46,6559225	-23,4706050	3589	0,0557	1,0417	6533	4491	2042
L05869	1	-46,6506816	-23,5123597	1285	0,0778	0,5208	2257	1556	701
L05896	1	-46,6110245	-23,4484688	2156	0,0464	0,5208	3544	2609	935
L05902	1	-46,5890824	-23,4546164	3266	0,0306	0,5208	5800	4185	1615
L05956	1	-46,5394300	-23,5959940	2022	0,0495	0,5208	3634	2528	1106
L05983	1	-46,6510975	-23,6123036	3947	0,0253	0,5208	7274	4497	2777
L06010	1	-46,6214969	-23,5987034	3306	0,0302	0,5208	5715	3957	1758
L06011	3	-46,6255542	-23,6092089	2648	0,1133	1,5625	4891	3146	1745
L06015	1	-46,6448925	-23,6100010	2447	0,0409	0,5208	4269	2836	1433
L06016	1	-46,6492475	-23,5982808	2316	0,0432	0,5208	4108	2664	1444
L06022	2	-46,6399802	-23,6207015	7560	0,0265	1,0417	11823	8719	3104
L06033	1	-46,6024192	-23,6158702	2415	0,0414	0,5208	4140	2950	1190
L06037	3	-46,6027120	-23,6151290	1762	0,1703	1,5625	3240	2071	1169
L06045	1	-46,5907336	-23,5984174	3727	0,0268	0,5208	6818	4710	2108
L06047	1	-46,5866191	-23,6277500	3027	0,033	0,5208	5754	3872	1882
L06052	1	-46,6023320	-23,6013361	2212	0,0452	0,5208	4121	2738	1383
L06055	1	-46,6096977	-23,5916041	2870	0,0348	0,5208	5430	3473	1957
L06060	1	-46,5954073	-23,6104073	3797	0,0263	0,5208	6278	4612	1666
L06679	1	-46,7081139	-23,6888596	3276	0,0305	0,5208	5643	3922	1721
L06681	1	-46,6810487	-23,7212278	1316	0,076	0,5208	2471	1778	693
L06691	1	-46,6914688	-23,7136432	2546	0,0393	0,5208	4232	3121	1111
L07584	1	-46,6320328	-23,6429320	2322	0,0431	0,5208	3693	2812	881
L07594	1	-46,6408225	-23,6457886	2578	0,0388	0,5208	4645	3018	1627
L07700	1	-46,4851971	-23,4905377	3489	0,0287	0,5208	6056	4395	1661
L07715	1	-46,7054395	-23,4973447	1332	0,0751	0,5208	2162	1641	521
L07772	1	-46,7607719	-23,6385695	2910	0,0344	0,5208	5170	3706	1464
L08240	1	-46,4985710	-23,5542600	1414	0,0707	0,5208	2497	1881	616
L08241	2	-46,4913846	-23,5478378	2076	0,0963	1,0417	3674	2778	896
L08243	1	-46,5065643	-23,5285802	1947	0,0514	0,5208	3332	2479	853
L08248	1	-46,5330363	-23,5393366	1903	0,0525	0,5208	3430	2454	976
L08260	1	-46,5041450	-23,5368140	2070	0,0483	0,5208	3558	2654	904
L08280	1	-46,5272729	-23,5842759	3215	0,0311	0,5208	5879	4206	1673
L08297	1	-46,5922270	-23,4778802	3114	0,0321	0,5208	5691	3862	1829
L08314	2	-46,6000523	-23,4896398	3153	0,0634	1,0417	5703	3872	1831
L08326	1	-46,5355996	-23,6112794	1612	0,062	0,5208	2758	2088	670
L08330	1	-46,5220144	-23,6090632	4420	0,0226	0,5208	8006	5587	2419
L08372	1	-46,6459844	-23,6750154	2880	0,0347	0,5208	5258	3622	1636
L08384	1	-46,3985890	-23,5096370	3537	0,0283	0,5208	6428	4541	1887
L08391	1	-46,3965404	-23,5176660	3624	0,0276	0,5208	6265	4666	1599
L08409	1	-46,4020530	-23,4932319	3373	0,0296	0,5208	6356	4333	2023
L08440	1	-46,4091642	-23,5275663	2973	0,0336	0,5208	5298	3892	1406
L08445	1	-46,4037610	-23,5596980	3457	0,0289	0,5208	2665	1848	817
L08447	1	-46,4023822	-23,5509844	1988	0,0503	0,5208	3479	2599	880
L08452	2	-46,4116268	-23,5278328	3591	0,0557	1,0417	6073	4598	1475
L08852	1	-46,7044580	-23,7593862	2527	0,0396	0,5208	4290	3181	1109
L08864	1	-46,6731203	-23,7622871	4632	0,0216	0,5208	7907	6053	1854
L08902	1	-46,7420691	-23,6929780	3706	0,027	0,5208	6165	4741	1424
L08921	2	-46,7477778	-23,6709060	3171	0,0631	1,0417	5519	3877	1642
L08924	1	-46,7528366	-23,6745244	3179	0,0315	0,5208	5308	3981	1327
L08927	1	-46,7602288	-23,6921984	3141	0,0318	0,5208	5143	3919	1224
L08945	1	-46,7595495	-23,6741975	3422	0,0292	0,5208	5713	4273	1440
L08961	1	-46,7833170	-23,6591080	3489	0,0287	0,5208	6112	4474	1638
L08964	1	-46,7859043	-23,6612756	2404	0,0416	0,5208	4384	2994	1390
L08974	2	-46,7460154	-23,5642656	2683	0,0745	1,0417	4513	3262	1251
L09004	1	-46,7583340	-23,5575440	3682	0,0272	0,5208	5975	4245	1730
L09007	1	-46,7358487	-23,5809482	3036	0,0329	0,5208	5300	3546	1754
L09009	2	-46,7601010	-23,5793980	1753	0,1141	1,0417	2840	2160	680
L09036	1	-46,4835312	-23,6003513	2527	0,0396	0,5208	4456	3269	1187
L09043	1	-46,4541133	-23,6084711	2305	0,0434	0,5208	4116	3063	1053
L09044	1	-46,4785593	-23,5947194	2910	0,0344	0,5208	5416	3690	1726
L09050	1	-46,4823318	-23,5909468	1623	0,0616	0,5208	2982	2201	781
L09073	1	-46,4623540	-23,6265038	2947	0,0339	0,5208	5192	3866	1326
L09077	1	-46,4645811	-23,6112224	3566	0,028	0,5208	6521	4469	2052
L09083	1	-46,4464970	-23,6396360	2818	0,0355	0,5208	4787	3634	1153
L09092	1	-46,4703344	-23,6125189	2663	0,0376	0,5208	4922	3399	1523
L09096	1	-46,6919830	-23,4800350	2740	0,0365	0,5208	4783	3354	1429
L09107	1	-46,6864059	-23,4697610	2203	0,0454	0,5208	4116	2829	1287
L09125	1	-46,6906963	-23,4692644	2790	0,0358	0,5208	5131	3574	1557
L09131	1	-46,6897540	-23,4625830	1174	0,0852	0,5208	2058	1546	512
L09132	1	-46,6750425	-23,4517869	1995	0,0501	0,5208	3463	2543	920
L09347	1	-46,7059302	-23,7403363	3101	0,0322	0,5208	5690	3864	1826
L09644	1	-46,7595246	-23,4046073	6764	0,0148	0,5208	12622	8645	3977
L09646	1	-46,7549560	-23,4068430	2871	0,0348	0,5208	5297	3589	1708
L09648	1	-46,7176648	-23,4359306	3664	0,0273	0,5208	6857	4617	2240
L09650	1	-46,7167070	-23,4450305	2708	0,0369	0,5208	4712	3446	1266
L09660	1	-46,7415768	-23,4083171	2643	0,0378	0,5208	4472	3454	1018
L09687	1	-46,7169255	-23,4553166	2697	0,0371	0,5208	4650	3488	1162
