cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,4505	3791	2317	1474
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,4505	6983	4278	2705
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,4505	5416	3426	1990
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,9009	5182	3459	1723
L00021	2	-46,6419109	-23,5592168	3437	0,0582	0,9009	6548	4013	2535
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,4505	4093	2814	1279
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,4505	6470	3731	2739
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,4505	5984	4200	1784
L00085	2	-46,5978907	-23,5552089	4372	0,0457	0,9009	8050	5269	2781
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,4505	5617	3662	1955
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,4505	7290	5070	2220
L00101	3	-46,5902071	-23,5606910	4284	0,07	1,3514	7988	5172	2816
L00108	3	-46,5976041	-23,5519593	6779	0,0443	1,3514	11883	7994	3889
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,4505	2374	1668	706
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,4505	3761	2276	1485
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,4505	7035	4617	2418
L00136	2	-46,6234512	-23,5608329	4167	0,048	0,9009	7421	4897	2524
L00137	2	-46,6125927	-23,5728431	3033	0,0659	0,9009	4908	3570	1338
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,4505	5263	3410	1853
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,4505	4888	3361	1527
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,9009	6624	4826	1798
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,4505	5703	4173	1530
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,4505	4775	3448	1327
L05534	2	-46,6930410	-23,6638790	5787	0,0346	0,9009	9716	6724	2992
L05543	1	-46,6875690	-23,6745424	2821	0,0354	0,4505	4627	3474	1153
L05565	1	-46,4195668	-23,5172129	2191	0,0456	0,4505	3749	2826	923
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,4505	4847	3284	1563
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,4505	2771	1812	959
L05700	1	-46,7170159	-23,5510140	4888	0,0205	0,4505	7257	5167	2090
L05758	1	-46,5162500	-23,5737164	2339	0,0428	0,4505	3728	2933	795
L05805	1	-46,6019251	-23,4930215	3006	0,0333	0,4505	5399	3750	1649
L05845	2	-46,6748489	-23,4996347	2821	0,0709	0,9009	4345	3361	984
L05883	2	-46,6071629	-23,4804948	2403	0,0832	0,9009	4353	2845	1508
L05885	1	-46,6064554	-23,4772146	3669	0,0273	0,4505	6325	4434	1891
L05954	2	-46,5808524	-23,5927084	2296	0,0871	0,9009	3895	2825	1070
L05973	1	-46,6755086	-23,6206909	2385	0,0419	0,4505	3883	2648	1235
L05997	1	-46,6475368	-23,6025329	2704	0,037	0,4505	4279	2988	1291
L05998	2	-46,6284912	-23,6138398	2408	0,0831	0,9009	3730	2799	931
L05999	1	-46,6348802	-23,6270565	1652	0,0605	0,4505	2366	1867	499
L06003	1	-46,6214935	-23,6221583	2425	0,0412	0,4505	3862	2803	1059
L06005	1	-46,6362090	-23,6170540	2367	0,0422	0,4505	3816	2777	1039
L06007	1	-46,6165982	-23,6041985	3954	0,0253	0,4505	7269	4693	2576
L06009	1	-46,6344182	-23,5944514	2798	0,0357	0,4505	4833	3210	1623
L06013	1	-46,6344010	-23,5954544	2340	0,0427	0,4505	4149	2692	1457
L06017	1	-46,6348198	-23,6125399	2346	0,0426	0,4505	4142	2720	1422
L06019	1	-46,6449004	-23,6103211	2557	0,0391	0,4505	4643	2988	1655
L06022	1	-46,6399802	-23,6207015	7560	0,0132	0,4505	11823	8719	3104
L06023	2	-46,6389150	-23,6157370	2881	0,0694	0,9009	4965	3266	1699
L06027	1	-46,6300558	-23,5928665	2573	0,0389	0,4505	4339	2922	1417
L06028	1	-46,6346346	-23,5975076	3131	0,0319	0,4505	4577	3510	1067
L06031	1	-46,5834188	-23,6215419	2911	0,0344	0,4505	5114	3726	1388
L06045	1	-46,5907336	-23,5984174	3727	0,0268	0,4505	6818	4710	2108
L06049	1	-46,5971870	-23,6124820	2991	0,0334	0,4505	5347	3706	1641
L06056	1	-46,6019600	-23,5909040	5133	0,0195	0,4505	9867	6305	3562
L06059	1	-46,5975968	-23,6097769	2880	0,0347	0,4505	4845	3529	1316
