cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00528	60	-46,7937390	-23,6862114	4929	1,2173	16,129	8528	6298	2230
L00531	4	-46,7890987	-23,6951667	263	1,5209	1,0753	443	336	107
L00532	2	-46,7878988	-23,6864426	238	0,8403	0,5376	424	297	127
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,2688	6561	4847	1714
L00534	6	-46,7872371	-23,6773522	3311	0,1812	1,6129	5703	4173	1530
L00536	43	-46,7920187	-23,6867819	3212	1,3387	11,5591	5561	4120	1441
L00537	7	-46,7846410	-23,6975287	3599	0,1945	1,8817	6096	4448	1648
L00539	75	-46,7886237	-23,6861459	4146	1,809	20,1613	7243	5328	1915
L00541	5	-46,7778780	-23,6885051	4697	0,1065	1,3441	8374	5781	2593
L00542	2	-46,7901616	-23,6750896	3768	0,0531	0,5376	6810	4643	2167
L00543	10	-46,7810676	-23,6817954	3950	0,2532	2,6882	6766	5016	1750
L00544	4	-46,7734160	-23,6802425	3538	0,1131	1,0753	6419	4341	2078
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,2688	6802	4728	2074
L00546	1	-46,7853039	-23,6768377	3484	0,0287	0,2688	6085	4510	1575
L00548	2	-46,7917773	-23,6867573	324	0,6173	0,5376	563	420	143
L00549	46	-46,7905836	-23,6983913	3552	1,295	12,3656	6142	4535	1607
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,2688	4775	3448	1327
L00551	3	-46,7827546	-23,6998617	2755	0,1089	0,8065	4627	3392	1235
L00552	2	-46,7867141	-23,6791697	1483	0,1349	0,5376	2634	1909	725
L00555	23	-46,7999759	-23,6870539	3475	0,6619	6,1828	6174	4460	1714
L00556	1	-46,7765383	-23,6680796	2361	0,0424	0,2688	3983	2908	1075
L00558	5	-46,7896575	-23,6835516	593	0,8432	1,3441	1112	791	321
