cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,1003	3779	2548	1231
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,1003	6983	4278	2705
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,1003	5416	3426	1990
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,2006	5182	3459	1723
L00015	2	-46,6368132	-23,5574886	3591	0,0557	0,2006	7151	4273	2878
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,1003	5297	3132	2165
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1003	18525	11583	6942
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,1003	9323	6035	3288
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,1003	5154	3085	2069
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,1003	5641	3584	2057
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,1003	4500	2909	1591
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,1003	7905	5265	2640
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,1003	8733	5175	3558
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,1003	3851	2471	1380
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,1003	5263	3410	1853
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,1003	7193	5134	2059
L00528	3	-46,7937390	-23,6862114	4929	0,0609	0,3009	8528	6298	2230
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,1003	6561	4847	1714
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,1003	5703	4173	1530
L00536	2	-46,7920187	-23,6867819	3212	0,0623	0,2006	5561	4120	1441
L00537	4	-46,7846410	-23,6975287	3599	0,1111	0,4012	6096	4448	1648
L00538	1	-46,7850919	-23,7005041	671	0,149	0,1003	1195	850	345
L00540	1	-46,7937648	-23,6769801	2766	0,0362	0,1003	4791	3520	1271
L00541	19	-46,7778780	-23,6885051	4697	0,4045	1,9057	8374	5781	2593
L00542	1	-46,7901616	-23,6750896	3768	0,0265	0,1003	6810	4643	2167
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1003	6766	5016	1750
L00544	7	-46,7734160	-23,6802425	3538	0,1979	0,7021	6419	4341	2078
L00546	3	-46,7853039	-23,6768377	3484	0,0861	0,3009	6085	4510	1575
L00547	1	-46,7885429	-23,6654381	4193	0,0238	0,1003	7471	5355	2116
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,1003	6142	4535	1607
L00551	5	-46,7827546	-23,6998617	2755	0,1815	0,5015	4627	3392	1235
L00552	1	-46,7867141	-23,6791697	1483	0,0674	0,1003	2634	1909	725
L00553	1	-46,7839538	-23,6721527	1679	0,0596	0,1003	2758	2071	687
L00554	1	-46,7932547	-23,6670602	2548	0,0392	0,1003	4491	3254	1237
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,1003	6174	4460	1714
L00559	3	-46,7951730	-23,6802102	2040	0,1471	0,3009	3413	2489	924
L00560	1	-46,7971617	-23,6783864	2752	0,0363	0,1003	4757	3583	1174
L00561	5	-46,7797991	-23,6713610	3438	0,1454	0,5015	6027	4213	1814
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,2006	4349	3228	1121
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,1003	8236	5638	2598
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,1003	3179	2190	989
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,1003	5733	3640	2093
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,1003	8841	5514	3327
L05561	1	-46,4389924	-23,5145862	3097	0,0323	0,1003	5489	4147	1342
L05577	1	-46,4390699	-23,4987794	622	0,1608	0,1003	1101	766	335
L05579	1	-46,4415141	-23,5227656	2072	0,0483	0,1003	3867	2846	1021
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,1003	6254	4448	1806
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,1003	2270	1658	612
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,1003	2094	1527	567
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,1003	2771	1812	959
L05644	1	-46,7293968	-23,5276493	3559	0,0281	0,1003	5915	4024	1891
L05648	1	-46,7032968	-23,5283085	4170	0,024	0,1003	7531	4847	2684
L05688	2	-46,7278581	-23,5209253	3285	0,0609	0,2006	5542	3799	1743
L05779	1	-46,5006634	-23,5840738	2450	0,0408	0,1003	4426	3133	1293
L05819	1	-46,5825547	-23,5256742	2853	0,0351	0,1003	5154	3537	1617
L05870	1	-46,6722354	-23,4967228	2389	0,0419	0,1003	4246	3161	1085
L05878	1	-46,6724956	-23,5102380	1331	0,0751	0,1003	2224	1674	550
L05879	1	-46,6100888	-23,4531726	1472	0,0679	0,1003	2453	1731	722
L05886	1	-46,5974438	-23,4545847	4312	0,0232	0,1003	8140	5407	2733
L05928	1	-46,5582100	-23,5739759	2347	0,0426	0,1003	4461	2967	1494
L05964	2	-46,6783620	-23,6167251	2994	0,0668	0,2006	5082	3353	1729
L05969	1	-46,6882980	-23,6116910	2974	0,0336	0,1003	5627	3387	2240
L05977	3	-46,6702545	-23,6470231	3091	0,0971	0,3009	4695	3516	1179
L05981	1	-46,6812703	-23,6263887	3816	0,0262	0,1003	6833	4360	2473
