cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,0352	3779	2548	1231
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0352	5696	3792	1904
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,0352	9838	5921	3917
L00008	4	-46,6464095	-23,5560819	3643	0,1098	0,1407	6983	4278	2705
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0352	5666	3638	2028
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0352	7072	4407	2665
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,0352	5182	3459	1723
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,0352	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0352	5259	3125	2134
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,0352	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0352	4909	3201	1708
L00024	2	-46,6497533	-23,5485991	1896	0,1055	0,0704	3234	2130	1104
L00027	3	-46,6368084	-23,5498480	2635	0,1139	0,1056	5430	3072	2358
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,0352	5622	4272	1350
L00037	2	-46,6566164	-23,5307137	3471	0,0576	0,0704	6463	3952	2511
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,0352	3771	2812	959
L00051	2	-46,6946005	-23,5421890	3052	0,0655	0,0704	5602	3572	2030
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,0352	8677	5629	3048
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,0352	4853	2751	2102
L00060	2	-46,6711550	-23,5381000	10857	0,0184	0,0704	17946	11853	6093
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,0352	5154	3085	2069
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,0352	5641	3584	2057
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0352	4267	2744	1523
L00069	3	-46,6240453	-23,5332439	1765	0,17	0,1056	3469	2192	1277
L00070	3	-46,6134834	-23,5400667	2964	0,1012	0,1056	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0352	5785	3615	2170
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,0352	2708	1593	1115
L00074	2	-46,6370866	-23,5384772	2847	0,0702	0,0704	6133	3437	2696
L00075	6	-46,6325856	-23,5295792	4103	0,1462	0,2111	8045	4955	3090
L00077	3	-46,6228821	-23,5238878	3089	0,0971	0,1056	5985	3756	2229
L00078	3	-46,6212238	-23,5429654	2774	0,1081	0,1056	5496	3398	2098
L00082	2	-46,5746890	-23,5568730	2818	0,071	0,0704	4581	3379	1202
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,0704	8807	6387	2420
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,0352	8050	5269	2781
L00089	3	-46,5902871	-23,5470008	2261	0,1327	0,1056	4286	2820	1466
L00090	3	-46,5652413	-23,5675233	2503	0,1199	0,1056	4461	3203	1258
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,0352	6970	4489	2481
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0352	4753	2932	1821
L00096	3	-46,5697601	-23,5636527	4049	0,0741	0,1056	7290	5070	2220
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,0352	4560	3187	1373
L00101	3	-46,5902071	-23,5606910	4284	0,07	0,1056	7988	5172	2816
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,0352	8563	5548	3015
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,0352	7905	5265	2640
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,0352	6924	5149	1775
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,0352	4565	2585	1980
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,0352	11883	7994	3889
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,0352	3357	2042	1315
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,0352	7199	4264	2935
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,0352	10701	6297	4404
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,0352	6994	4384	2610
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,0352	7421	4897	2524
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,0352	4908	3570	1338
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,0352	3469	2565	904
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0352	9743	6059	3684
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,0352	5565	3493	2072
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,0352	6624	4826	1798
L00157	1	-46,6389836	-23,5697573	5176	0,0193	0,0352	8809	5934	2875
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,0352	6561	4847	1714
L00537	1	-46,7846410	-23,6975287	3599	0,0278	0,0352	6096	4448	1648
L00539	1	-46,7886237	-23,6861459	4146	0,0241	0,0352	7243	5328	1915
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,0352	4775	3448	1327
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,0352	3413	2489	924
L05543	1	-46,6875690	-23,6745424	2821	0,0354	0,0352	4627	3474	1153
L05544	1	-46,7020955	-23,6297201	1019	0,0981	0,0352	1646	1149	497
L05545	2	-46,6998999	-23,6559182	2564	0,078	0,0704	3946	2911	1035
L05552	1	-46,4488381	-23,4906612	2090	0,0478	0,0352	3620	2620	1000
L05553	2	-46,4351534	-23,5022679	3506	0,057	0,0704	6236	4381	1855
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,0352	6529	4735	1794
L05566	3	-46,4352447	-23,5020281	2851	0,1052	0,1056	4735	3521	1214
L05569	1	-46,4407439	-23,4944067	1547	0,0646	0,0352	2737	1890	847
L05572	1	-46,4193422	-23,5228558	2139	0,0468	0,0352	3993	2664	1329
L05573	1	-46,4192720	-23,4963124	2328	0,043	0,0352	4347	2982	1365
L05574	4	-46,4424219	-23,4946443	1702	0,235	0,1407	3011	2169	842
L05577	2	-46,4390699	-23,4987794	622	0,3215	0,0704	1101	766	335
L05579	1	-46,4415141	-23,5227656	2072	0,0483	0,0352	3867	2846	1021
L05580	1	-46,4367093	-23,5286893	3428	0,0292	0,0352	6257	4314	1943
L05582	1	-46,4362612	-23,5281919	1912	0,0523	0,0352	3481	2438	1043
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,0352	6128	4395	1733
L05584	1	-46,4623208	-23,5289299	3239	0,0309	0,0352	5568	4191	1377
L05585	2	-46,4451845	-23,5472188	2365	0,0846	0,0704	4123	3094	1029
L05587	6	-46,4443497	-23,5387667	3161	0,1898	0,2111	5471	4127	1344
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,0352	3417	2606	811
L05590	3	-46,4560761	-23,5496358	3285	0,0913	0,1056	6239	4284	1955
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,0352	6839	4640	2199
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,0352	6254	4448	1806
L05593	1	-46,4528982	-23,5182408	3494	0,0286	0,0352	6309	4695	1614
L05594	1	-46,4618318	-23,5393802	2228	0,0449	0,0352	3850	2859	991
L05595	1	-46,4580805	-23,5512840	2564	0,039	0,0352	4400	3342	1058
L05598	1	-46,4625526	-23,5168760	2035	0,0491	0,0352	3550	2651	899
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,0352	6860	4712	2148
L05602	1	-46,4402958	-23,5148095	3394	0,0295	0,0352	6298	4377	1921
L05603	2	-46,4430227	-23,5314831	2610	0,0766	0,0704	4621	3404	1217
L05604	1	-46,4434311	-23,5313295	1136	0,088	0,0352	1958	1485	473
L05607	1	-46,4470139	-23,5216112	1268	0,0789	0,0352	2275	1708	567
L05614	2	-46,6407233	-23,4948591	1725	0,1159	0,0704	2839	2166	673
L05616	4	-46,6281182	-23,4912871	3378	0,1184	0,1407	5313	3930	1383
L05617	2	-46,6180480	-23,4923992	3331	0,06	0,0704	5427	3880	1547
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,0352	3578	2176	1402
L05621	4	-46,6332236	-23,4899666	5271	0,0759	0,1407	8744	6129	2615
L05623	1	-46,6405537	-23,5023028	2520	0,0397	0,0352	4590	2978	1612
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,0352	4896	3055	1841
L05628	3	-46,6157633	-23,4933572	2589	0,1159	0,1056	4750	3013	1737
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,0352	4643	3161	1482
L05633	1	-46,6227676	-23,4899879	1740	0,0575	0,0352	3090	2057	1033
L05634	1	-46,6264580	-23,4818440	1908	0,0524	0,0352	3707	2335	1372
L05644	1	-46,7293968	-23,5276493	3559	0,0281	0,0352	5915	4024	1891
L05646	1	-46,7000457	-23,5224777	2592	0,0386	0,0352	4343	2970	1373
L05654	1	-46,7056393	-23,5213772	2148	0,0466	0,0352	4003	2538	1465
L05664	1	-46,7492548	-23,5117336	1714	0,0583	0,0352	3333	2162	1171
L05666	1	-46,7036723	-23,5400795	2096	0,0477	0,0352	3593	2404	1189
L05672	2	-46,7311891	-23,5069529	1946	0,1028	0,0704	3336	2311	1025
L05675	1	-46,7468883	-23,4900910	2971	0,0337	0,0352	5066	3751	1315
L05677	1	-46,7468784	-23,5137529	2151	0,0465	0,0352	3753	2602	1151
L05682	1	-46,7500222	-23,4964512	535	0,1869	0,0352	919	650	269
L05695	1	-46,6826600	-23,5737124	2079	0,0481	0,0352	3613	2221	1392
L05696	2	-46,6826600	-23,5737124	2813	0,0711	0,0704	4397	3021	1376
L05697	1	-46,6950038	-23,5603746	3405	0,0294	0,0352	5468	3675	1793
