cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,2283	6470	3731	2739
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,2283	5154	3085	2069
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,2283	5561	4120	1441
L00537	1	-46,7846410	-23,6975287	3599	0,0278	0,2283	6096	4448	1648
L00539	1	-46,7886237	-23,6861459	4146	0,0241	0,2283	7243	5328	1915
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,2283	8374	5781	2593
L00549	3	-46,7905836	-23,6983913	3552	0,0845	0,6849	6142	4535	1607
L00551	1	-46,7827546	-23,6998617	2755	0,0363	0,2283	4627	3392	1235
L05604	1	-46,4434311	-23,5313295	1136	0,088	0,2283	1958	1485	473
L05703	1	-46,6962316	-23,5650597	1732	0,0577	0,2283	3356	1964	1392
L05890	2	-46,6048373	-23,4642332	3719	0,0538	0,4566	6880	4577	2303
L05985	1	-46,6850791	-23,6183057	3742	0,0267	0,2283	6558	4258	2300
L07600	1	-46,6356262	-23,6788985	1377	0,0726	0,2283	2329	1795	534
L07750	26	-46,7708337	-23,6299871	13605	0,1911	5,9361	25821	17652	8169
L07753	1	-46,7766842	-23,6395528	2690	0,0372	0,2283	4737	3519	1218
L07755	17	-46,7557573	-23,6290243	3980	0,4271	3,8813	6741	5172	1569
L07756	130	-46,7617923	-23,6408234	4236	3,0689	29,6804	7697	5404	2293
L07757	2	-46,7705606	-23,6467603	3321	0,0602	0,4566	5877	4308	1569
L07758	2	-46,7701188	-23,6470003	3205	0,0624	0,4566	5536	3955	1581
L07759	1	-46,7708253	-23,6346601	2609	0,0383	0,2283	4845	3309	1536
L07760	22	-46,7556667	-23,6404221	3739	0,5884	5,0228	6385	4685	1700
L07761	5	-46,7758320	-23,6436922	4304	0,1162	1,1416	7784	5385	2399
L07764	9	-46,7625103	-23,6349197	3815	0,2359	2,0548	6862	4883	1979
L07765	4	-46,7497115	-23,6403144	4495	0,089	0,9132	7813	5662	2151
L07767	3	-46,7490615	-23,6345587	3174	0,0945	0,6849	5702	4133	1569
L07768	2	-46,7739779	-23,6330684	2361	0,0847	0,4566	4577	2954	1623
L07769	3	-46,7686119	-23,6296456	3708	0,0809	0,6849	6898	4781	2117
L07770	4	-46,7542153	-23,6198219	4129	0,0969	0,9132	7176	5149	2027
L07771	57	-46,7622591	-23,6469894	2666	2,138	13,0137	4394	3333	1061
L07772	47	-46,7607719	-23,6385695	2910	1,6151	10,7306	5170	3706	1464
L07773	7	-46,7538973	-23,6349349	4025	0,1739	1,5982	6657	5039	1618
L07774	2	-46,7498755	-23,6363346	2769	0,0722	0,4566	4952	3627	1325
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,2283	5923	4007	1916
L08196	1	-46,7208297	-23,6076803	2840	0,0352	0,2283	4752	3330	1422
L08200	1	-46,7298173	-23,5966128	2551	0,0392	0,2283	4499	3046	1453
L08208	1	-46,7358364	-23,5961852	2323	0,043	0,2283	3857	2793	1064
L08209	1	-46,7308370	-23,5944510	2715	0,0368	0,2283	4573	3264	1309
L08219	1	-46,6985844	-23,5862008	2637	0,0379	0,2283	4368	2905	1463
L08229	1	-46,4982241	-23,5504038	2927	0,0342	0,2283	5051	3739	1312
L08231	1	-46,5079969	-23,5544033	2026	0,0494	0,2283	3550	2546	1004
L08239	4	-46,5141185	-23,5517464	2105	0,19	0,9132	3730	2686	1044
L08240	1	-46,4985710	-23,5542600	1414	0,0707	0,2283	2497	1881	616
L08242	1	-46,5020045	-23,5414163	2155	0,0464	0,2283	4183	2801	1382
L08251	1	-46,5141937	-23,5522187	2485	0,0402	0,2283	4173	3088	1085
L08254	1	-46,5030630	-23,5515660	2892	0,0346	0,2283	5108	3701	1407
L08257	1	-46,4932714	-23,5642955	2006	0,0499	0,2283	3537	2652	885
L08387	1	-46,3754478	-23,4964448	3203	0,0312	0,2283	5688	4215	1473
L08388	4	-46,3717432	-23,4962403	1681	0,238	0,9132	3000	2313	687
L08429	1	-46,4009383	-23,5583730	2595	0,0385	0,2283	4383	3368	1015
L08450	1	-46,4075993	-23,5541832	3404	0,0294	0,2283	5663	4220	1443
L08457	1	-46,3967810	-23,5545250	1819	0,055	0,2283	3404	2514	890
L08871	1	-46,6684971	-23,7532554	4993	0,02	0,2283	8570	6421	2149
L08887	1	-46,7821867	-23,7409511	5907	0,0169	0,2283	10173	7415	2758
L08897	1	-46,7579085	-23,6866996	1823	0,0549	0,2283	3092	2340	752
L08905	1	-46,7646740	-23,6894253	1784	0,0561	0,2283	2837	2183	654
L08918	1	-46,7646129	-23,6800985	3973	0,0252	0,2283	7083	4944	2139
L08921	1	-46,7477778	-23,6709060	3171	0,0315	0,2283	5519	3877	1642
