cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00038	3	-46,6844226	-23,5340373	3156	0,0951	3,2967	5271	3545	1726
L00043	1	-46,6853794	-23,5386780	2698	0,0371	1,0989	4613	3033	1580
L00048	1	-46,6841353	-23,5370181	2501	0,04	1,0989	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	1,0989	8065	5186	2879
L00052	1	-46,6832663	-23,5289919	4888	0,0205	1,0989	8677	5629	3048
L00055	1	-46,6566164	-23,5307137	5271	0,019	1,0989	9323	6035	3288
L00081	5	-46,5848689	-23,5392025	3560	0,1404	5,4945	5984	4200	1784
L00083	6	-46,5997287	-23,5410220	3324	0,1805	6,5934	6501	4011	2490
L00084	2	-46,5895134	-23,5593568	5301	0,0377	2,1978	8807	6387	2420
L00087	1	-46,5842762	-23,5514675	2993	0,0334	1,0989	5617	3662	1955
L00106	20	-46,5939719	-23,5375195	4328	0,4621	21,978	6924	5149	1775
L00111	1	-46,6590182	-23,5634584	7550	0,0132	1,0989	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	1,0989	8733	5175	3558
L00136	1	-46,6234512	-23,5608329	4167	0,024	1,0989	7421	4897	2524
L05596	1	-46,4536228	-23,5552304	3671	0,0272	1,0989	6672	4852	1820
L05617	1	-46,6180480	-23,4923992	3331	0,03	1,0989	5427	3880	1547
L05646	1	-46,7000457	-23,5224777	2592	0,0386	1,0989	4343	2970	1373
L05648	5	-46,7032968	-23,5283085	4170	0,1199	5,4945	7531	4847	2684
L05656	1	-46,7433720	-23,4969505	2765	0,0362	1,0989	4919	3437	1482
L05687	1	-46,7293085	-23,5091600	847	0,1181	1,0989	1262	988	274
L05750	2	-46,5686249	-23,5424482	4557	0,0439	2,1978	7587	5295	2292
L05771	1	-46,5727024	-23,5507422	2617	0,0382	1,0989	4908	3111	1797
L05808	1	-46,5892786	-23,5184715	2964	0,0337	1,0989	5799	3706	2093
L05811	1	-46,5847966	-23,5140241	2439	0,041	1,0989	4518	2999	1519
L05824	1	-46,5850061	-23,5058039	555	0,1802	1,0989	877	693	184
L05976	1	-46,6786792	-23,6169250	3059	0,0327	1,0989	4637	3422	1215
L06007	1	-46,6165982	-23,6041985	3954	0,0253	1,0989	7269	4693	2576
L07608	1	-46,6393798	-23,6345390	2222	0,045	1,0989	3456	2623	833
L07722	1	-46,7100048	-23,4798680	2502	0,04	1,0989	4590	3267	1323
L07723	1	-46,7155090	-23,4737413	2363	0,0423	1,0989	4249	3098	1151
L07725	1	-46,7203590	-23,4728158	1930	0,0518	1,0989	3380	2566	814
L07739	1	-46,7128806	-23,4857983	3106	0,0322	1,0989	5261	3930	1331
L08223	1	-46,5031002	-23,5704138	1840	0,0543	1,0989	3025	2358	667
L08278	2	-46,5421410	-23,5610590	3394	0,0589	2,1978	6342	4245	2097
L08321	1	-46,6023221	-23,4823452	4184	0,0239	1,0989	7555	5096	2459
L09007	1	-46,7358487	-23,5809482	3036	0,0329	1,0989	5300	3546	1754
L09026	1	-46,7657934	-23,5778298	615	0,1626	1,0989	1107	798	309
L09063	1	-46,4785920	-23,6052751	3582	0,0279	1,0989	6447	4604	1843
L09089	1	-46,4760402	-23,6078220	1380	0,0725	1,0989	2541	1871	670
L09123	1	-46,6775348	-23,4595275	3138	0,0319	1,0989	5462	4143	1319
L09134	1	-46,6848409	-23,4554709	3273	0,0306	1,0989	5723	4296	1427
L09332	1	-46,6902192	-23,7830774	3543	0,0282	1,0989	5840	4560	1280
L09337	1	-46,7106055	-23,7451522	2081	0,0481	1,0989	3438	2605	833
L09347	1	-46,7059302	-23,7403363	3101	0,0322	1,0989	5690	3864	1826
L09672	1	-46,8003760	-23,4445050	1855	0,0539	1,0989	3073	2396	677
L09779	1	-46,4772755	-23,5183011	634	0,1577	1,0989	1123	860	263
L10138	2	-46,7498728	-23,4458752	1878	0,1065	2,1978	3193	2426	767
L10149	2	-46,7466848	-23,4441827	3405	0,0587	2,1978	5816	4442	1374
L10203	1	-46,4258537	-23,5660747	3386	0,0295	1,0989	6124	4511	1613
L10766	1	-46,4983849	-23,5987055	3171	0,0315	1,0989	5783	4036	1747
L10793	2	-46,6540520	-23,4791841	2694	0,0742	2,1978	4415	3409	1006
