cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,3663	9838	5921	3917
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,3663	6283	3656	2627
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,3663	5182	3459	1723
L00020	2	-46,6376429	-23,5607300	2293	0,0872	0,7326	5052	2698	2354
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,3663	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,3663	3803	2547	1256
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,3663	2631	1843	788
L00055	2	-46,6566164	-23,5307137	5271	0,0379	0,7326	9323	6035	3288
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,3663	6305	3946	2359
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,3663	3469	2192	1277
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,3663	8045	4955	3090
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,3663	5984	4200	1784
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,3663	8807	6387	2420
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,3663	5171	3468	1703
L00100	1	-46,5637915	-23,5715671	2872	0,0348	0,3663	5130	3619	1511
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,3663	6924	5149	1775
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,3663	10701	6297	4404
L00137	2	-46,6125927	-23,5728431	3033	0,0659	0,7326	4908	3570	1338
L00142	1	-46,6119113	-23,5742236	2504	0,0399	0,3663	4454	2944	1510
L00147	2	-46,6251868	-23,5770987	3004	0,0666	0,7326	5565	3493	2072
L00154	2	-46,6235069	-23,5745404	4329	0,0462	0,7326	7193	5134	2059
L00528	2	-46,7937390	-23,6862114	4929	0,0406	0,7326	8528	6298	2230
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,3663	5703	4173	1530
L00539	2	-46,7886237	-23,6861459	4146	0,0482	0,7326	7243	5328	1915
L00543	2	-46,7810676	-23,6817954	3950	0,0506	0,7326	6766	5016	1750
L00546	1	-46,7853039	-23,6768377	3484	0,0287	0,3663	6085	4510	1575
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,3663	6174	4460	1714
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,3663	8841	5514	3327
L05619	1	-46,6476795	-23,4929598	1994	0,0502	0,3663	3788	2470	1318
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,3663	5872	3858	2014
L05756	1	-46,5564250	-23,5331500	2613	0,0383	0,3663	4568	3155	1413
L05765	1	-46,5279368	-23,5603880	519	0,1927	0,3663	884	666	218
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,3663	10333	6962	3371
L05848	2	-46,6506305	-23,5026837	3720	0,0538	0,7326	6771	4492	2279
L05856	1	-46,6576980	-23,5105636	3626	0,0276	0,3663	6816	4472	2344
L05896	1	-46,6110245	-23,4484688	2156	0,0464	0,3663	3544	2609	935
L05897	1	-46,5851276	-23,4502408	3003	0,0333	0,3663	5429	3962	1467
L05902	1	-46,5890824	-23,4546164	3266	0,0306	0,3663	5800	4185	1615
L05931	1	-46,5593803	-23,5886767	2087	0,0479	0,3663	3493	2634	859
L05941	1	-46,5887796	-23,5755336	1948	0,0513	0,3663	3574	2324	1250
L05961	1	-46,5445942	-23,5990108	721	0,1387	0,3663	1219	923	296
L05963	1	-46,5786516	-23,5835336	1407	0,0711	0,3663	2348	1677	671
L05964	2	-46,6783620	-23,6167251	2994	0,0668	0,7326	5082	3353	1729
L05985	1	-46,6850791	-23,6183057	3742	0,0267	0,3663	6558	4258	2300
L05989	1	-46,6718044	-23,6208493	3539	0,0283	0,3663	6412	4051	2361
L06010	1	-46,6214969	-23,5987034	3306	0,0302	0,3663	5715	3957	1758
L06011	1	-46,6255542	-23,6092089	2648	0,0378	0,3663	4891	3146	1745
L06027	1	-46,6300558	-23,5928665	2573	0,0389	0,3663	4339	2922	1417
L06031	2	-46,5834188	-23,6215419	2911	0,0687	0,7326	5114	3726	1388
L06032	1	-46,6120690	-23,5882350	2927	0,0342	0,3663	5450	3505	1945
L06033	3	-46,6024192	-23,6158702	2415	0,1242	1,0989	4140	2950	1190
L06034	4	-46,5919260	-23,6218968	1852	0,216	1,4652	3149	2340	809
L06042	5	-46,5932441	-23,6218013	3332	0,1501	1,8315	5834	4057	1777
L06045	6	-46,5907336	-23,5984174	3727	0,161	2,1978	6818	4710	2108
L06046	2	-46,5830025	-23,6226329	2716	0,0736	0,7326	4830	3455	1375
L06047	5	-46,5866191	-23,6277500	3027	0,1652	1,8315	5754	3872	1882
L06048	5	-46,5945812	-23,6240333	3452	0,1448	1,8315	6548	4452	2096
L06049	8	-46,5971870	-23,6124820	2991	0,2675	2,9304	5347	3706	1641
L06050	2	-46,5889064	-23,6343276	2672	0,0749	0,7326	4589	3469	1120
L06051	13	-46,6031399	-23,6063806	3228	0,4027	4,7619	5899	4148	1751
L06052	12	-46,6023320	-23,6013361	2212	0,5425	4,3956	4121	2738	1383
L06053	2	-46,6021325	-23,6063749	1386	0,1443	0,7326	2568	1713	855
L06056	7	-46,6019600	-23,5909040	5133	0,1364	2,5641	9867	6305	3562
L06057	1	-46,6013725	-23,6127005	1501	0,0666	0,3663	2879	1866	1013
L06058	2	-46,5930326	-23,5972734	2828	0,0707	0,7326	5015	3572	1443
L06059	10	-46,5975968	-23,6097769	2880	0,3472	3,663	4845	3529	1316
L06060	21	-46,5954073	-23,6104073	3797	0,5531	7,6923	6278	4612	1666
L06061	5	-46,5809811	-23,6100573	2017	0,2479	1,8315	3626	2610	1016
L06062	8	-46,5863383	-23,6186398	3309	0,2418	2,9304	5473	4075	1398
L06063	6	-46,5967273	-23,6269558	1159	0,5177	2,1978	1865	1435	430
L06064	4	-46,5956377	-23,5958120	1677	0,2385	1,4652	3055	2103	952
L06067	1	-46,6098374	-23,5932998	5055	0,0198	0,3663	8453	5954	2499
L06666	3	-46,7147308	-23,6702428	2788	0,1076	1,0989	5109	3374	1735
L06679	1	-46,7081139	-23,6888596	3276	0,0305	0,3663	5643	3922	1721
L06683	1	-46,6987338	-23,7098273	2586	0,0387	0,3663	4747	3089	1658
L07579	1	-46,6444998	-23,6334867	4067	0,0246	0,3663	7242	4778	2464
L07585	1	-46,6489412	-23,6630793	4484	0,0223	0,3663	7661	5544	2117
L07594	1	-46,6408225	-23,6457886	2578	0,0388	0,3663	4645	3018	1627
L07598	1	-46,6392154	-23,6408466	3709	0,027	0,3663	6533	4338	2195
L07600	1	-46,6356262	-23,6788985	1377	0,0726	0,3663	2329	1795	534
L07715	2	-46,7054395	-23,4973447	1332	0,1502	0,7326	2162	1641	521
L07720	1	-46,6906776	-23,4886152	2477	0,0404	0,3663	4263	2952	1311
L07773	1	-46,7538973	-23,6349349	4025	0,0248	0,3663	6657	5039	1618
L08209	1	-46,7308370	-23,5944510	2715	0,0368	0,3663	4573	3264	1309
L08230	1	-46,5221139	-23,5406331	2745	0,0364	0,3663	5219	3471	1748
L08234	1	-46,5317956	-23,5421192	3038	0,0329	0,3663	5442	3818	1624
L08265	1	-46,5251630	-23,5338233	5108	0,0196	0,3663	9329	6208	3121
L08297	1	-46,5922270	-23,4778802	3114	0,0321	0,3663	5691	3862	1829
L08305	1	-46,5732891	-23,4514774	4266	0,0234	0,3663	8509	5988	2521
L08310	1	-46,5695747	-23,4643168	1609	0,0622	0,3663	2951	2225	726
L08332	1	-46,5276317	-23,6081073	3269	0,0306	0,3663	5625	4153	1472
L08333	1	-46,5151342	-23,5886563	3403	0,0294	0,3663	6060	4434	1626
L08334	1	-46,5237361	-23,5957342	4037	0,0248	0,3663	7533	5184	2349
L08344	1	-46,5190849	-23,6068070	2708	0,0369	0,3663	4764	3597	1167
L08345	2	-46,5147192	-23,6040731	1897	0,1054	0,7326	3330	2446	884
L08381	1	-46,3943443	-23,5046166	3160	0,0316	0,3663	5695	4002	1693
L08389	1	-46,3884186	-23,5122760	2336	0,0428	0,3663	4350	3214	1136
L08398	1	-46,4040381	-23,5003398	2632	0,038	0,3663	4564	3375	1189
L08440	1	-46,4091642	-23,5275663	2973	0,0336	0,3663	5298	3892	1406
L08847	1	-46,7045504	-23,7542184	5925	0,0169	0,3663	10150	7592	2558
L08870	1	-46,6818898	-23,7403681	3700	0,027	0,3663	6280	4769	1511
L08901	1	-46,7645258	-23,6853526	2060	0,0485	0,3663	3371	2470	901
L08910	1	-46,7644449	-23,7005122	3583	0,0279	0,3663	6421	4721	1700
L08925	1	-46,7637275	-23,6860902	3526	0,0284	0,3663	6017	4176	1841
L08927	1	-46,7602288	-23,6921984	3141	0,0318	0,3663	5143	3919	1224
L08971	1	-46,7414689	-23,5502101	1483	0,0674	0,3663	2896	1900	996
L08991	1	-46,7687542	-23,5959462	2154	0,0464	0,3663	3725	2823	902
L08998	1	-46,7616411	-23,5738108	3264	0,0306	0,3663	5781	3909	1872
L09001	1	-46,7812526	-23,5984796	764	0,1309	0,3663	1352	990	362
L09069	1	-46,4670370	-23,6008861	3027	0,033	0,3663	5073	3872	1201
L09080	1	-46,4532396	-23,6020534	2820	0,0355	0,3663	4742	3542	1200
L09092	1	-46,4703344	-23,6125189	2663	0,0376	0,3663	4922	3399	1523
L09117	1	-46,7020440	-23,4580940	3715	0,0269	0,3663	6828	4901	1927
L09118	2	-46,6795279	-23,4641832	7883	0,0254	0,7326	15183	10348	4835
L09325	2	-46,7263218	-23,8274592	6787	0,0295	0,7326	12142	8727	3415
L09330	1	-46,7376117	-23,8118259	2470	0,0405	0,3663	4187	3091	1096
L09370	1	-46,7127840	-23,7642340	2495	0,0401	0,3663	4004	3110	894
L09644	1	-46,7595246	-23,4046073	6764	0,0148	0,3663	12622	8645	3977
L09660	1	-46,7415768	-23,4083171	2643	0,0378	0,3663	4472	3454	1018
L09663	1	-46,7399698	-23,4091960	1434	0,0697	0,3663	2605	1936	669
L09669	1	-46,7604130	-23,4096050	2754	0,0363	0,3663	5019	3660	1359
L09682	2	-46,7892030	-23,4388604	2519	0,0794	0,7326	4252	3196	1056
L09696	1	-46,5350066	-23,5126551	1200	0,0833	0,3663	2109	1530	579
L09718	1	-46,5280832	-23,5051057	531	0,1883	0,3663	1009	704	305
L09760	1	-46,5123128	-23,5122863	1870	0,0535	0,3663	3618	2345	1273
L10134	1	-46,7361616	-23,4500614	2869	0,0349	0,3663	5129	3556	1573
L10161	1	-46,4041961	-23,5809663	1876	0,0533	0,3663	3205	2396	809
L10170	1	-46,4029258	-23,5791123	3594	0,0278	0,3663	6150	4576	1574
L10177	1	-46,4190164	-23,6146521	2988	0,0335	0,3663	5509	4074	1435
L10213	1	-46,4350193	-23,5546910	4684	0,0213	0,3663	8573	6058	2515
L10493	1	-46,6004969	-23,6242367	3658	0,0273	0,3663	6286	4333	1953
L10496	1	-46,6171064	-23,6170233	2347	0,0426	0,3663	4315	2704	1611
L10499	1	-46,5946428	-23,6480920	1049	0,0953	0,3663	1738	1365	373
L10511	1	-46,5988854	-23,6473033	3074	0,0325	0,3663	4952	3868	1084
L10512	1	-46,6126960	-23,6136070	2782	0,0359	0,3663	4566	3356	1210
L10514	4	-46,6067712	-23,6385971	3445	0,1161	1,4652	5811	4310	1501
L10515	2	-46,5935567	-23,6451630	3108	0,0644	0,7326	5258	3966	1292
L10650	1	-46,6524439	-23,6886719	3624	0,0276	0,3663	6394	4556	1838
L10727	1	-46,5724481	-23,4898866	3376	0,0296	0,3663	6286	4313	1973
L10745	1	-46,5040533	-23,6054351	4046	0,0247	0,3663	7138	5324	1814
L10746	1	-46,4876384	-23,6218370	1995	0,0501	0,3663	3308	2519	789
