cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,1222	5666	3638	2028
L00011	2	-46,6535747	-23,5498948	3808	0,0525	0,2445	7072	4407	2665
L00022	3	-46,6521240	-23,5458002	10350	0,029	0,3667	18525	11583	6942
L00030	2	-46,6716846	-23,5278546	4168	0,048	0,2445	8123	4653	3470
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,1222	7993	5767	2226
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,1222	3037	1845	1192
L00039	3	-46,6663954	-23,5361229	5419	0,0554	0,3667	8062	5901	2161
L00044	1	-46,6566305	-23,5207777	1534	0,0652	0,1222	2722	1815	907
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,2445	8065	5186	2879
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,1222	8677	5629	3048
L00060	6	-46,6711550	-23,5381000	10857	0,0553	0,7335	17946	11853	6093
L00061	2	-46,6666956	-23,5298372	3408	0,0587	0,2445	6305	3946	2359
L00064	4	-46,6278434	-23,5475185	2980	0,1342	0,489	5641	3584	2057
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,1222	3469	2192	1277
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,1222	5594	3588	2006
L00080	3	-46,5869070	-23,5756756	3323	0,0903	0,3667	5823	3854	1969
L00083	3	-46,5997287	-23,5410220	3324	0,0903	0,3667	6501	4011	2490
L00085	4	-46,5978907	-23,5552089	4372	0,0915	0,489	8050	5269	2781
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,1222	5171	3468	1703
L00087	2	-46,5842762	-23,5514675	2993	0,0668	0,2445	5617	3662	1955
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,1222	4461	3203	1258
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,1222	6188	3786	2402
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,1222	6970	4489	2481
L00096	2	-46,5697601	-23,5636527	4049	0,0494	0,2445	7290	5070	2220
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,1222	6924	5149	1775
L00110	2	-46,6602508	-23,5695486	2517	0,0795	0,2445	4741	2759	1982
L00111	2	-46,6590182	-23,5634584	7550	0,0265	0,2445	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,1222	8733	5175	3558
L00117	2	-46,6709040	-23,5923207	3151	0,0635	0,2445	5443	3456	1987
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,1222	4967	3078	1889
L00124	3	-46,6605835	-23,5566944	5697	0,0527	0,3667	10701	6297	4404
L00127	2	-46,6605835	-23,5566944	6318	0,0317	0,2445	11459	6999	4460
