cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,0434	6983	4278	2705
L00012	2	-46,6461964	-23,5700830	3252	0,0615	0,0868	6283	3656	2627
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,0434	5182	3459	1723
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,0434	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0434	5259	3125	2134
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,0434	6548	4013	2535
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,0868	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,0434	5430	3072	2358
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,0434	8123	4653	3470
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,0434	4562	3313	1249
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,0434	7993	5767	2226
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,0434	6405	4313	2092
L00037	2	-46,6566164	-23,5307137	3471	0,0576	0,0868	6463	3952	2511
L00038	1	-46,6844226	-23,5340373	3156	0,0317	0,0434	5271	3545	1726
L00045	2	-46,6523017	-23,5318175	2128	0,094	0,0868	3940	2485	1455
L00047	2	-46,6419486	-23,5325337	1033	0,1936	0,0868	1992	1229	763
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0434	8065	5186	2879
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,0434	6577	4007	2570
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0434	5602	3572	2030
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,0434	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,0434	4853	2751	2102
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0434	4093	2814	1279
L00058	2	-46,6432297	-23,5320752	3161	0,0633	0,0868	6470	3731	2739
L00063	3	-46,6343483	-23,5436627	2624	0,1143	0,1302	5154	3085	2069
