cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	3	-46,6464095	-23,5560819	3643	0,0823	0,2333	6983	4278	2705
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0778	7072	4407	2665
L00012	2	-46,6461964	-23,5700830	3252	0,0615	0,1555	6283	3656	2627
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,0778	7001	3906	3095
L00019	2	-46,6376429	-23,5607300	2664	0,0751	0,1555	5259	3125	2134
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,0778	18525	11583	6942
L00031	2	-46,6872489	-23,5323018	3785	0,0528	0,1555	5622	4272	1350
L00033	3	-46,6545420	-23,5418060	2940	0,102	0,2333	4562	3313	1249
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,0778	7993	5767	2226
L00035	3	-46,6800459	-23,5481021	3932	0,0763	0,2333	6405	4313	2092
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,0778	3037	1845	1192
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,1555	8062	5901	2161
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,0778	4656	2795	1861
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0778	5602	3572	2030
L00054	1	-46,6650200	-23,5361422	1083	0,0923	0,0778	1605	1172	433
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0778	4093	2814	1279
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,0778	6470	3731	2739
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,0778	17946	11853	6093
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,0778	4500	2909	1591
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,0778	3469	2192	1277
L00077	2	-46,6228821	-23,5238878	3089	0,0647	0,1555	5985	3756	2229
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,0778	4581	3379	1202
L00092	5	-46,5828225	-23,5542479	3888	0,1286	0,3888	7164	4714	2450
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,0778	4565	2585	1980
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,0778	8733	5175	3558
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,0778	4109	2634	1475
L00118	2	-46,6768341	-23,5885769	2860	0,0699	0,1555	5240	3249	1991
L00119	2	-46,6851323	-23,5877136	2254	0,0887	0,1555	3851	2471	1380
L00120	2	-46,6758302	-23,6004582	2006	0,0997	0,1555	3761	2276	1485
L00122	3	-46,6734804	-23,5826449	2473	0,1213	0,2333	4205	2672	1533
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,0778	10701	6297	4404
L00125	2	-46,6822891	-23,5834680	4924	0,0406	0,1555	9066	5408	3658
L00126	2	-46,6724723	-23,5954720	3916	0,0511	0,1555	6669	4338	2331
L00128	4	-46,6769068	-23,6001070	3888	0,1029	0,311	6994	4384	2610
L00135	3	-46,6431906	-23,5719338	4487	0,0669	0,2333	7477	5015	2462
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,0778	4786	3093	1693
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,0778	5263	3410	1853
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,0778	4888	3361	1527
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,0778	8784	5242	3542
L00526	1	-46,7757878	-23,6743707	289	0,346	0,0778	472	351	121
L00527	1	-46,7748328	-23,6788482	330	0,303	0,0778	567	411	156
L00528	4	-46,7937390	-23,6862114	4929	0,0812	0,311	8528	6298	2230
L00529	1	-46,7803357	-23,6866519	455	0,2198	0,0778	809	569	240
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,0778	6561	4847	1714
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,0778	5703	4173	1530
L00535	1	-46,7885429	-23,6654381	2164	0,0462	0,0778	3718	2707	1011
L00536	2	-46,7920187	-23,6867819	3212	0,0623	0,1555	5561	4120	1441
L00537	2	-46,7846410	-23,6975287	3599	0,0556	0,1555	6096	4448	1648
L00539	4	-46,7886237	-23,6861459	4146	0,0965	0,311	7243	5328	1915
L00540	2	-46,7937648	-23,6769801	2766	0,0723	0,1555	4791	3520	1271
L00543	3	-46,7810676	-23,6817954	3950	0,0759	0,2333	6766	5016	1750
L00544	1	-46,7734160	-23,6802425	3538	0,0283	0,0778	6419	4341	2078
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,0778	6802	4728	2074
L00546	8	-46,7853039	-23,6768377	3484	0,2296	0,6221	6085	4510	1575
L00547	3	-46,7885429	-23,6654381	4193	0,0715	0,2333	7471	5355	2116
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,0778	6142	4535	1607
L00550	2	-46,7755198	-23,6742186	2704	0,074	0,1555	4775	3448	1327
L00551	1	-46,7827546	-23,6998617	2755	0,0363	0,0778	4627	3392	1235
L00552	6	-46,7867141	-23,6791697	1483	0,4046	0,4666	2634	1909	725
L00554	4	-46,7932547	-23,6670602	2548	0,157	0,311	4491	3254	1237
L00555	4	-46,7999759	-23,6870539	3475	0,1151	0,311	6174	4460	1714
L00556	1	-46,7765383	-23,6680796	2361	0,0424	0,0778	3983	2908	1075
L00558	4	-46,7896575	-23,6835516	593	0,6745	0,311	1112	791	321
L00560	2	-46,7971617	-23,6783864	2752	0,0727	0,1555	4757	3583	1174
L00561	5	-46,7797991	-23,6713610	3438	0,1454	0,3888	6027	4213	1814
L00562	3	-46,7764988	-23,6792511	2508	0,1196	0,2333	4349	3228	1121
L05530	20	-46,7007739	-23,6497088	5044	0,3965	1,5552	8236	5638	2598
L05531	2	-46,7133162	-23,6344474	2027	0,0987	0,1555	3063	2266	797
L05532	11	-46,7034029	-23,6447800	2886	0,3812	0,8554	4752	3201	1551
L05533	5	-46,7012118	-23,6454413	2673	0,1871	0,3888	4610	2961	1649
L05534	13	-46,6930410	-23,6638790	5787	0,2246	1,0109	9716	6724	2992
L05535	5	-46,6912424	-23,6607866	3055	0,1637	0,3888	4525	3449	1076
L05536	6	-46,6821350	-23,6631782	5321	0,1128	0,4666	8921	6173	2748
L05538	2	-46,6809074	-23,6663068	3075	0,065	0,1555	5073	3651	1422
L05539	7	-46,7155893	-23,6513354	1889	0,3706	0,5443	3179	2190	989
L05540	4	-46,7098940	-23,6536635	1724	0,232	0,311	3235	2032	1203
L05541	25	-46,7153680	-23,6417200	3773	0,6626	1,944	6610	4390	2220
L05542	12	-46,7071520	-23,6499060	3093	0,388	0,9331	5733	3640	2093
L05543	1	-46,6875690	-23,6745424	2821	0,0354	0,0778	4627	3474	1153
L05544	2	-46,7020955	-23,6297201	1019	0,1963	0,1555	1646	1149	497
L05545	3	-46,6998999	-23,6559182	2564	0,117	0,2333	3946	2911	1035
L05547	3	-46,7031531	-23,6485078	2502	0,1199	0,2333	4597	2896	1701
L05548	6	-46,6996076	-23,6331312	1978	0,3033	0,4666	3388	2288	1100
L05549	11	-46,7057350	-23,6332760	4550	0,2418	0,8554	7718	5073	2645
L05550	16	-46,6945706	-23,6304883	5120	0,3125	1,2442	8978	5840	3138
L05551	8	-46,7022860	-23,6510126	4767	0,1678	0,6221	8841	5514	3327
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,0778	5002	3517	1485
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,0778	2947	1815	1132
L05638	1	-46,6330906	-23,4915684	3666	0,0273	0,0778	6121	4251	1870
L05646	2	-46,7000457	-23,5224777	2592	0,0772	0,1555	4343	2970	1373
L05648	2	-46,7032968	-23,5283085	4170	0,048	0,1555	7531	4847	2684
L05650	1	-46,7098479	-23,5204991	2248	0,0445	0,0778	3855	2539	1316
L05654	3	-46,7056393	-23,5213772	2148	0,1397	0,2333	4003	2538	1465
L05658	1	-46,7052733	-23,5150700	2442	0,041	0,0778	4469	2893	1576
L05660	1	-46,7231084	-23,5262770	2294	0,0436	0,0778	3992	2673	1319
L05693	3	-46,6769917	-23,5570934	4108	0,073	0,2333	6768	4547	2221
L05695	1	-46,6826600	-23,5737124	2079	0,0481	0,0778	3613	2221	1392
L05696	1	-46,6826600	-23,5737124	2813	0,0355	0,0778	4397	3021	1376
L05700	2	-46,7170159	-23,5510140	4888	0,0409	0,1555	7257	5167	2090
L05701	1	-46,6827189	-23,5583923	2882	0,0347	0,0778	4777	3189	1588
L05706	1	-46,6827388	-23,5501422	2508	0,0399	0,0778	4043	2732	1311
