cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,2222	8123	4653	3470
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,2222	3037	1845	1192
L00054	2	-46,6650200	-23,5361422	1083	0,1847	0,4444	1605	1172	433
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,2222	4421	2765	1656
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,2222	5641	3584	2057
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,2222	4267	2744	1523
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,2222	2765	1755	1010
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,2222	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,2222	5785	3615	2170
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,2222	2708	1593	1115
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,2222	5984	4200	1784
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,2222	5617	3662	1955
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,2222	4753	2932	1821
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,2222	7290	5070	2220
L00099	1	-46,5683158	-23,5701115	2161	0,0463	0,2222	3989	2770	1219
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,2222	7199	4264	2935
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,2222	11459	6999	4460
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,2222	7421	4897	2524
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,2222	5561	4120	1441
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,2222	8978	5840	3138
L05554	1	-46,4441795	-23,4982353	3546	0,0282	0,2222	6065	4260	1805
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,2222	10609	7693	2916
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,2222	4847	3284	1563
L05612	6	-46,6264879	-23,4763633	1123	0,5343	1,3333	2007	1430	577
L05613	2	-46,6310064	-23,5025938	1028	0,1946	0,4444	2041	1205	836
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,2222	2094	1527	567
L05616	3	-46,6281182	-23,4912871	3378	0,0888	0,6667	5313	3930	1383
L05617	1	-46,6180480	-23,4923992	3331	0,03	0,2222	5427	3880	1547
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,2222	3578	2176	1402
L05619	1	-46,6476795	-23,4929598	1994	0,0502	0,2222	3788	2470	1318
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,2222	2771	1812	959
L05621	4	-46,6332236	-23,4899666	5271	0,0759	0,8889	8744	6129	2615
L05622	2	-46,6256600	-23,4972860	1960	0,102	0,4444	3358	2341	1017
L05625	5	-46,6261164	-23,4898514	2978	0,1679	1,1111	5488	3556	1932
L05626	2	-46,6278934	-23,4963679	2077	0,0963	0,4444	3746	2434	1312
L05627	2	-46,6249697	-23,5016655	1535	0,1303	0,4444	3087	1826	1261
L05629	24	-46,6242804	-23,4770119	2556	0,939	5,3333	4643	3161	1482
L05631	2	-46,6446670	-23,4910726	1627	0,1229	0,4444	3161	2027	1134
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,2222	5002	3517	1485
L05634	16	-46,6264580	-23,4818440	1908	0,8386	3,5556	3707	2335	1372
L05635	2	-46,6142540	-23,4901233	2048	0,0977	0,4444	3470	2399	1071
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,2222	1410	975	435
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,2222	2947	1815	1132
L05638	3	-46,6330906	-23,4915684	3666	0,0818	0,6667	6121	4251	1870
L05639	2	-46,6239120	-23,4891654	1527	0,131	0,4444	2617	1818	799
L05675	1	-46,7468883	-23,4900910	2971	0,0337	0,2222	5066	3751	1315
L05725	2	-46,5417930	-23,5164577	1220	0,1639	0,4444	2066	1547	519
L05772	1	-46,5679267	-23,5325642	2271	0,044	0,2222	4284	2700	1584
L05782	1	-46,5454070	-23,5485123	1497	0,0668	0,2222	2866	1877	989
L05800	5	-46,6048519	-23,5043234	2579	0,1939	1,1111	4629	3241	1388
L05802	1	-46,6013419	-23,5076564	3312	0,0302	0,2222	6027	4063	1964
L05805	1	-46,6019251	-23,4930215	3006	0,0333	0,2222	5399	3750	1649
L05813	2	-46,6060326	-23,5005742	1776	0,1126	0,4444	3262	2171	1091
L05817	2	-46,6117405	-23,5017844	2739	0,073	0,4444	5039	3341	1698
L05818	2	-46,5907052	-23,5016081	2983	0,067	0,4444	5429	3613	1816
L05823	1	-46,5847505	-23,5062429	2469	0,0405	0,2222	4405	3039	1366
L05828	1	-46,6007196	-23,5005481	2697	0,0371	0,2222	4882	3315	1567
L05834	1	-46,5964032	-23,5194682	1589	0,0629	0,2222	2795	1963	832
L05844	2	-46,6552440	-23,4837840	4064	0,0492	0,4444	6975	5136	1839
L05847	3	-46,6551176	-23,4983123	3654	0,0821	0,6667	6457	4489	1968
L05848	4	-46,6506305	-23,5026837	3720	0,1075	0,8889	6771	4492	2279
L05849	2	-46,6657859	-23,4885740	3928	0,0509	0,4444	7229	4920	2309
L05850	1	-46,6672729	-23,4955761	2587	0,0387	0,2222	4487	3234	1253
L05854	1	-46,6559225	-23,4706050	3589	0,0279	0,2222	6533	4491	2042
L05855	1	-46,6512743	-23,4915758	3689	0,0271	0,2222	6598	4579	2019
L05858	4	-46,6602290	-23,5040336	1694	0,2361	0,8889	3175	2048	1127
L05861	2	-46,6633902	-23,4700233	2413	0,0829	0,4444	4175	2930	1245
L05862	3	-46,6805862	-23,5028507	5531	0,0542	0,6667	9763	6800	2963
L05863	3	-46,6642085	-23,4767719	3809	0,0788	0,6667	7192	4768	2424
L05867	2	-46,6611936	-23,4979397	2374	0,0842	0,4444	4516	2931	1585
L05869	1	-46,6506816	-23,5123597	1285	0,0778	0,2222	2257	1556	701
L05871	2	-46,6689770	-23,4751050	1758	0,1138	0,4444	3076	2211	865
L05872	1	-46,6618430	-23,4656280	2879	0,0347	0,2222	4826	3497	1329
L05873	3	-46,6545485	-23,4716736	1878	0,1597	0,6667	2977	2288	689
L05879	2	-46,6100888	-23,4531726	1472	0,1359	0,4444	2453	1731	722
L05880	1	-46,6130080	-23,4747157	994	0,1006	0,2222	2024	1156	868
L05881	2	-46,6182089	-23,4725956	2680	0,0746	0,4444	4271	3113	1158
L05882	3	-46,6215526	-23,4621730	2370	0,1266	0,6667	3968	2787	1181
L05883	4	-46,6071629	-23,4804948	2403	0,1665	0,8889	4353	2845	1508
L05884	4	-46,6024410	-23,4546385	2320	0,1724	0,8889	3954	2867	1087
L05885	1	-46,6064554	-23,4772146	3669	0,0273	0,2222	6325	4434	1891
L05886	2	-46,5974438	-23,4545847	4312	0,0464	0,4444	8140	5407	2733
L05888	2	-46,5855959	-23,4389881	3768	0,0531	0,4444	6719	4916	1803
L05889	5	-46,6306396	-23,4568482	2624	0,1905	1,1111	4737	3252	1485
L05890	3	-46,6048373	-23,4642332	3719	0,0807	0,6667	6880	4577	2303
L05891	2	-46,5884421	-23,4440711	2609	0,0767	0,4444	4730	3437	1293
L05892	6	-46,6200080	-23,4826288	3225	0,186	1,3333	5990	3879	2111
L05895	3	-46,5968505	-23,4651601	3059	0,0981	0,6667	5869	3863	2006
L05896	5	-46,6110245	-23,4484688	2156	0,2319	1,1111	3544	2609	935
L05897	2	-46,5851276	-23,4502408	3003	0,0666	0,4444	5429	3962	1467
L05898	1	-46,6085609	-23,4656759	1854	0,0539	0,2222	3105	2277	828
L05900	3	-46,5803132	-23,4357702	2733	0,1098	0,6667	5108	3666	1442
L05901	1	-46,6114391	-23,4769661	1848	0,0541	0,2222	3409	2201	1208
L05903	1	-46,5972378	-23,4563706	2628	0,0381	0,2222	4890	3280	1610
L05904	2	-46,6195870	-23,4540240	1890	0,1058	0,4444	3278	2265	1013
L05905	13	-46,5872324	-23,4196031	2830	0,4594	2,8889	5422	3879	1543
L05908	2	-46,5774727	-23,4379629	2559	0,0782	0,4444	4721	3325	1396
L05909	1	-46,5745264	-23,4316764	1629	0,0614	0,2222	3155	2181	974
L05910	1	-46,6108766	-23,4549274	2539	0,0394	0,2222	4480	2999	1481
L05911	1	-46,5953507	-23,4480324	2669	0,0375	0,2222	4700	3478	1222
L05912	3	-46,6031271	-23,4684303	2532	0,1185	0,6667	4589	3126	1463
L05913	3	-46,6248203	-23,4576182	3097	0,0969	0,6667	5869	3776	2093
L05914	2	-46,6046269	-23,4577565	2417	0,0827	0,4444	4627	3016	1611
L05916	1	-46,5772676	-23,4381432	1120	0,0893	0,2222	1985	1453	532
L05917	1	-46,5967409	-23,4660680	1177	0,085	0,2222	1931	1452	479
L05942	1	-46,5766081	-23,5796376	2512	0,0398	0,2222	4766	3082	1684
L05991	1	-46,6608489	-23,6330376	3246	0,0308	0,2222	5977	3853	2124
L06033	1	-46,6024192	-23,6158702	2415	0,0414	0,2222	4140	2950	1190
L06673	1	-46,6853733	-23,7259814	3759	0,0266	0,2222	6283	4756	1527
L07581	1	-46,6363601	-23,6810716	3028	0,033	0,2222	5287	3909	1378
L07675	1	-46,7341179	-23,4868877	2381	0,042	0,2222	4269	2907	1362
L07676	1	-46,7132969	-23,4942851	2690	0,0372	0,2222	5011	3334	1677
L07698	1	-46,4818882	-23,4858938	2747	0,0364	0,2222	5345	3538	1807
L07703	1	-46,4731818	-23,5027056	2186	0,0457	0,2222	3519	2750	769
L07704	1	-46,4783102	-23,4996696	2270	0,0441	0,2222	4005	2861	1144
L07717	1	-46,6977498	-23,4953639	1623	0,0616	0,2222	2803	2006	797
L07731	1	-46,6997557	-23,4958002	3556	0,0281	0,2222	6178	4337	1841
L07741	1	-46,6915530	-23,4896820	2900	0,0345	0,2222	4958	3548	1410
L07745	1	-46,7009225	-23,4890145	828	0,1208	0,2222	1398	1020	378
