cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,1289	5696	3792	1904
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,1289	9838	5921	3917
L00005	3	-46,6603762	-23,5406137	4082	0,0735	0,3866	8248	4503	3745
L00010	4	-46,6355899	-23,5623979	2996	0,1335	0,5155	5666	3638	2028
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,1289	5416	3426	1990
L00015	6	-46,6368132	-23,5574886	3591	0,1671	0,7732	7151	4273	2878
L00019	4	-46,6376429	-23,5607300	2664	0,1502	0,5155	5259	3125	2134
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,1289	5052	2698	2354
L00021	3	-46,6419109	-23,5592168	3437	0,0873	0,3866	6548	4013	2535
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1289	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,1289	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,1289	5430	3072	2358
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,1289	8123	4653	3470
L00034	2	-46,6605264	-23,5415277	5254	0,0381	0,2577	7993	5767	2226
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,1289	6405	4313	2092
L00038	2	-46,6844226	-23,5340373	3156	0,0634	0,2577	5271	3545	1726
L00039	1	-46,6663954	-23,5361229	5419	0,0185	0,1289	8062	5901	2161
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,1289	4613	3033	1580
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,2577	8065	5186	2879
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,1289	4093	2814	1279
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,1289	6470	3731	2739
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,1289	17946	11853	6093
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,1289	4421	2765	1656
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,1289	5154	3085	2069
L00068	2	-46,6432775	-23,5262231	2815	0,071	0,2577	5403	3409	1994
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,1289	8045	4955	3090
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,1289	5985	3756	2229
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,1289	8050	5269	2781
L00089	2	-46,5902871	-23,5470008	2261	0,0885	0,2577	4286	2820	1466
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,1289	4461	3203	1258
L00092	2	-46,5828225	-23,5542479	3888	0,0514	0,2577	7164	4714	2450
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,1289	6970	4489	2481
L00094	3	-46,6214361	-23,5534993	2393	0,1254	0,3866	4753	2932	1821
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,1289	3331	2227	1104
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,2577	8563	5548	3015
L00103	2	-46,5812316	-23,5700009	4342	0,0461	0,2577	7905	5265	2640
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,1289	3574	2207	1367
L00110	1	-46,6602508	-23,5695486	2517	0,0397	0,1289	4741	2759	1982
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,1289	3357	2042	1315
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,1289	11459	6999	4460
L00128	2	-46,6769068	-23,6001070	3888	0,0514	0,2577	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,1289	5654	3970	1684
L00130	2	-46,6437100	-23,5775691	2213	0,0904	0,2577	3690	2443	1247
L00131	2	-46,6442337	-23,5847251	4116	0,0486	0,2577	7035	4617	2418
L00132	6	-46,6416210	-23,5785510	4598	0,1305	0,7732	7651	5166	2485
L00133	3	-46,6320497	-23,5811282	2750	0,1091	0,3866	4986	3131	1855
L00135	2	-46,6431906	-23,5719338	4487	0,0446	0,2577	7477	5015	2462
L00136	2	-46,6234512	-23,5608329	4167	0,048	0,2577	7421	4897	2524
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,1289	4908	3570	1338
L00139	4	-46,6500347	-23,5703394	1246	0,321	0,5155	1910	1375	535
L00141	2	-46,6308086	-23,5650323	5144	0,0389	0,2577	9743	6059	3684
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,1289	4786	3093	1693
L00144	3	-46,6356180	-23,5786976	2260	0,1327	0,3866	3961	2589	1372
L00145	2	-46,6350220	-23,5881065	3012	0,0664	0,2577	5263	3410	1853
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,1289	4585	2913	1672
L00147	2	-46,6251868	-23,5770987	3004	0,0666	0,2577	5565	3493	2072
L00148	2	-46,6273889	-23,5872670	4439	0,0451	0,2577	7836	5122	2714
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,1289	6863	4657	2206
L00152	3	-46,6459660	-23,5746810	3017	0,0994	0,3866	4888	3361	1527
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,2577	6624	4826	1798
L00154	2	-46,6235069	-23,5745404	4329	0,0462	0,2577	7193	5134	2059
L00156	4	-46,6397771	-23,5727404	4608	0,0868	0,5155	8784	5242	3542
L00157	13	-46,6389836	-23,5697573	5176	0,2512	1,6753	8809	5934	2875
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,1289	8236	5638	2598
L05531	3	-46,7133162	-23,6344474	2027	0,148	0,3866	3063	2266	797
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,1289	4752	3201	1551
L05536	3	-46,6821350	-23,6631782	5321	0,0564	0,3866	8921	6173	2748
L05537	1	-46,6842291	-23,6383685	2076	0,0482	0,1289	2987	2240	747
L05538	1	-46,6809074	-23,6663068	3075	0,0325	0,1289	5073	3651	1422
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,1289	3179	2190	989
L05545	3	-46,6998999	-23,6559182	2564	0,117	0,3866	3946	2911	1035
L05568	2	-46,4300003	-23,4998815	2971	0,0673	0,2577	5227	3654	1573
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,1289	6239	4284	1955
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,1289	6860	4712	2148
L05605	2	-46,4587342	-23,5292643	947	0,2112	0,2577	1607	1196	411
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,1289	10609	7693	2916
L05614	1	-46,6407233	-23,4948591	1725	0,058	0,1289	2839	2166	673
L05616	1	-46,6281182	-23,4912871	3378	0,0296	0,1289	5313	3930	1383
L05619	2	-46,6476795	-23,4929598	1994	0,1003	0,2577	3788	2470	1318
L05621	3	-46,6332236	-23,4899666	5271	0,0569	0,3866	8744	6129	2615
L05625	2	-46,6261164	-23,4898514	2978	0,0672	0,2577	5488	3556	1932
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,1289	3746	2434	1312
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,1289	4643	3161	1482
L05630	2	-46,6433628	-23,5013965	1299	0,154	0,2577	2306	1568	738
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,1289	3161	2027	1134
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,1289	5002	3517	1485
L05635	1	-46,6142540	-23,4901233	2048	0,0488	0,1289	3470	2399	1071
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,1289	2947	1815	1132
L05638	1	-46,6330906	-23,4915684	3666	0,0273	0,1289	6121	4251	1870
L05644	2	-46,7293968	-23,5276493	3559	0,0562	0,2577	5915	4024	1891
L05647	3	-46,7273840	-23,5310160	1602	0,1873	0,3866	2410	1810	600
L05653	3	-46,7091294	-23,5350839	1807	0,166	0,3866	3207	2079	1128
L05656	1	-46,7433720	-23,4969505	2765	0,0362	0,1289	4919	3437	1482
L05660	2	-46,7231084	-23,5262770	2294	0,0872	0,2577	3992	2673	1319
L05663	2	-46,7053463	-23,5246614	2188	0,0914	0,2577	4237	2584	1653
L05670	1	-46,7041160	-23,5315757	2953	0,0339	0,1289	5089	3434	1655
L05684	1	-46,7467587	-23,5136239	575	0,1739	0,1289	907	713	194
L05694	1	-46,6971193	-23,5441298	2311	0,0433	0,1289	3990	2579	1411
L05696	1	-46,6826600	-23,5737124	2813	0,0355	0,1289	4397	3021	1376
L05701	1	-46,6827189	-23,5583923	2882	0,0347	0,1289	4777	3189	1588
L05703	1	-46,6962316	-23,5650597	1732	0,0577	0,1289	3356	1964	1392
L05719	1	-46,6976578	-23,5648688	2714	0,0368	0,1289	4719	3052	1667
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,1289	7112	4601	2511
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,1289	5872	3858	2014
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,1289	6711	4640	2071
L05743	3	-46,5487021	-23,5239078	1983	0,1513	0,3866	3819	2477	1342
L05744	1	-46,5317318	-23,5311949	1071	0,0934	0,1289	1768	1306	462
L05749	5	-46,5657556	-23,5447205	2552	0,1959	0,6443	4152	3034	1118
L05750	1	-46,5686249	-23,5424482	4557	0,0219	0,1289	7587	5295	2292
L05751	2	-46,5757522	-23,5380963	4097	0,0488	0,2577	6495	4845	1650
L05752	2	-46,5494401	-23,5441268	4128	0,0484	0,2577	7403	5019	2384
L05760	1	-46,4984532	-23,5847269	4733	0,0211	0,1289	8851	6109	2742
L05774	1	-46,5225365	-23,5551065	2202	0,0454	0,1289	4174	2786	1388
L05777	1	-46,5636721	-23,5353692	1934	0,0517	0,1289	3252	2352	900
L05778	1	-46,5363195	-23,5540735	2588	0,0386	0,1289	4862	3218	1644
L05784	1	-46,5810636	-23,5390713	1123	0,089	0,1289	1806	1332	474
L05788	1	-46,5170255	-23,5575103	1578	0,0634	0,1289	3137	1967	1170
L05790	1	-46,5666544	-23,5322415	751	0,1332	0,1289	1423	890	533
L05791	1	-46,5315630	-23,5480380	1380	0,0725	0,1289	2259	1735	524
L05792	1	-46,5620492	-23,5418287	1124	0,089	0,1289	1793	1351	442
L05793	3	-46,5257140	-23,5554119	2865	0,1047	0,3866	5360	3578	1782
L05794	2	-46,5433831	-23,5503063	4135	0,0484	0,2577	6973	5037	1936
L05796	2	-46,5581932	-23,5503944	4508	0,0444	0,2577	6964	5342	1622
L05797	3	-46,5602785	-23,5363132	5811	0,0516	0,3866	9848	6857	2991
L05805	2	-46,6019251	-23,4930215	3006	0,0665	0,2577	5399	3750	1649
L05817	2	-46,6117405	-23,5017844	2739	0,073	0,2577	5039	3341	1698
L05838	2	-46,5930563	-23,5195686	3761	0,0532	0,2577	6624	4656	1968
L05841	1	-46,6618639	-23,5067043	2520	0,0397	0,1289	4281	2973	1308
L05842	1	-46,6566659	-23,5007326	1397	0,0716	0,1289	2475	1764	711
L05843	2	-46,6732228	-23,5017435	1901	0,1052	0,2577	3104	2323	781
L05844	1	-46,6552440	-23,4837840	4064	0,0246	0,1289	6975	5136	1839
L05845	9	-46,6748489	-23,4996347	2821	0,319	1,1598	4345	3361	984
L05846	4	-46,6811823	-23,4913790	3097	0,1292	0,5155	5454	4068	1386
L05847	5	-46,6551176	-23,4983123	3654	0,1368	0,6443	6457	4489	1968
L05848	1	-46,6506305	-23,5026837	3720	0,0269	0,1289	6771	4492	2279
L05849	12	-46,6657859	-23,4885740	3928	0,3055	1,5464	7229	4920	2309
L05850	1	-46,6672729	-23,4955761	2587	0,0387	0,1289	4487	3234	1253
L05851	2	-46,6632938	-23,5087770	4242	0,0471	0,2577	7237	4966	2271
L05852	13	-46,6754529	-23,4902989	2604	0,4992	1,6753	4917	3236	1681
L05853	2	-46,6576552	-23,4676225	2016	0,0992	0,2577	3658	2494	1164
L05855	1	-46,6512743	-23,4915758	3689	0,0271	0,1289	6598	4579	2019
L05856	1	-46,6576980	-23,5105636	3626	0,0276	0,1289	6816	4472	2344
L05857	6	-46,6610100	-23,4937600	3204	0,1873	0,7732	6028	4077	1951
L05858	1	-46,6602290	-23,5040336	1694	0,059	0,1289	3175	2048	1127
L05859	9	-46,6755514	-23,4980697	2950	0,3051	1,1598	5525	3700	1825
L05860	6	-46,6806536	-23,4985927	2933	0,2046	0,7732	5335	3608	1727
L05861	1	-46,6633902	-23,4700233	2413	0,0414	0,1289	4175	2930	1245
L05862	2	-46,6805862	-23,5028507	5531	0,0362	0,2577	9763	6800	2963
L05863	1	-46,6642085	-23,4767719	3809	0,0263	0,1289	7192	4768	2424
