cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	2	-46,6357754	-23,5454496	744	0,2688	0,0665	1384	845	539
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0332	5696	3792	1904
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,0332	9838	5921	3917
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,0332	8248	4503	3745
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,0665	8358	5061	3297
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,0332	6983	4278	2705
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0332	7072	4407	2665
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,0332	5416	3426	1990
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,0332	5182	3459	1723
L00015	3	-46,6368132	-23,5574886	3591	0,0835	0,0997	7151	4273	2878
L00016	2	-46,6361305	-23,5497845	2669	0,0749	0,0665	5297	3132	2165
L00018	2	-46,6419109	-23,5592168	3389	0,059	0,0665	7001	3906	3095
L00019	2	-46,6376429	-23,5607300	2664	0,0751	0,0665	5259	3125	2134
L00021	4	-46,6419109	-23,5592168	3437	0,1164	0,133	6548	4013	2535
L00022	6	-46,6521240	-23,5458002	10350	0,058	0,1995	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0332	4909	3201	1708
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,0332	3803	2547	1256
L00027	2	-46,6368084	-23,5498480	2635	0,0759	0,0665	5430	3072	2358
L00030	3	-46,6716846	-23,5278546	4168	0,072	0,0997	8123	4653	3470
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,0332	5622	4272	1350
L00033	2	-46,6545420	-23,5418060	2940	0,068	0,0665	4562	3313	1249
L00037	2	-46,6566164	-23,5307137	3471	0,0576	0,0665	6463	3952	2511
L00038	3	-46,6844226	-23,5340373	3156	0,0951	0,0997	5271	3545	1726
L00039	4	-46,6663954	-23,5361229	5419	0,0738	0,133	8062	5901	2161
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,0332	2631	1843	788
L00044	1	-46,6566305	-23,5207777	1534	0,0652	0,0332	2722	1815	907
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0332	3940	2485	1455
L00046	2	-46,6555734	-23,5283610	2335	0,0857	0,0665	4656	2795	1861
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0332	8065	5186	2879
L00050	3	-46,6531096	-23,5391595	3449	0,087	0,0997	6577	4007	2570
L00051	2	-46,6946005	-23,5421890	3052	0,0655	0,0665	5602	3572	2030
L00052	3	-46,6832663	-23,5289919	4888	0,0614	0,0997	8677	5629	3048
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,0332	9323	6035	3288
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0332	4093	2814	1279
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,0332	6470	3731	2739
L00060	3	-46,6711550	-23,5381000	10857	0,0276	0,0997	17946	11853	6093
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,0332	4421	2765	1656
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0332	4267	2744	1523
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,0332	4500	2909	1591
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,0332	2765	1755	1010
L00068	4	-46,6432775	-23,5262231	2815	0,1421	0,133	5403	3409	1994
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,0332	3469	2192	1277
L00070	5	-46,6134834	-23,5400667	2964	0,1687	0,1662	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0332	5785	3615	2170
L00072	1	-46,6208174	-23,5236456	705	0,1418	0,0332	1424	855	569
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,0332	2708	1593	1115
L00074	2	-46,6370866	-23,5384772	2847	0,0702	0,0665	6133	3437	2696
L00075	3	-46,6325856	-23,5295792	4103	0,0731	0,0997	8045	4955	3090
L00077	3	-46,6228821	-23,5238878	3089	0,0971	0,0997	5985	3756	2229
L00078	2	-46,6212238	-23,5429654	2774	0,0721	0,0665	5496	3398	2098
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0332	5823	3854	1969
L00081	2	-46,5848689	-23,5392025	3560	0,0562	0,0665	5984	4200	1784
L00082	3	-46,5746890	-23,5568730	2818	0,1065	0,0997	4581	3379	1202
L00083	3	-46,5997287	-23,5410220	3324	0,0903	0,0997	6501	4011	2490
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,0665	8807	6387	2420
L00085	4	-46,5978907	-23,5552089	4372	0,0915	0,133	8050	5269	2781
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,0332	5617	3662	1955
L00089	2	-46,5902871	-23,5470008	2261	0,0885	0,0665	4286	2820	1466
L00092	2	-46,5828225	-23,5542479	3888	0,0514	0,0665	7164	4714	2450
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,0332	6970	4489	2481
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,0332	7290	5070	2220
L00097	3	-46,5595868	-23,5719075	2559	0,1172	0,0997	4560	3187	1373
L00099	1	-46,5683158	-23,5701115	2161	0,0463	0,0332	3989	2770	1219
L00100	3	-46,5637915	-23,5715671	2872	0,1045	0,0997	5130	3619	1511
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,0665	8563	5548	3015
L00106	4	-46,5939719	-23,5375195	4328	0,0924	0,133	6924	5149	1775
L00107	5	-46,6116378	-23,5511180	2148	0,2328	0,1662	4565	2585	1980
L00108	2	-46,5976041	-23,5519593	6779	0,0295	0,0665	11883	7994	3889
L00111	3	-46,6590182	-23,5634584	7550	0,0397	0,0997	13488	8273	5215
L00112	1	-46,6747793	-23,5889660	1465	0,0683	0,0332	2322	1627	695
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,0332	8733	5175	3558
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,0332	5240	3249	1991
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,0332	4967	3078	1889
L00127	3	-46,6605835	-23,5566944	6318	0,0475	0,0997	11459	6999	4460
L00130	2	-46,6437100	-23,5775691	2213	0,0904	0,0665	3690	2443	1247
L00131	2	-46,6442337	-23,5847251	4116	0,0486	0,0665	7035	4617	2418
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,0332	7651	5166	2485
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,0332	8425	5454	2971
L00135	3	-46,6431906	-23,5719338	4487	0,0669	0,0997	7477	5015	2462
L00136	2	-46,6234512	-23,5608329	4167	0,048	0,0665	7421	4897	2524
L00138	2	-46,6259630	-23,5630260	2096	0,0954	0,0665	3469	2565	904
L00139	1	-46,6500347	-23,5703394	1246	0,0803	0,0332	1910	1375	535
L00141	2	-46,6308086	-23,5650323	5144	0,0389	0,0665	9743	6059	3684
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,0332	4786	3093	1693
L00146	2	-46,6223857	-23,5681693	2480	0,0806	0,0665	4585	2913	1672
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,0332	5565	3493	2072
L00148	3	-46,6273889	-23,5872670	4439	0,0676	0,0997	7836	5122	2714
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,0332	6863	4657	2206
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,0332	4478	3358	1120
L00152	2	-46,6459660	-23,5746810	3017	0,0663	0,0665	4888	3361	1527
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,0332	6624	4826	1798
L00154	3	-46,6235069	-23,5745404	4329	0,0693	0,0997	7193	5134	2059
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,0665	8809	5934	2875
L00526	3	-46,7757878	-23,6743707	289	1,0381	0,0997	472	351	121
L00527	1	-46,7748328	-23,6788482	330	0,303	0,0332	567	411	156
L00528	3	-46,7937390	-23,6862114	4929	0,0609	0,0997	8528	6298	2230
L00529	1	-46,7803357	-23,6866519	455	0,2198	0,0332	809	569	240
L00533	4	-46,7766842	-23,6810185	3832	0,1044	0,133	6561	4847	1714
L00534	7	-46,7872371	-23,6773522	3311	0,2114	0,2327	5703	4173	1530
L00535	77	-46,7885429	-23,6654381	2164	3,5582	2,5598	3718	2707	1011
L00536	5	-46,7920187	-23,6867819	3212	0,1557	0,1662	5561	4120	1441
L00538	1	-46,7850919	-23,7005041	671	0,149	0,0332	1195	850	345
L00539	6	-46,7886237	-23,6861459	4146	0,1447	0,1995	7243	5328	1915
L00540	9	-46,7937648	-23,6769801	2766	0,3254	0,2992	4791	3520	1271
L00541	9	-46,7778780	-23,6885051	4697	0,1916	0,2992	8374	5781	2593
L00542	16	-46,7901616	-23,6750896	3768	0,4246	0,5319	6810	4643	2167
L00543	8	-46,7810676	-23,6817954	3950	0,2025	0,266	6766	5016	1750
L00544	4	-46,7734160	-23,6802425	3538	0,1131	0,133	6419	4341	2078
L00545	5	-46,7766899	-23,6802567	3771	0,1326	0,1662	6802	4728	2074
L00546	12	-46,7853039	-23,6768377	3484	0,3444	0,3989	6085	4510	1575
L00547	167	-46,7885429	-23,6654381	4193	3,9828	5,5519	7471	5355	2116
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,0332	6142	4535	1607
L00550	23	-46,7755198	-23,6742186	2704	0,8506	0,7646	4775	3448	1327
L00551	1	-46,7827546	-23,6998617	2755	0,0363	0,0332	4627	3392	1235
L00552	4	-46,7867141	-23,6791697	1483	0,2697	0,133	2634	1909	725
L00553	3	-46,7839538	-23,6721527	1679	0,1787	0,0997	2758	2071	687
L00554	31	-46,7932547	-23,6670602	2548	1,2166	1,0306	4491	3254	1237
L00555	7	-46,7999759	-23,6870539	3475	0,2014	0,2327	6174	4460	1714
L00556	20	-46,7765383	-23,6680796	2361	0,8471	0,6649	3983	2908	1075
L00557	1	-46,7925723	-23,6791753	147	0,6803	0,0332	271	200	71
L00559	8	-46,7951730	-23,6802102	2040	0,3922	0,266	3413	2489	924
L00560	7	-46,7971617	-23,6783864	2752	0,2544	0,2327	4757	3583	1174
L00561	11	-46,7797991	-23,6713610	3438	0,32	0,3657	6027	4213	1814
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,0665	4349	3228	1121
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,0332	8236	5638	2598
L05531	1	-46,7133162	-23,6344474	2027	0,0493	0,0332	3063	2266	797
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,0332	9716	6724	2992
L05535	2	-46,6912424	-23,6607866	3055	0,0655	0,0665	4525	3449	1076
L05536	2	-46,6821350	-23,6631782	5321	0,0376	0,0665	8921	6173	2748
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,0332	3179	2190	989
L05540	1	-46,7098940	-23,6536635	1724	0,058	0,0332	3235	2032	1203
L05541	3	-46,7153680	-23,6417200	3773	0,0795	0,0997	6610	4390	2220
L05542	3	-46,7071520	-23,6499060	3093	0,097	0,0997	5733	3640	2093
L05543	2	-46,6875690	-23,6745424	2821	0,0709	0,0665	4627	3474	1153
L05544	1	-46,7020955	-23,6297201	1019	0,0981	0,0332	1646	1149	497
L05547	2	-46,7031531	-23,6485078	2502	0,0799	0,0665	4597	2896	1701
L05549	4	-46,7057350	-23,6332760	4550	0,0879	0,133	7718	5073	2645
L05550	2	-46,6945706	-23,6304883	5120	0,0391	0,0665	8978	5840	3138
L05551	3	-46,7022860	-23,6510126	4767	0,0629	0,0997	8841	5514	3327
L05553	1	-46,4351534	-23,5022679	3506	0,0285	0,0332	6236	4381	1855
L05554	2	-46,4441795	-23,4982353	3546	0,0564	0,0665	6065	4260	1805
L05555	1	-46,4398111	-23,5068607	1270	0,0787	0,0332	2259	1566	693
L05557	2	-46,4452179	-23,4993366	2352	0,085	0,0665	3986	2897	1089
L05558	2	-46,4234630	-23,5085168	3758	0,0532	0,0665	6529	4735	1794
L05561	2	-46,4389924	-23,5145862	3097	0,0646	0,0665	5489	4147	1342
L05562	1	-46,4459517	-23,5057536	2705	0,037	0,0332	4642	3367	1275
L05563	2	-46,4331534	-23,4945484	2753	0,0726	0,0665	4924	3393	1531
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,0332	6687	5009	1678
L05565	2	-46,4195668	-23,5172129	2191	0,0913	0,0665	3749	2826	923
L05566	5	-46,4352447	-23,5020281	2851	0,1754	0,1662	4735	3521	1214
L05567	1	-46,4215117	-23,5013996	3622	0,0276	0,0332	6083	4594	1489
L05568	2	-46,4300003	-23,4998815	2971	0,0673	0,0665	5227	3654	1573
L05569	1	-46,4407439	-23,4944067	1547	0,0646	0,0332	2737	1890	847
L05570	1	-46,4345329	-23,5094734	3688	0,0271	0,0332	6309	4565	1744
L05571	2	-46,4218866	-23,5204965	2679	0,0747	0,0665	4440	3324	1116
L05573	1	-46,4192720	-23,4963124	2328	0,043	0,0332	4347	2982	1365
L05576	2	-46,4220218	-23,5011268	1232	0,1623	0,0665	1990	1570	420
L05578	1	-46,4526050	-23,5387875	2564	0,039	0,0332	4882	3187	1695
L05580	1	-46,4367093	-23,5286893	3428	0,0292	0,0332	6257	4314	1943
L05581	2	-46,4522081	-23,5171617	3935	0,0508	0,0665	6924	5015	1909
L05582	1	-46,4362612	-23,5281919	1912	0,0523	0,0332	3481	2438	1043
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,0332	6128	4395	1733
L05584	3	-46,4623208	-23,5289299	3239	0,0926	0,0997	5568	4191	1377
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,0332	4163	3117	1046
L05587	2	-46,4443497	-23,5387667	3161	0,0633	0,0665	5471	4127	1344
L05588	2	-46,4326641	-23,5174330	2595	0,0771	0,0665	4297	3303	994
L05589	2	-46,4544868	-23,5471412	2039	0,0981	0,0665	3417	2606	811
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,0332	6239	4284	1955
L05591	5	-46,4544144	-23,5410443	3621	0,1381	0,1662	6839	4640	2199
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,0332	6254	4448	1806
L05593	3	-46,4528982	-23,5182408	3494	0,0859	0,0997	6309	4695	1614
L05594	1	-46,4618318	-23,5393802	2228	0,0449	0,0332	3850	2859	991
L05595	2	-46,4580805	-23,5512840	2564	0,078	0,0665	4400	3342	1058
L05596	2	-46,4536228	-23,5552304	3671	0,0545	0,0665	6672	4852	1820
L05597	7	-46,4601240	-23,5260232	3143	0,2227	0,2327	5422	4051	1371
L05598	2	-46,4625526	-23,5168760	2035	0,0983	0,0665	3550	2651	899
L05600	2	-46,4589975	-23,5302914	3067	0,0652	0,0665	5494	3916	1578
L05601	2	-46,4359061	-23,5226454	2327	0,0859	0,0665	4159	3108	1051
L05602	4	-46,4402958	-23,5148095	3394	0,1179	0,133	6298	4377	1921
L05603	2	-46,4430227	-23,5314831	2610	0,0766	0,0665	4621	3404	1217
L05605	1	-46,4587342	-23,5292643	947	0,1056	0,0332	1607	1196	411
L05607	2	-46,4470139	-23,5216112	1268	0,1577	0,0665	2275	1708	567
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,0332	2270	1658	612
L05610	3	-46,4554689	-23,5282555	6146	0,0488	0,0997	10609	7693	2916
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,0332	4847	3284	1563
L05612	1	-46,6264879	-23,4763633	1123	0,089	0,0332	2007	1430	577
L05614	2	-46,6407233	-23,4948591	1725	0,1159	0,0665	2839	2166	673
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,0332	2094	1527	567
L05616	2	-46,6281182	-23,4912871	3378	0,0592	0,0665	5313	3930	1383
L05618	2	-46,6270210	-23,5057810	1824	0,1096	0,0665	3578	2176	1402
L05619	2	-46,6476795	-23,4929598	1994	0,1003	0,0665	3788	2470	1318
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,0332	2771	1812	959
L05621	1	-46,6332236	-23,4899666	5271	0,019	0,0332	8744	6129	2615
L05622	2	-46,6256600	-23,4972860	1960	0,102	0,0665	3358	2341	1017
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,0332	4896	3055	1841
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,0332	5488	3556	1932
