cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,3215	5297	3132	2165
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,6431	8062	5901	2161
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,3215	5496	3398	2098
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,3215	5171	3468	1703
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,3215	4753	2932	1821
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,3215	3357	2042	1315
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,3215	4109	2634	1475
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,3215	4205	2672	1533
L00136	2	-46,6234512	-23,5608329	4167	0,048	0,6431	7421	4897	2524
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,3215	4585	2913	1672
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,3215	4478	3358	1120
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,3215	4775	3448	1327
L00560	1	-46,7971617	-23,6783864	2752	0,0363	0,3215	4757	3583	1174
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,3215	4752	3201	1551
L05535	2	-46,6912424	-23,6607866	3055	0,0655	0,6431	4525	3449	1076
L05549	2	-46,7057350	-23,6332760	4550	0,044	0,6431	7718	5073	2645
L05571	1	-46,4218866	-23,5204965	2679	0,0373	0,3215	4440	3324	1116
L05573	1	-46,4192720	-23,4963124	2328	0,043	0,3215	4347	2982	1365
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,3215	6672	4852	1820
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,3215	3578	2176	1402
L05644	1	-46,7293968	-23,5276493	3559	0,0281	0,3215	5915	4024	1891
L05649	1	-46,7178181	-23,5361638	1874	0,0534	0,3215	2784	2102	682
L05655	1	-46,7387000	-23,5030740	1453	0,0688	0,3215	2267	1763	504
L05670	1	-46,7041160	-23,5315757	2953	0,0339	0,3215	5089	3434	1655
L05678	1	-46,7498669	-23,4969079	2593	0,0386	0,3215	4758	3251	1507
L05681	1	-46,6949470	-23,5283220	1938	0,0516	0,3215	3100	2183	917
L05692	2	-46,7342495	-23,5279924	4939	0,0405	0,6431	7451	5535	1916
L05734	1	-46,5478984	-23,5284411	2172	0,046	0,3215	4014	2746	1268
L05750	1	-46,5686249	-23,5424482	4557	0,0219	0,3215	7587	5295	2292
L05755	1	-46,5179584	-23,5638358	3205	0,0312	0,3215	5295	4046	1249
L05771	1	-46,5727024	-23,5507422	2617	0,0382	0,3215	4908	3111	1797
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,3215	10333	6962	3371
L05785	1	-46,4982329	-23,5898352	2069	0,0483	0,3215	3681	2817	864
L05793	1	-46,5257140	-23,5554119	2865	0,0349	0,3215	5360	3578	1782
L05802	1	-46,6013419	-23,5076564	3312	0,0302	0,3215	6027	4063	1964
L05820	1	-46,5663467	-23,5211065	3363	0,0297	0,3215	6296	4358	1938
L05828	1	-46,6007196	-23,5005481	2697	0,0371	0,3215	4882	3315	1567
L05841	1	-46,6618639	-23,5067043	2520	0,0397	0,3215	4281	2973	1308
L05854	2	-46,6559225	-23,4706050	3589	0,0557	0,6431	6533	4491	2042
L05891	3	-46,5884421	-23,4440711	2609	0,115	0,9646	4730	3437	1293
L05892	1	-46,6200080	-23,4826288	3225	0,031	0,3215	5990	3879	2111
L05899	2	-46,6056454	-23,4658408	3170	0,0631	0,6431	5858	3789	2069
L05923	1	-46,5785504	-23,5815302	2493	0,0401	0,3215	3882	2983	899
L05984	4	-46,6639945	-23,6440840	2592	0,1543	1,2862	4500	3040	1460
L06012	1	-46,6319660	-23,6059990	2471	0,0405	0,3215	4092	2850	1242
L06014	2	-46,6273692	-23,6096467	1882	0,1063	0,6431	3682	2300	1382
L06041	1	-46,6051622	-23,5751923	2652	0,0377	0,3215	4753	3194	1559
L06058	1	-46,5930326	-23,5972734	2828	0,0354	0,3215	5015	3572	1443
L06059	1	-46,5975968	-23,6097769	2880	0,0347	0,3215	4845	3529	1316
L06664	2	-46,7020763	-23,6853645	3332	0,06	0,6431	5602	4031	1571
L06668	2	-46,7079679	-23,7294845	5089	0,0393	0,6431	8445	6409	2036
L06669	4	-46,6865884	-23,7095906	3707	0,1079	1,2862	6138	4679	1459
L06673	4	-46,6853733	-23,7259814	3759	0,1064	1,2862	6283	4756	1527
L06674	1	-46,6793309	-23,7195684	3211	0,0311	0,3215	5467	4147	1320
L06676	4	-46,6947263	-23,7122284	3026	0,1322	1,2862	5161	3620	1541
L06677	1	-46,7023442	-23,7336887	3497	0,0286	0,3215	6166	4530	1636
L06680	5	-46,7011093	-23,7188128	4508	0,1109	1,6077	7833	5525	2308
L06682	1	-46,7022612	-23,7224803	3236	0,0309	0,3215	5448	4015	1433
L06683	3	-46,6987338	-23,7098273	2586	0,116	0,9646	4747	3089	1658
L06686	3	-46,7106459	-23,6834675	3696	0,0812	0,9646	6365	4412	1953
L06688	12	-46,6904668	-23,7164776	3363	0,3568	3,8585	5649	4138	1511
L06691	2	-46,6914688	-23,7136432	2546	0,0786	0,6431	4232	3121	1111
L07577	1	-46,6419142	-23,6629092	3221	0,031	0,3215	5894	4037	1857
L07581	1	-46,6363601	-23,6810716	3028	0,033	0,3215	5287	3909	1378
L07585	1	-46,6489412	-23,6630793	4484	0,0223	0,3215	7661	5544	2117
L07591	8	-46,6361421	-23,6802843	2687	0,2977	2,5723	4849	3510	1339
L07595	2	-46,6355606	-23,6678098	4296	0,0466	0,6431	7638	5546	2092
L07600	4	-46,6356262	-23,6788985	1377	0,2905	1,2862	2329	1795	534
L07605	3	-46,6526971	-23,6532191	1424	0,2107	0,9646	2392	1763	629
L07607	1	-46,6434755	-23,6307074	513	0,1949	0,3215	844	592	252
L07672	1	-46,7132794	-23,5018341	2276	0,0439	0,3215	4138	2805	1333
L07673	1	-46,7258835	-23,4822099	1763	0,0567	0,3215	3138	2256	882
L07676	1	-46,7132969	-23,4942851	2690	0,0372	0,3215	5011	3334	1677
L07680	2	-46,7195562	-23,4798197	961	0,2081	0,6431	1641	1213	428
L07695	1	-46,4925761	-23,4889873	3199	0,0313	0,3215	5543	4116	1427
L07702	1	-46,4749626	-23,4875229	2327	0,043	0,3215	4070	2936	1134
L07729	1	-46,7028160	-23,4979150	3736	0,0268	0,3215	6670	4600	2070
L07746	1	-46,6942692	-23,4998988	1098	0,0911	0,3215	1786	1314	472
L07750	1	-46,7708337	-23,6299871	13605	0,0074	0,3215	25821	17652	8169
L07760	1	-46,7556667	-23,6404221	3739	0,0267	0,3215	6385	4685	1700
L07765	1	-46,7497115	-23,6403144	4495	0,0222	0,3215	7813	5662	2151
L07772	2	-46,7607719	-23,6385695	2910	0,0687	0,6431	5170	3706	1464
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,3215	5923	4007	1916
L08199	1	-46,7202481	-23,5763764	1751	0,0571	0,3215	3121	1996	1125
L08236	1	-46,4990570	-23,5735096	2833	0,0353	0,3215	4657	3582	1075
L08275	1	-46,5344569	-23,5777136	2311	0,0433	0,3215	4317	2988	1329
L08283	1	-46,5276225	-23,5710305	2727	0,0367	0,3215	5111	3464	1647
