cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	2	-46,6455650	-23,5547500	3290	0,0608	0,1106	5696	3792	1904
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,0553	8248	4503	3745
L00006	3	-46,6471893	-23,5496488	4359	0,0688	0,1658	8358	5061	3297
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,0553	6983	4278	2705
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0553	5666	3638	2028
L00011	2	-46,6535747	-23,5498948	3808	0,0525	0,1106	7072	4407	2665
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,0553	5416	3426	1990
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,0553	7151	4273	2878
L00016	2	-46,6361305	-23,5497845	2669	0,0749	0,1106	5297	3132	2165
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,0553	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0553	5259	3125	2134
L00021	3	-46,6419109	-23,5592168	3437	0,0873	0,1658	6548	4013	2535
L00022	3	-46,6521240	-23,5458002	10350	0,029	0,1658	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0553	4909	3201	1708
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,0553	3234	2130	1104
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,0553	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,0553	5430	3072	2358
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,0553	8123	4653	3470
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,0553	7993	5767	2226
L00042	2	-46,6513283	-23,5415864	1556	0,1285	0,1106	2631	1843	788
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,0553	4613	3033	1580
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0553	3940	2485	1455
L00050	2	-46,6531096	-23,5391595	3449	0,058	0,1106	6577	4007	2570
L00052	2	-46,6832663	-23,5289919	4888	0,0409	0,1106	8677	5629	3048
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,0553	9323	6035	3288
L00058	2	-46,6432297	-23,5320752	3161	0,0633	0,1106	6470	3731	2739
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,0553	17946	11853	6093
L00063	2	-46,6343483	-23,5436627	2624	0,0762	0,1106	5154	3085	2069
L00064	4	-46,6278434	-23,5475185	2980	0,1342	0,2211	5641	3584	2057
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0553	4267	2744	1523
L00071	3	-46,6341197	-23,5306628	2982	0,1006	0,1658	5785	3615	2170
L00072	4	-46,6208174	-23,5236456	705	0,5674	0,2211	1424	855	569
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,0553	2708	1593	1115
L00074	2	-46,6370866	-23,5384772	2847	0,0702	0,1106	6133	3437	2696
L00075	2	-46,6325856	-23,5295792	4103	0,0487	0,1106	8045	4955	3090
L00077	2	-46,6228821	-23,5238878	3089	0,0647	0,1106	5985	3756	2229
L00078	2	-46,6212238	-23,5429654	2774	0,0721	0,1106	5496	3398	2098
L00081	5	-46,5848689	-23,5392025	3560	0,1404	0,2764	5984	4200	1784
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,0553	4581	3379	1202
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,1106	8807	6387	2420
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,0553	8050	5269	2781
L00086	2	-46,6000356	-23,5353560	2856	0,07	0,1106	5171	3468	1703
L00088	1	-46,6217269	-23,5533444	1019	0,0981	0,0553	1932	1238	694
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,0553	4286	2820	1466
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,0553	6188	3786	2402
L00092	3	-46,5828225	-23,5542479	3888	0,0772	0,1658	7164	4714	2450
L00093	5	-46,5813248	-23,5619799	3706	0,1349	0,2764	6970	4489	2481
L00096	4	-46,5697601	-23,5636527	4049	0,0988	0,2211	7290	5070	2220
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,0553	4560	3187	1373
L00100	2	-46,5637915	-23,5715671	2872	0,0696	0,1106	5130	3619	1511
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,0553	7988	5172	2816
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,0553	6924	5149	1775
L00108	3	-46,5976041	-23,5519593	6779	0,0443	0,1658	11883	7994	3889
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,0553	5240	3249	1991
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,0553	3761	2276	1485
L00132	2	-46,6416210	-23,5785510	4598	0,0435	0,1106	7651	5166	2485
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,0553	8425	5454	2971
L00136	2	-46,6234512	-23,5608329	4167	0,048	0,1106	7421	4897	2524
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,0553	4908	3570	1338
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0553	9743	6059	3684
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,0553	4786	3093	1693
L00144	1	-46,6356180	-23,5786976	2260	0,0442	0,0553	3961	2589	1372
L00147	2	-46,6251868	-23,5770987	3004	0,0666	0,1106	5565	3493	2072
L00149	1	-46,6300092	-23,5766639	1599	0,0625	0,0553	2985	1875	1110
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,0553	6624	4826	1798
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,0553	7193	5134	2059
L00157	1	-46,6389836	-23,5697573	5176	0,0193	0,0553	8809	5934	2875
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,0553	6561	4847	1714
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,0553	5561	4120	1441
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,0553	6766	5016	1750
L00554	2	-46,7932547	-23,6670602	2548	0,0785	0,1106	4491	3254	1237
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,0553	6174	4460	1714
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,0553	3413	2489	924
L00560	1	-46,7971617	-23,6783864	2752	0,0363	0,0553	4757	3583	1174
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,1106	4349	3228	1121
L05534	2	-46,6930410	-23,6638790	5787	0,0346	0,1106	9716	6724	2992
L05538	1	-46,6809074	-23,6663068	3075	0,0325	0,0553	5073	3651	1422
L05540	2	-46,7098940	-23,6536635	1724	0,116	0,1106	3235	2032	1203
L05543	4	-46,6875690	-23,6745424	2821	0,1418	0,2211	4627	3474	1153
L05553	2	-46,4351534	-23,5022679	3506	0,057	0,1106	6236	4381	1855
L05555	2	-46,4398111	-23,5068607	1270	0,1575	0,1106	2259	1566	693
L05556	2	-46,4403512	-23,4942325	2553	0,0783	0,1106	4433	3067	1366
L05557	1	-46,4452179	-23,4993366	2352	0,0425	0,0553	3986	2897	1089
L05558	2	-46,4234630	-23,5085168	3758	0,0532	0,1106	6529	4735	1794
L05561	1	-46,4389924	-23,5145862	3097	0,0323	0,0553	5489	4147	1342
L05564	2	-46,4259779	-23,5162635	4083	0,049	0,1106	6687	5009	1678
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,0553	4735	3521	1214
L05567	2	-46,4215117	-23,5013996	3622	0,0552	0,1106	6083	4594	1489
L05571	2	-46,4218866	-23,5204965	2679	0,0747	0,1106	4440	3324	1116
L05576	1	-46,4220218	-23,5011268	1232	0,0812	0,0553	1990	1570	420
L05577	2	-46,4390699	-23,4987794	622	0,3215	0,1106	1101	766	335
L05578	3	-46,4526050	-23,5387875	2564	0,117	0,1658	4882	3187	1695
L05579	1	-46,4415141	-23,5227656	2072	0,0483	0,0553	3867	2846	1021
L05581	4	-46,4522081	-23,5171617	3935	0,1017	0,2211	6924	5015	1909
L05582	1	-46,4362612	-23,5281919	1912	0,0523	0,0553	3481	2438	1043
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,0553	6128	4395	1733
L05584	3	-46,4623208	-23,5289299	3239	0,0926	0,1658	5568	4191	1377
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,0553	4123	3094	1029
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,0553	5471	4127	1344
L05589	4	-46,4544868	-23,5471412	2039	0,1962	0,2211	3417	2606	811
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,0553	6239	4284	1955
L05591	2	-46,4544144	-23,5410443	3621	0,0552	0,1106	6839	4640	2199
L05592	3	-46,4528483	-23,5265608	3373	0,0889	0,1658	6254	4448	1806
L05593	3	-46,4528982	-23,5182408	3494	0,0859	0,1658	6309	4695	1614
