cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,0091	3779	2548	1231
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0091	5696	3792	1904
L00004	3	-46,6511260	-23,5652103	5298	0,0566	0,0274	9838	5921	3917
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,0091	8358	5061	3297
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,0091	3791	2317	1474
L00008	2	-46,6464095	-23,5560819	3643	0,0549	0,0183	6983	4278	2705
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,0091	1409	943	466
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0091	5666	3638	2028
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0091	7072	4407	2665
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,0091	5416	3426	1990
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,0091	7151	4273	2878
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0091	5297	3132	2165
L00018	4	-46,6419109	-23,5592168	3389	0,118	0,0365	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0091	5259	3125	2134
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,0091	6548	4013	2535
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,0091	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,0091	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,0091	5430	3072	2358
L00029	1	-46,6858903	-23,5271427	1846	0,0542	0,0091	2661	2067	594
L00032	1	-46,6564979	-23,5376940	1668	0,06	0,0091	2471	1844	627
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,0091	6405	4313	2092
L00037	3	-46,6566164	-23,5307137	3471	0,0864	0,0274	6463	3952	2511
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,0183	8062	5901	2161
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,0091	2631	1843	788
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0091	3940	2485	1455
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,0091	6577	4007	2570
L00060	3	-46,6711550	-23,5381000	10857	0,0276	0,0274	17946	11853	6093
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,0091	6305	3946	2359
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,0183	4421	2765	1656
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,0091	5154	3085	2069
L00064	4	-46,6278434	-23,5475185	2980	0,1342	0,0365	5641	3584	2057
L00065	2	-46,6385252	-23,5376549	2229	0,0897	0,0183	4267	2744	1523
L00067	2	-46,6107088	-23,5252045	1435	0,1394	0,0183	2765	1755	1010
L00070	4	-46,6134834	-23,5400667	2964	0,135	0,0365	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0091	5785	3615	2170
L00073	3	-46,6217056	-23,5381881	1287	0,2331	0,0274	2708	1593	1115
L00075	2	-46,6325856	-23,5295792	4103	0,0487	0,0183	8045	4955	3090
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0091	5823	3854	1969
L00081	3	-46,5848689	-23,5392025	3560	0,0843	0,0274	5984	4200	1784
L00082	3	-46,5746890	-23,5568730	2818	0,1065	0,0274	4581	3379	1202
L00083	5	-46,5997287	-23,5410220	3324	0,1504	0,0457	6501	4011	2490
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,0091	8807	6387	2420
L00085	5	-46,5978907	-23,5552089	4372	0,1144	0,0457	8050	5269	2781
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,0091	5171	3468	1703
L00087	2	-46,5842762	-23,5514675	2993	0,0668	0,0183	5617	3662	1955
L00089	6	-46,5902871	-23,5470008	2261	0,2654	0,0548	4286	2820	1466
L00090	5	-46,5652413	-23,5675233	2503	0,1998	0,0457	4461	3203	1258
L00091	2	-46,5964833	-23,5637925	3169	0,0631	0,0183	6188	3786	2402
L00092	3	-46,5828225	-23,5542479	3888	0,0772	0,0274	7164	4714	2450
L00093	3	-46,5813248	-23,5619799	3706	0,0809	0,0274	6970	4489	2481
L00095	3	-46,5726610	-23,5574173	1814	0,1654	0,0274	3331	2227	1104
L00096	3	-46,5697601	-23,5636527	4049	0,0741	0,0274	7290	5070	2220
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,0091	4560	3187	1373
L00100	1	-46,5637915	-23,5715671	2872	0,0348	0,0091	5130	3619	1511
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,0091	7988	5172	2816
L00102	4	-46,5979424	-23,5532296	4622	0,0865	0,0365	8563	5548	3015
L00103	3	-46,5812316	-23,5700009	4342	0,0691	0,0274	7905	5265	2640
L00106	3	-46,5939719	-23,5375195	4328	0,0693	0,0274	6924	5149	1775
L00107	4	-46,6116378	-23,5511180	2148	0,1862	0,0365	4565	2585	1980
L00108	6	-46,5976041	-23,5519593	6779	0,0885	0,0548	11883	7994	3889
L00111	1	-46,6590182	-23,5634584	7550	0,0132	0,0091	13488	8273	5215
L00125	1	-46,6822891	-23,5834680	4924	0,0203	0,0091	9066	5408	3658
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,0091	11459	6999	4460
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,0091	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,0091	5654	3970	1684
L00130	1	-46,6437100	-23,5775691	2213	0,0452	0,0091	3690	2443	1247
L00133	2	-46,6320497	-23,5811282	2750	0,0727	0,0183	4986	3131	1855
L00134	2	-46,6358455	-23,5895447	4856	0,0412	0,0183	8425	5454	2971
L00135	2	-46,6431906	-23,5719338	4487	0,0446	0,0183	7477	5015	2462
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,0091	7421	4897	2524
L00142	1	-46,6119113	-23,5742236	2504	0,0399	0,0091	4454	2944	1510
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,0091	4786	3093	1693
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,0091	5263	3410	1853
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,0091	4585	2913	1672
L00147	2	-46,6251868	-23,5770987	3004	0,0666	0,0183	5565	3493	2072
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,0091	7836	5122	2714
L00151	4	-46,6209441	-23,5882398	2949	0,1356	0,0365	4478	3358	1120
L00153	3	-46,6399206	-23,5899717	4323	0,0694	0,0274	6624	4826	1798
L00156	2	-46,6397771	-23,5727404	4608	0,0434	0,0183	8784	5242	3542
L00157	6	-46,6389836	-23,5697573	5176	0,1159	0,0548	8809	5934	2875
L00528	1	-46,7937390	-23,6862114	4929	0,0203	0,0091	8528	6298	2230
L00542	1	-46,7901616	-23,6750896	3768	0,0265	0,0091	6810	4643	2167
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,0091	6766	5016	1750
L00551	1	-46,7827546	-23,6998617	2755	0,0363	0,0091	4627	3392	1235
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,0091	8236	5638	2598
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,0091	8921	6173	2748
L05547	1	-46,7031531	-23,6485078	2502	0,04	0,0091	4597	2896	1701
