cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,5208	8358	5061	3297
L00011	2	-46,6535747	-23,5498948	3808	0,0525	1,0417	7072	4407	2665
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,5208	5297	3132	2165
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,5208	4562	3313	1249
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,5208	9323	6035	3288
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,5208	4421	2765	1656
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,5208	5785	3615	2170
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,5208	6133	3437	2696
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,5208	8045	4955	3090
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,5208	5985	3756	2229
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,5208	5984	4200	1784
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,5208	7164	4714	2450
L00106	2	-46,5939719	-23,5375195	4328	0,0462	1,0417	6924	5149	1775
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,5208	7199	4264	2935
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,5208	4967	3078	1889
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,5208	5654	3970	1684
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,5208	7035	4617	2418
L00135	1	-46,6431906	-23,5719338	4487	0,0223	0,5208	7477	5015	2462
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,5208	5263	3410	1853
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,5208	4888	3361	1527
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,5208	8784	5242	3542
L00157	1	-46,6389836	-23,5697573	5176	0,0193	0,5208	8809	5934	2875
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,5208	3413	2489	924
L00561	1	-46,7797991	-23,6713610	3438	0,0291	0,5208	6027	4213	1814
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,5208	8841	5514	3327
L05552	1	-46,4488381	-23,4906612	2090	0,0478	0,5208	3620	2620	1000
L05556	2	-46,4403512	-23,4942325	2553	0,0783	1,0417	4433	3067	1366
L05561	2	-46,4389924	-23,5145862	3097	0,0646	1,0417	5489	4147	1342
L05568	1	-46,4300003	-23,4998815	2971	0,0337	0,5208	5227	3654	1573
L05571	1	-46,4218866	-23,5204965	2679	0,0373	0,5208	4440	3324	1116
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,5208	4163	3117	1046
L05588	3	-46,4326641	-23,5174330	2595	0,1156	1,5625	4297	3303	994
L05598	1	-46,4625526	-23,5168760	2035	0,0491	0,5208	3550	2651	899
L05602	4	-46,4402958	-23,5148095	3394	0,1179	2,0833	6298	4377	1921
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,5208	4896	3055	1841
L05634	1	-46,6264580	-23,4818440	1908	0,0524	0,5208	3707	2335	1372
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,5208	1410	975	435
L05700	2	-46,7170159	-23,5510140	4888	0,0409	1,0417	7257	5167	2090
L05704	1	-46,7169080	-23,5430685	2482	0,0403	0,5208	4378	2777	1601
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,5208	3862	2632	1230
L05744	1	-46,5317318	-23,5311949	1071	0,0934	0,5208	1768	1306	462
L05747	1	-46,5214246	-23,5293125	1229	0,0814	0,5208	2257	1504	753
L05750	1	-46,5686249	-23,5424482	4557	0,0219	0,5208	7587	5295	2292
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,5208	7403	5019	2384
L05755	1	-46,5179584	-23,5638358	3205	0,0312	0,5208	5295	4046	1249
L05756	1	-46,5564250	-23,5331500	2613	0,0383	0,5208	4568	3155	1413
L05769	1	-46,5467092	-23,5412374	2157	0,0464	0,5208	3707	2712	995
L05776	1	-46,5726461	-23,5512878	2634	0,038	0,5208	4333	3190	1143
L05794	1	-46,5433831	-23,5503063	4135	0,0242	0,5208	6973	5037	1936
L05796	2	-46,5581932	-23,5503944	4508	0,0444	1,0417	6964	5342	1622
L05812	1	-46,5733059	-23,5126116	2290	0,0437	0,5208	4034	2934	1100
L05825	1	-46,6088452	-23,5120897	1543	0,0648	0,5208	2874	1903	971
L05833	1	-46,6239380	-23,5087000	1035	0,0966	0,5208	1958	1312	646
L05853	2	-46,6576552	-23,4676225	2016	0,0992	1,0417	3658	2494	1164
L05865	1	-46,6698247	-23,4725347	947	0,1056	0,5208	1605	1205	400
L05873	1	-46,6545485	-23,4716736	1878	0,0532	0,5208	2977	2288	689
L05888	1	-46,5855959	-23,4389881	3768	0,0265	0,5208	6719	4916	1803
L05968	1	-46,6685076	-23,6131455	3538	0,0283	0,5208	6251	3963	2288
L05974	1	-46,6641427	-23,6002288	6184	0,0162	0,5208	10325	6924	3401
L05976	1	-46,6786792	-23,6169250	3059	0,0327	0,5208	4637	3422	1215
L05987	1	-46,6726843	-23,6097127	3510	0,0285	0,5208	5718	3982	1736
L05989	1	-46,6718044	-23,6208493	3539	0,0283	0,5208	6412	4051	2361
L05994	1	-46,6880132	-23,6223740	4177	0,0239	0,5208	7394	4699	2695
L06007	1	-46,6165982	-23,6041985	3954	0,0253	0,5208	7269	4693	2576
L06012	1	-46,6319660	-23,6059990	2471	0,0405	0,5208	4092	2850	1242
L06022	1	-46,6399802	-23,6207015	7560	0,0132	0,5208	11823	8719	3104
L06035	1	-46,6093832	-23,5888257	2646	0,0378	0,5208	4381	3053	1328
L06666	1	-46,7147308	-23,6702428	2788	0,0359	0,5208	5109	3374	1735
L06683	1	-46,6987338	-23,7098273	2586	0,0387	0,5208	4747	3089	1658
L06684	1	-46,6863422	-23,7040675	2925	0,0342	0,5208	5005	3592	1413
L06688	1	-46,6904668	-23,7164776	3363	0,0297	0,5208	5649	4138	1511
