cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,0063	1384	845	539
L00002	13	-46,6458082	-23,5644282	2271	0,5724	0,082	3779	2548	1231
L00003	18	-46,6455650	-23,5547500	3290	0,5471	0,1136	5696	3792	1904
L00004	75	-46,6511260	-23,5652103	5298	1,4156	0,4732	9838	5921	3917
L00005	300	-46,6603762	-23,5406137	4082	7,3493	1,8929	8248	4503	3745
L00006	8	-46,6471893	-23,5496488	4359	0,1835	0,0505	8358	5061	3297
L00007	7	-46,6432717	-23,5529543	1958	0,3575	0,0442	3791	2317	1474
L00008	17	-46,6464095	-23,5560819	3643	0,4666	0,1073	6983	4278	2705
L00009	5	-46,6401698	-23,5538581	823	0,6075	0,0315	1409	943	466
L00010	2	-46,6355899	-23,5623979	2996	0,0668	0,0126	5666	3638	2028
L00011	22	-46,6535747	-23,5498948	3808	0,5777	0,1388	7072	4407	2665
L00012	38	-46,6461964	-23,5700830	3252	1,1685	0,2398	6283	3656	2627
L00013	14	-46,6421456	-23,5572933	2899	0,4829	0,0883	5416	3426	1990
L00014	3	-46,6289218	-23,5548030	2700	0,1111	0,0189	5182	3459	1723
L00015	14	-46,6368132	-23,5574886	3591	0,3899	0,0883	7151	4273	2878
L00016	3	-46,6361305	-23,5497845	2669	0,1124	0,0189	5297	3132	2165
L00018	17	-46,6419109	-23,5592168	3389	0,5016	0,1073	7001	3906	3095
L00019	7	-46,6376429	-23,5607300	2664	0,2628	0,0442	5259	3125	2134
L00020	3	-46,6376429	-23,5607300	2293	0,1308	0,0189	5052	2698	2354
L00021	23	-46,6419109	-23,5592168	3437	0,6692	0,1451	6548	4013	2535
L00022	219	-46,6521240	-23,5458002	10350	2,1159	1,3818	18525	11583	6942
L00023	14	-46,6498912	-23,5493645	2834	0,494	0,0883	4909	3201	1708
L00024	10	-46,6497533	-23,5485991	1896	0,5274	0,0631	3234	2130	1104
L00025	4	-46,6380154	-23,5642161	2151	0,186	0,0252	3803	2547	1256
L00026	1	-46,6351446	-23,5631017	1170	0,0855	0,0063	2088	1410	678
L00027	9	-46,6368084	-23,5498480	2635	0,3416	0,0568	5430	3072	2358
L00028	1	-46,6528053	-23,5234860	651	0,1536	0,0063	1201	806	395
L00029	33	-46,6858903	-23,5271427	1846	1,7876	0,2082	2661	2067	594
L00030	82	-46,6716846	-23,5278546	4168	1,9674	0,5174	8123	4653	3470
L00031	49	-46,6872489	-23,5323018	3785	1,2946	0,3092	5622	4272	1350
L00032	193	-46,6564979	-23,5376940	1668	11,5707	1,2177	2471	1844	627
L00033	48	-46,6545420	-23,5418060	2940	1,6327	0,3029	4562	3313	1249
L00034	334	-46,6605264	-23,5415277	5254	6,3571	2,1074	7993	5767	2226
L00035	51	-46,6800459	-23,5481021	3932	1,297	0,3218	6405	4313	2092
L00036	28	-46,6671104	-23,5303076	1611	1,7381	0,1767	3037	1845	1192
L00037	214	-46,6566164	-23,5307137	3471	6,1654	1,3502	6463	3952	2511
L00038	58	-46,6844226	-23,5340373	3156	1,8378	0,366	5271	3545	1726
L00039	145	-46,6663954	-23,5361229	5419	2,6758	0,9149	8062	5901	2161
L00040	85	-46,6597606	-23,5452831	1062	8,0038	0,5363	1577	1160	417
L00041	32	-46,6798996	-23,5306990	2132	1,5009	0,2019	3296	2395	901
L00042	19	-46,6513283	-23,5415864	1556	1,2211	0,1199	2631	1843	788
L00043	29	-46,6853794	-23,5386780	2698	1,0749	0,183	4613	3033	1580
L00044	11	-46,6566305	-23,5207777	1534	0,7171	0,0694	2722	1815	907
L00045	28	-46,6523017	-23,5318175	2128	1,3158	0,1767	3940	2485	1455
L00046	29	-46,6555734	-23,5283610	2335	1,242	0,183	4656	2795	1861
L00048	35	-46,6841353	-23,5370181	2501	1,3994	0,2208	3771	2812	959
L00049	63	-46,6806583	-23,5307166	4578	1,3761	0,3975	8065	5186	2879
L00050	136	-46,6531096	-23,5391595	3449	3,9432	0,8581	6577	4007	2570
L00051	21	-46,6946005	-23,5421890	3052	0,6881	0,1325	5602	3572	2030
L00052	41	-46,6832663	-23,5289919	4888	0,8388	0,2587	8677	5629	3048
L00053	601	-46,6630845	-23,5450242	5945	10,1093	3,792	9970	6457	3513
L00054	28	-46,6650200	-23,5361422	1083	2,5854	0,1767	1605	1172	433
L00055	124	-46,6566164	-23,5307137	5271	2,3525	0,7824	9323	6035	3288
L00056	98	-46,6508278	-23,5375343	2409	4,0681	0,6183	4853	2751	2102
L00057	18	-46,6510689	-23,5302066	2410	0,7469	0,1136	4093	2814	1279
L00058	21	-46,6432297	-23,5320752	3161	0,6643	0,1325	6470	3731	2739
L00060	249	-46,6711550	-23,5381000	10857	2,2935	1,5711	17946	11853	6093
L00061	31	-46,6666956	-23,5298372	3408	0,9096	0,1956	6305	3946	2359
L00062	86	-46,6375237	-23,5287430	2256	3,8121	0,5426	4421	2765	1656
L00063	6	-46,6343483	-23,5436627	2624	0,2287	0,0379	5154	3085	2069
L00064	5	-46,6278434	-23,5475185	2980	0,1678	0,0315	5641	3584	2057
L00066	11	-46,6126881	-23,5372312	2446	0,4497	0,0694	4500	2909	1591
