cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,03	1384	845	539
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,03	5696	3792	1904
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,03	9838	5921	3917
L00005	2	-46,6603762	-23,5406137	4082	0,049	0,06	8248	4503	3745
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,06	8358	5061	3297
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,03	3791	2317	1474
L00008	2	-46,6464095	-23,5560819	3643	0,0549	0,06	6983	4278	2705
L00010	2	-46,6355899	-23,5623979	2996	0,0668	0,06	5666	3638	2028
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,03	7072	4407	2665
L00013	3	-46,6421456	-23,5572933	2899	0,1035	0,0899	5416	3426	1990
L00014	3	-46,6289218	-23,5548030	2700	0,1111	0,0899	5182	3459	1723
L00015	2	-46,6368132	-23,5574886	3591	0,0557	0,06	7151	4273	2878
L00016	3	-46,6361305	-23,5497845	2669	0,1124	0,0899	5297	3132	2165
L00021	3	-46,6419109	-23,5592168	3437	0,0873	0,0899	6548	4013	2535
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,06	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,03	4909	3201	1708
L00027	2	-46,6368084	-23,5498480	2635	0,0759	0,06	5430	3072	2358
L00028	2	-46,6528053	-23,5234860	651	0,3072	0,06	1201	806	395
L00030	7	-46,6716846	-23,5278546	4168	0,1679	0,2098	8123	4653	3470
L00031	3	-46,6872489	-23,5323018	3785	0,0793	0,0899	5622	4272	1350
L00032	1	-46,6564979	-23,5376940	1668	0,06	0,03	2471	1844	627
L00034	4	-46,6605264	-23,5415277	5254	0,0761	0,1199	7993	5767	2226
L00035	4	-46,6800459	-23,5481021	3932	0,1017	0,1199	6405	4313	2092
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,06	3037	1845	1192
L00038	5	-46,6844226	-23,5340373	3156	0,1584	0,1499	5271	3545	1726
L00039	7	-46,6663954	-23,5361229	5419	0,1292	0,2098	8062	5901	2161
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,03	2631	1843	788
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,03	4613	3033	1580
L00044	3	-46,6566305	-23,5207777	1534	0,1956	0,0899	2722	1815	907
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,03	3771	2812	959
L00049	4	-46,6806583	-23,5307166	4578	0,0874	0,1199	8065	5186	2879
L00050	4	-46,6531096	-23,5391595	3449	0,116	0,1199	6577	4007	2570
L00051	2	-46,6946005	-23,5421890	3052	0,0655	0,06	5602	3572	2030
L00052	4	-46,6832663	-23,5289919	4888	0,0818	0,1199	8677	5629	3048
L00053	5	-46,6630845	-23,5450242	5945	0,0841	0,1499	9970	6457	3513
L00055	5	-46,6566164	-23,5307137	5271	0,0949	0,1499	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,03	4853	2751	2102
L00057	5	-46,6510689	-23,5302066	2410	0,2075	0,1499	4093	2814	1279
L00058	3	-46,6432297	-23,5320752	3161	0,0949	0,0899	6470	3731	2739
L00060	7	-46,6711550	-23,5381000	10857	0,0645	0,2098	17946	11853	6093
L00061	3	-46,6666956	-23,5298372	3408	0,088	0,0899	6305	3946	2359
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,06	4421	2765	1656
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,03	5154	3085	2069
L00064	3	-46,6278434	-23,5475185	2980	0,1007	0,0899	5641	3584	2057
L00065	4	-46,6385252	-23,5376549	2229	0,1795	0,1199	4267	2744	1523
L00067	2	-46,6107088	-23,5252045	1435	0,1394	0,06	2765	1755	1010
L00068	4	-46,6432775	-23,5262231	2815	0,1421	0,1199	5403	3409	1994
L00069	4	-46,6240453	-23,5332439	1765	0,2266	0,1199	3469	2192	1277
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,03	5594	3588	2006
L00071	4	-46,6341197	-23,5306628	2982	0,1341	0,1199	5785	3615	2170
L00075	8	-46,6325856	-23,5295792	4103	0,195	0,2398	8045	4955	3090
L00077	5	-46,6228821	-23,5238878	3089	0,1619	0,1499	5985	3756	2229
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,03	5496	3398	2098
L00080	3	-46,5869070	-23,5756756	3323	0,0903	0,0899	5823	3854	1969
L00081	2	-46,5848689	-23,5392025	3560	0,0562	0,06	5984	4200	1784
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,03	4581	3379	1202
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,03	8807	6387	2420
L00085	3	-46,5978907	-23,5552089	4372	0,0686	0,0899	8050	5269	2781
