cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,1515	1384	845	539
L00004	2	-46,6511260	-23,5652103	5298	0,0378	0,303	9838	5921	3917
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,1515	3791	2317	1474
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,1515	6983	4278	2705
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,1515	7072	4407	2665
L00012	3	-46,6461964	-23,5700830	3252	0,0923	0,4545	6283	3656	2627
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,1515	5416	3426	1990
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,1515	7001	3906	3095
L00020	3	-46,6376429	-23,5607300	2293	0,1308	0,4545	5052	2698	2354
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,1515	6548	4013	2535
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,303	18525	11583	6942
L00023	2	-46,6498912	-23,5493645	2834	0,0706	0,303	4909	3201	1708
L00024	2	-46,6497533	-23,5485991	1896	0,1055	0,303	3234	2130	1104
L00032	1	-46,6564979	-23,5376940	1668	0,06	0,1515	2471	1844	627
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,1515	7993	5767	2226
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,1515	6405	4313	2092
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,303	3037	1845	1192
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,1515	6463	3952	2511
L00039	1	-46,6663954	-23,5361229	5419	0,0185	0,1515	8062	5901	2161
L00046	2	-46,6555734	-23,5283610	2335	0,0857	0,303	4656	2795	1861
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,303	8065	5186	2879
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,1515	8677	5629	3048
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,1515	9970	6457	3513
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,1515	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,1515	4853	2751	2102
L00057	5	-46,6510689	-23,5302066	2410	0,2075	0,7576	4093	2814	1279
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,1515	5785	3615	2170
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,1515	8045	4955	3090
L00078	2	-46,6212238	-23,5429654	2774	0,0721	0,303	5496	3398	2098
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,1515	8807	6387	2420
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,1515	4461	3203	1258
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,1515	7164	4714	2450
L00093	2	-46,5813248	-23,5619799	3706	0,054	0,303	6970	4489	2481
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,1515	4753	2932	1821
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,1515	3331	2227	1104
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,1515	4560	3187	1373
L00098	2	-46,5984516	-23,5519192	955	0,2094	0,303	1806	1145	661
L00101	2	-46,5902071	-23,5606910	4284	0,0467	0,303	7988	5172	2816
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,1515	8563	5548	3015
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,1515	7905	5265	2640
L00106	4	-46,5939719	-23,5375195	4328	0,0924	0,6061	6924	5149	1775
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,1515	4565	2585	1980
L00108	4	-46,5976041	-23,5519593	6779	0,059	0,6061	11883	7994	3889
L00110	3	-46,6602508	-23,5695486	2517	0,1192	0,4545	4741	2759	1982
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,1515	5443	3456	1987
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,1515	5240	3249	1991
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,1515	3761	2276	1485
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,1515	7199	4264	2935
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,1515	10701	6297	4404
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,1515	11459	6999	4460
L00128	3	-46,6769068	-23,6001070	3888	0,0772	0,4545	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,1515	5654	3970	1684
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,1515	7651	5166	2485
L00133	1	-46,6320497	-23,5811282	2750	0,0364	0,1515	4986	3131	1855
L00134	2	-46,6358455	-23,5895447	4856	0,0412	0,303	8425	5454	2971
L00135	1	-46,6431906	-23,5719338	4487	0,0223	0,1515	7477	5015	2462
L00136	3	-46,6234512	-23,5608329	4167	0,072	0,4545	7421	4897	2524
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,1515	4908	3570	1338
L00138	3	-46,6259630	-23,5630260	2096	0,1431	0,4545	3469	2565	904
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,1515	9743	6059	3684
L00142	1	-46,6119113	-23,5742236	2504	0,0399	0,1515	4454	2944	1510
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,1515	4786	3093	1693
L00144	1	-46,6356180	-23,5786976	2260	0,0442	0,1515	3961	2589	1372
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,1515	5263	3410	1853
L00147	2	-46,6251868	-23,5770987	3004	0,0666	0,303	5565	3493	2072
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,1515	7836	5122	2714
L00149	1	-46,6300092	-23,5766639	1599	0,0625	0,1515	2985	1875	1110
L00150	2	-46,6299014	-23,5758099	4050	0,0494	0,303	6863	4657	2206
L00154	2	-46,6235069	-23,5745404	4329	0,0462	0,303	7193	5134	2059
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,303	8809	5934	2875
L00528	2	-46,7937390	-23,6862114	4929	0,0406	0,303	8528	6298	2230
L00535	2	-46,7885429	-23,6654381	2164	0,0924	0,303	3718	2707	1011
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,1515	8374	5781	2593
L00542	1	-46,7901616	-23,6750896	3768	0,0265	0,1515	6810	4643	2167
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1515	6766	5016	1750
L00547	1	-46,7885429	-23,6654381	4193	0,0238	0,1515	7471	5355	2116
L00553	1	-46,7839538	-23,6721527	1679	0,0596	0,1515	2758	2071	687
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,1515	6174	4460	1714
L05530	2	-46,7007739	-23,6497088	5044	0,0397	0,303	8236	5638	2598
L05531	1	-46,7133162	-23,6344474	2027	0,0493	0,1515	3063	2266	797
L05535	1	-46,6912424	-23,6607866	3055	0,0327	0,1515	4525	3449	1076
L05547	1	-46,7031531	-23,6485078	2502	0,04	0,1515	4597	2896	1701
L05549	1	-46,7057350	-23,6332760	4550	0,022	0,1515	7718	5073	2645
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,1515	8978	5840	3138
L05554	1	-46,4441795	-23,4982353	3546	0,0282	0,1515	6065	4260	1805
L05557	1	-46,4452179	-23,4993366	2352	0,0425	0,1515	3986	2897	1089
L05578	1	-46,4526050	-23,5387875	2564	0,039	0,1515	4882	3187	1695
L05581	1	-46,4522081	-23,5171617	3935	0,0254	0,1515	6924	5015	1909
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,1515	3417	2606	811
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,1515	6860	4712	2148
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,1515	10609	7693	2916
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,1515	4847	3284	1563
L05617	1	-46,6180480	-23,4923992	3331	0,03	0,1515	5427	3880	1547
L05619	1	-46,6476795	-23,4929598	1994	0,0502	0,1515	3788	2470	1318
L05621	1	-46,6332236	-23,4899666	5271	0,019	0,1515	8744	6129	2615
L05622	1	-46,6256600	-23,4972860	1960	0,051	0,1515	3358	2341	1017
L05623	2	-46,6405537	-23,5023028	2520	0,0794	0,303	4590	2978	1612
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,1515	3746	2434	1312
L05627	1	-46,6249697	-23,5016655	1535	0,0651	0,1515	3087	1826	1261
L05628	1	-46,6157633	-23,4933572	2589	0,0386	0,1515	4750	3013	1737
L05629	2	-46,6242804	-23,4770119	2556	0,0782	0,303	4643	3161	1482
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,1515	3161	2027	1134
L05633	1	-46,6227676	-23,4899879	1740	0,0575	0,1515	3090	2057	1033
L05635	1	-46,6142540	-23,4901233	2048	0,0488	0,1515	3470	2399	1071
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,1515	2947	1815	1132
L05638	1	-46,6330906	-23,4915684	3666	0,0273	0,1515	6121	4251	1870
L05639	2	-46,6239120	-23,4891654	1527	0,131	0,303	2617	1818	799
L05651	1	-46,7004969	-23,5385244	1604	0,0623	0,1515	2858	1850	1008
L05652	1	-46,7154710	-23,5098656	794	0,1259	0,1515	1292	929	363
L05664	1	-46,7492548	-23,5117336	1714	0,0583	0,1515	3333	2162	1171
L05679	1	-46,7572703	-23,5028236	2080	0,0481	0,1515	3534	2609	925
L05690	2	-46,7375360	-23,4985190	1175	0,1702	0,303	1781	1384	397
L05693	3	-46,6769917	-23,5570934	4108	0,073	0,4545	6768	4547	2221
L05705	1	-46,6896585	-23,5656255	3181	0,0314	0,1515	5968	3546	2422
L05716	1	-46,6975056	-23,5623803	2545	0,0393	0,1515	4027	2825	1202
L05719	1	-46,6976578	-23,5648688	2714	0,0368	0,1515	4719	3052	1667
L05722	1	-46,5000225	-23,5253888	2828	0,0354	0,1515	4665	3627	1038
L05723	1	-46,5331739	-23,5220975	2306	0,0434	0,1515	3823	2837	986
L05724	1	-46,5270161	-23,5293151	2599	0,0385	0,1515	4443	3201	1242
L05725	1	-46,5417930	-23,5164577	1220	0,082	0,1515	2066	1547	519
L05728	1	-46,5180445	-23,5238771	2335	0,0428	0,1515	4138	2919	1219
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,1515	5872	3858	2014
L05733	1	-46,5480210	-23,5212900	2116	0,0473	0,1515	4002	2723	1279
L05735	1	-46,4932640	-23,5309670	2238	0,0447	0,1515	4145	2862	1283
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,1515	6711	4640	2071
