cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,304	7001	3906	3095
L00056	2	-46,6508278	-23,5375343	2409	0,083	0,6079	4853	2751	2102
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,304	2708	1593	1115
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,304	8045	4955	3090
L00083	2	-46,5997287	-23,5410220	3324	0,0602	0,6079	6501	4011	2490
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,304	5617	3662	1955
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,304	4461	3203	1258
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,304	6970	4489	2481
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,304	7988	5172	2816
L00106	2	-46,5939719	-23,5375195	4328	0,0462	0,6079	6924	5149	1775
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,304	11883	7994	3889
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,304	11459	6999	4460
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,304	6994	4384	2610
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,304	7836	5122	2714
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,304	8784	5242	3542
L00542	1	-46,7901616	-23,6750896	3768	0,0265	0,304	6810	4643	2167
L05540	1	-46,7098940	-23,6536635	1724	0,058	0,304	3235	2032	1203
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,304	6687	5009	1678
L05567	1	-46,4215117	-23,5013996	3622	0,0276	0,304	6083	4594	1489
L05573	2	-46,4192720	-23,4963124	2328	0,0859	0,6079	4347	2982	1365
L05578	2	-46,4526050	-23,5387875	2564	0,078	0,6079	4882	3187	1695
L05579	1	-46,4415141	-23,5227656	2072	0,0483	0,304	3867	2846	1021
L05580	1	-46,4367093	-23,5286893	3428	0,0292	0,304	6257	4314	1943
L05582	1	-46,4362612	-23,5281919	1912	0,0523	0,304	3481	2438	1043
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,304	6128	4395	1733
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,304	4163	3117	1046
L05594	2	-46,4618318	-23,5393802	2228	0,0898	0,6079	3850	2859	991
L05599	2	-46,4443340	-23,5321000	3793	0,0527	0,6079	6860	4712	2148
L05600	2	-46,4589975	-23,5302914	3067	0,0652	0,6079	5494	3916	1578
L05605	2	-46,4587342	-23,5292643	947	0,2112	0,6079	1607	1196	411
L05616	1	-46,6281182	-23,4912871	3378	0,0296	0,304	5313	3930	1383
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,304	3161	2027	1134
L05633	2	-46,6227676	-23,4899879	1740	0,1149	0,6079	3090	2057	1033
L05666	1	-46,7036723	-23,5400795	2096	0,0477	0,304	3593	2404	1189
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,304	7112	4601	2511
L05750	6	-46,5686249	-23,5424482	4557	0,1317	1,8237	7587	5295	2292
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,304	7403	5019	2384
L05754	1	-46,5702535	-23,5486528	3035	0,0329	0,304	4571	3526	1045
L05760	1	-46,4984532	-23,5847269	4733	0,0211	0,304	8851	6109	2742
L05768	2	-46,5794166	-23,5383741	2522	0,0793	0,6079	4651	2995	1656
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,304	10333	6962	3371
L05782	2	-46,5454070	-23,5485123	1497	0,1336	0,6079	2866	1877	989
L05786	1	-46,5327843	-23,5461447	1839	0,0544	0,304	3271	2275	996
L05795	1	-46,5630428	-23,5455348	2537	0,0394	0,304	4283	2957	1326
L05823	1	-46,5847505	-23,5062429	2469	0,0405	0,304	4405	3039	1366
L05856	1	-46,6576980	-23,5105636	3626	0,0276	0,304	6816	4472	2344
L05880	1	-46,6130080	-23,4747157	994	0,1006	0,304	2024	1156	868
L05906	1	-46,6048700	-23,4811680	2460	0,0407	0,304	4808	3065	1743
L05925	1	-46,5735437	-23,5894829	2983	0,0335	0,304	4660	3569	1091
L06048	1	-46,5945812	-23,6240333	3452	0,029	0,304	6548	4452	2096
L06062	1	-46,5863383	-23,6186398	3309	0,0302	0,304	5473	4075	1398
L07586	1	-46,6662000	-23,6526625	4676	0,0214	0,304	7861	5605	2256
L07595	1	-46,6355606	-23,6678098	4296	0,0233	0,304	7638	5546	2092
L07694	1	-46,4971517	-23,4840369	2951	0,0339	0,304	4712	3627	1085
L07704	1	-46,4783102	-23,4996696	2270	0,0441	0,304	4005	2861	1144
L07763	1	-46,7776614	-23,6511000	4197	0,0238	0,304	7100	5325	1775
L08188	1	-46,7165770	-23,5900570	2517	0,0397	0,304	3979	2849	1130
L08201	1	-46,7313899	-23,5980074	3354	0,0298	0,304	5937	3987	1950
L08227	1	-46,5050519	-23,5458928	1879	0,0532	0,304	3494	2368	1126
L08234	2	-46,5317956	-23,5421192	3038	0,0658	0,6079	5442	3818	1624
L08276	2	-46,5458952	-23,5550134	2003	0,0999	0,6079	3017	2414	603
L08280	2	-46,5272729	-23,5842759	3215	0,0622	0,6079	5879	4206	1673
L08282	1	-46,5363320	-23,5554260	2096	0,0477	0,304	3766	2596	1170
L08286	1	-46,5228208	-23,5778668	2051	0,0488	0,304	3585	2631	954
L08311	1	-46,5815415	-23,4752510	2413	0,0414	0,304	4364	2919	1445
L08320	1	-46,5866345	-23,4663679	2991	0,0334	0,304	5086	3758	1328
L08335	1	-46,5288900	-23,6093393	3208	0,0312	0,304	5889	4085	1804
L08380	1	-46,3955110	-23,5079850	4070	0,0246	0,304	7143	5356	1787
L08383	1	-46,3769440	-23,4873573	2331	0,0429	0,304	4327	3221	1106
L08385	1	-46,3767415	-23,5064594	1891	0,0529	0,304	3406	2573	833
L08388	1	-46,3717432	-23,4962403	1681	0,0595	0,304	3000	2313	687
L08390	1	-46,3766695	-23,5066526	4172	0,024	0,304	7610	5548	2062
L08415	2	-46,3940515	-23,4832409	2647	0,0756	0,6079	4861	3522	1339
L08417	1	-46,3806444	-23,5150740	2751	0,0364	0,304	4718	3665	1053
L08422	3	-46,4003582	-23,5441270	1520	0,1974	0,9119	2178	1462	716
L08424	2	-46,4006522	-23,5380013	865	0,2312	0,6079	1585	1163	422
L08425	4	-46,4057199	-23,5624173	3131	0,1278	1,2158	5663	4158	1505
L08426	2	-46,4008912	-23,5381934	3356	0,0596	0,6079	6116	4546	1570
L08427	4	-46,4213722	-23,5297891	4764	0,084	1,2158	7765	5959	1806
L08429	4	-46,4009383	-23,5583730	2595	0,1541	1,2158	4383	3368	1015
L08430	10	-46,4157806	-23,5492070	1808	0,5531	3,0395	3393	2325	1068
L08431	4	-46,4023983	-23,5435780	3363	0,1189	1,2158	5917	4490	1427
L08432	8	-46,4189254	-23,5384808	3214	0,2489	2,4316	5635	4179	1456
L08433	5	-46,4064807	-23,5311067	739	0,6766	1,5198	548	394	154
L08435	19	-46,4142302	-23,5447436	2123	0,895	5,7751	4075	2620	1455
L08436	5	-46,4107031	-23,5355506	3955	0,1264	1,5198	7305	5186	2119
L08443	2	-46,4155334	-23,5455554	1247	0,1604	0,6079	2181	1603	578
L08445	18	-46,4037610	-23,5596980	3457	0,5207	5,4711	2665	1848	817
L08448	17	-46,4087514	-23,5527119	2094	0,8118	5,1672	4017	2779	1238
L08449	4	-46,4174509	-23,5537296	2587	0,1546	1,2158	5105	3534	1571
L08450	15	-46,4075993	-23,5541832	3404	0,4407	4,5593	5663	4220	1443
L08452	1	-46,4116268	-23,5278328	3591	0,0278	0,304	6073	4598	1475
L08453	10	-46,4234233	-23,5381049	2084	0,4798	3,0395	3936	2769	1167
L08454	4	-46,4066295	-23,5366390	2713	0,1474	1,2158	4822	3590	1232
L08455	6	-46,4007548	-23,5495498	2353	0,255	1,8237	4306	3004	1302
L08456	8	-46,4126165	-23,5416929	2557	0,3129	2,4316	4651	3173	1478
L08457	1	-46,3967810	-23,5545250	1819	0,055	0,304	3404	2514	890
L08458	12	-46,4104297	-23,5438072	1432	0,838	3,6474	2582	1817	765
L08459	3	-46,4060980	-23,5364980	1267	0,2368	0,9119	1475	1092	383
L08460	3	-46,4151119	-23,5465924	925	0,3243	0,9119	1672	1159	513
L08461	7	-46,4228459	-23,5390975	2171	0,3224	2,1277	3128	2231	897
L08462	3	-46,4037610	-23,5596980	1122	0,2674	0,9119	954	745	209
L08463	3	-46,4145590	-23,5542970	860	0,3488	0,9119	1549	1145	404
L08874	1	-46,6701917	-23,7428868	5030	0,0199	0,304	8684	6561	2123
L08983	2	-46,7950827	-23,6026719	3496	0,0572	0,6079	6021	4411	1610
L09035	1	-46,4892397	-23,5863420	884	0,1131	0,304	1581	1183	398
L09040	1	-46,4696590	-23,6129782	2328	0,043	0,304	4085	3035	1050
L09044	1	-46,4785593	-23,5947194	2910	0,0344	0,304	5416	3690	1726
L09053	1	-46,4672283	-23,6339793	888	0,1126	0,304	1470	1159	311
L09079	2	-46,4516620	-23,6049100	1514	0,1321	0,6079	2644	1971	673
L09762	2	-46,4813689	-23,5374258	3181	0,0629	0,6079	5713	4094	1619
L09772	1	-46,4729202	-23,5342395	2773	0,0361	0,304	4787	3486	1301
L09958	3	-46,4555571	-23,4916901	2939	0,1021	0,9119	5404	4032	1372
