cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,8264	5182	3459	1723
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,8264	6529	4735	1794
L05562	1	-46,4459517	-23,5057536	2705	0,037	0,8264	4642	3367	1275
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,8264	6839	4640	2199
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,8264	2270	1658	612
L05629	4	-46,6242804	-23,4770119	2556	0,1565	3,3058	4643	3161	1482
L05744	1	-46,5317318	-23,5311949	1071	0,0934	0,8264	1768	1306	462
L05755	1	-46,5179584	-23,5638358	3205	0,0312	0,8264	5295	4046	1249
L05759	1	-46,5311184	-23,5605521	2832	0,0353	0,8264	5109	3500	1609
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,8264	10333	6962	3371
L05788	5	-46,5170255	-23,5575103	1578	0,3169	4,1322	3137	1967	1170
L05789	1	-46,5161156	-23,5584076	585	0,1709	0,8264	915	734	181
L05793	1	-46,5257140	-23,5554119	2865	0,0349	0,8264	5360	3578	1782
L05885	2	-46,6064554	-23,4772146	3669	0,0545	1,6529	6325	4434	1891
L05892	1	-46,6200080	-23,4826288	3225	0,031	0,8264	5990	3879	2111
L05942	1	-46,5766081	-23,5796376	2512	0,0398	0,8264	4766	3082	1684
L07705	1	-46,4753246	-23,4969321	1922	0,052	0,8264	3284	2392	892
L08331	1	-46,5224167	-23,5870214	2150	0,0465	0,8264	3937	2882	1055
L08343	2	-46,5377963	-23,5816242	3112	0,0643	1,6529	5858	3912	1946
L08378	3	-46,4008120	-23,4977007	1709	0,1755	2,4793	3255	2338	917
L08379	1	-46,4032172	-23,4985582	2538	0,0394	0,8264	4585	3259	1326
L08380	2	-46,3955110	-23,5079850	4070	0,0491	1,6529	7143	5356	1787
L08381	2	-46,3943443	-23,5046166	3160	0,0633	1,6529	5695	4002	1693
L08384	3	-46,3985890	-23,5096370	3537	0,0848	2,4793	6428	4541	1887
L08385	1	-46,3767415	-23,5064594	1891	0,0529	0,8264	3406	2573	833
L08386	6	-46,3879010	-23,5188440	3845	0,156	4,9587	6696	5024	1672
L08391	9	-46,3965404	-23,5176660	3624	0,2483	7,438	6265	4666	1599
L08398	1	-46,4040381	-23,5003398	2632	0,038	0,8264	4564	3375	1189
L08399	5	-46,3842236	-23,5203421	3359	0,1489	4,1322	6149	4622	1527
L08400	1	-46,3850728	-23,5122978	3974	0,0252	0,8264	7123	5016	2107
L08403	1	-46,3988792	-23,5093492	2345	0,0426	0,8264	4153	3085	1068
L08412	3	-46,3926599	-23,5078228	2908	0,1032	2,4793	5104	3773	1331
L08413	2	-46,3937105	-23,5156176	1095	0,1826	1,6529	2083	1525	558
L08414	1	-46,3950439	-23,4989421	2828	0,0354	0,8264	5125	3485	1640
L08417	4	-46,3806444	-23,5150740	2751	0,1454	3,3058	4718	3665	1053
L08418	1	-46,3817906	-23,5034832	3675	0,0272	0,8264	6492	4833	1659
L08434	1	-46,4184068	-23,5376100	1088	0,0919	0,8264	2100	1473	627
L08442	3	-46,3994934	-23,5325352	3824	0,0785	2,4793	7163	5062	2101
L08447	1	-46,4023822	-23,5509844	1988	0,0503	0,8264	3479	2599	880
L08456	1	-46,4126165	-23,5416929	2557	0,0391	0,8264	4651	3173	1478
L08464	3	-46,3928375	-23,5277915	1978	0,1517	2,4793	3363	2579	784
L09042	3	-46,4746879	-23,6291216	2377	0,1262	2,4793	4450	3252	1198
L09052	1	-46,4779483	-23,6242638	1949	0,0513	0,8264	3678	2733	945
L09054	1	-46,4796851	-23,6207251	2559	0,0391	0,8264	5002	3387	1615
L09061	3	-46,4681630	-23,6266932	2245	0,1336	2,4793	4236	3031	1205
L09072	4	-46,4711933	-23,6237846	2817	0,142	3,3058	4983	3737	1246
L09078	1	-46,4574058	-23,6320001	2934	0,0341	0,8264	5182	3779	1403
L09085	1	-46,4719716	-23,6057020	3309	0,0302	0,8264	6370	4187	2183
L09705	1	-46,4976882	-23,4974521	2912	0,0343	0,8264	5100	3739	1361
L09709	1	-46,5011218	-23,4970068	2480	0,0403	0,8264	4098	3151	947
L09711	2	-46,5256831	-23,5120904	4021	0,0497	1,6529	7414	5163	2251
L09930	1	-46,4160982	-23,5152778	3213	0,0311	0,8264	5343	4160	1183
L09931	2	-46,4248518	-23,4746436	3594	0,0556	1,6529	5847	4535	1312
L09935	1	-46,4135985	-23,4998743	4252	0,0235	0,8264	7458	5385	2073
L09938	2	-46,4304864	-23,4825986	3466	0,0577	1,6529	5946	4422	1524
L09942	2	-46,4066823	-23,5098630	3334	0,06	1,6529	5872	4480	1392
L09948	5	-46,4030957	-23,5139436	1816	0,2753	4,1322	3163	2414	749
L09951	2	-46,4265698	-23,4780423	1572	0,1272	1,6529	2602	2034	568
L10328	1	-46,7421998	-23,6581125	3665	0,0273	0,8264	6040	4563	1477
L10336	3	-46,7442610	-23,6566420	3010	0,0997	2,4793	5133	3848	1285
L10616	1	-46,4850436	-23,5755403	2607	0,0384	0,8264	4518	3409	1109
