cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,4545	8248	4503	3745
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,4545	7072	4407	2665
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,4545	5297	3132	2165
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,4545	5259	3125	2134
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,4545	18525	11583	6942
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,4545	5622	4272	1350
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,4545	8065	5186	2879
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,4545	8050	5269	2781
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,4545	7164	4714	2450
L00113	2	-46,6642690	-23,5638420	4708	0,0425	0,9091	8733	5175	3558
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,4545	3761	2276	1485
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,4545	4205	2672	1533
L00126	3	-46,6724723	-23,5954720	3916	0,0766	1,3636	6669	4338	2331
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,4545	6994	4384	2610
L00131	2	-46,6442337	-23,5847251	4116	0,0486	0,9091	7035	4617	2418
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,4545	4908	3570	1338
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,4545	5565	3493	2072
L05530	2	-46,7007739	-23,6497088	5044	0,0397	0,9091	8236	5638	2598
L05531	4	-46,7133162	-23,6344474	2027	0,1973	1,8182	3063	2266	797
L05533	1	-46,7012118	-23,6454413	2673	0,0374	0,4545	4610	2961	1649
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,4545	9716	6724	2992
L05536	2	-46,6821350	-23,6631782	5321	0,0376	0,9091	8921	6173	2748
L05537	5	-46,6842291	-23,6383685	2076	0,2408	2,2727	2987	2240	747
