cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,9804	5416	3426	1990
L00016	2	-46,6361305	-23,5497845	2669	0,0749	1,9608	5297	3132	2165
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,9804	6501	4011	2490
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,9804	5171	3468	1703
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,9804	6970	4489	2481
L00103	2	-46,5812316	-23,5700009	4342	0,0461	1,9608	7905	5265	2640
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,9804	6624	4826	1798
L05588	1	-46,4326641	-23,5174330	2595	0,0385	0,9804	4297	3303	994
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,9804	6254	4448	1806
L05594	1	-46,4618318	-23,5393802	2228	0,0449	0,9804	3850	2859	991
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,9804	6860	4712	2148
L05617	2	-46,6180480	-23,4923992	3331	0,06	1,9608	5427	3880	1547
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,9804	2771	1812	959
L05635	1	-46,6142540	-23,4901233	2048	0,0488	0,9804	3470	2399	1071
L05668	1	-46,7212419	-23,5119029	1112	0,0899	0,9804	2192	1343	849
L05703	2	-46,6962316	-23,5650597	1732	0,1155	1,9608	3356	1964	1392
L05705	1	-46,6896585	-23,5656255	3181	0,0314	0,9804	5968	3546	2422
L05716	1	-46,6975056	-23,5623803	2545	0,0393	0,9804	4027	2825	1202
L05736	2	-46,5179226	-23,5228086	3663	0,0546	1,9608	6711	4640	2071
L05756	1	-46,5564250	-23,5331500	2613	0,0383	0,9804	4568	3155	1413
L05766	1	-46,5138214	-23,5842903	1916	0,0522	0,9804	3190	2507	683
L05785	1	-46,4982329	-23,5898352	2069	0,0483	0,9804	3681	2817	864
L05848	1	-46,6506305	-23,5026837	3720	0,0269	0,9804	6771	4492	2279
L05858	1	-46,6602290	-23,5040336	1694	0,059	0,9804	3175	2048	1127
L05874	1	-46,6665068	-23,4702189	3203	0,0312	0,9804	5602	3899	1703
L05888	1	-46,5855959	-23,4389881	3768	0,0265	0,9804	6719	4916	1803
L05939	1	-46,5882111	-23,5851502	2486	0,0402	0,9804	4230	2908	1322
L05958	1	-46,5654838	-23,5972434	2924	0,0342	0,9804	5305	3683	1622
L05963	2	-46,5786516	-23,5835336	1407	0,1421	1,9608	2348	1677	671
