cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	2	-46,6458082	-23,5644282	2271	0,0881	0,1464	3779	2548	1231
L00004	4	-46,6511260	-23,5652103	5298	0,0755	0,2928	9838	5921	3917
L00005	4	-46,6603762	-23,5406137	4082	0,098	0,2928	8248	4503	3745
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,1464	8358	5061	3297
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,0732	3791	2317	1474
L00010	3	-46,6355899	-23,5623979	2996	0,1001	0,2196	5666	3638	2028
L00012	3	-46,6461964	-23,5700830	3252	0,0923	0,2196	6283	3656	2627
L00015	2	-46,6368132	-23,5574886	3591	0,0557	0,1464	7151	4273	2878
L00021	3	-46,6419109	-23,5592168	3437	0,0873	0,2196	6548	4013	2535
L00022	5	-46,6521240	-23,5458002	10350	0,0483	0,366	18525	11583	6942
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,0732	3234	2130	1104
L00028	1	-46,6528053	-23,5234860	651	0,1536	0,0732	1201	806	395
L00029	1	-46,6858903	-23,5271427	1846	0,0542	0,0732	2661	2067	594
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,0732	5622	4272	1350
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,0732	4562	3313	1249
L00034	3	-46,6605264	-23,5415277	5254	0,0571	0,2196	7993	5767	2226
L00035	3	-46,6800459	-23,5481021	3932	0,0763	0,2196	6405	4313	2092
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,0732	6463	3952	2511
L00039	6	-46,6663954	-23,5361229	5419	0,1107	0,4392	8062	5901	2161
L00041	2	-46,6798996	-23,5306990	2132	0,0938	0,1464	3296	2395	901
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,0732	4613	3033	1580
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0732	3940	2485	1455
L00047	1	-46,6419486	-23,5325337	1033	0,0968	0,0732	1992	1229	763
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,0732	3771	2812	959
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,1464	8065	5186	2879
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,0732	6577	4007	2570
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0732	5602	3572	2030
L00052	3	-46,6832663	-23,5289919	4888	0,0614	0,2196	8677	5629	3048
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,0732	9970	6457	3513
L00054	1	-46,6650200	-23,5361422	1083	0,0923	0,0732	1605	1172	433
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,0732	5154	3085	2069
L00064	3	-46,6278434	-23,5475185	2980	0,1007	0,2196	5641	3584	2057
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,0732	2765	1755	1010
L00078	3	-46,6212238	-23,5429654	2774	0,1081	0,2196	5496	3398	2098
L00081	3	-46,5848689	-23,5392025	3560	0,0843	0,2196	5984	4200	1784
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,0732	4581	3379	1202
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,0732	8807	6387	2420
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,0732	5171	3468	1703
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,0732	4286	2820	1466
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,0732	7164	4714	2450
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0732	4753	2932	1821
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,0732	7290	5070	2220
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,0732	4560	3187	1373
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,0732	7988	5172	2816
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,0732	7905	5265	2640
L00110	1	-46,6602508	-23,5695486	2517	0,0397	0,0732	4741	2759	1982
L00111	5	-46,6590182	-23,5634584	7550	0,0662	0,366	13488	8273	5215
L00112	1	-46,6747793	-23,5889660	1465	0,0683	0,0732	2322	1627	695
L00115	2	-46,6759394	-23,5867575	1860	0,1075	0,1464	3357	2042	1315
L00116	2	-46,6726051	-23,5816669	2385	0,0839	0,1464	4109	2634	1475
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,0732	5240	3249	1991
L00119	2	-46,6851323	-23,5877136	2254	0,0887	0,1464	3851	2471	1380
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,0732	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,0732	4205	2672	1533
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,0732	4967	3078	1889
L00124	2	-46,6605835	-23,5566944	5697	0,0351	0,1464	10701	6297	4404
L00126	1	-46,6724723	-23,5954720	3916	0,0255	0,0732	6669	4338	2331
