cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	2	-46,6458082	-23,5644282	2271	0,0881	0,2625	3779	2548	1231
L00003	2	-46,6455650	-23,5547500	3290	0,0608	0,2625	5696	3792	1904
L00004	2	-46,6511260	-23,5652103	5298	0,0378	0,2625	9838	5921	3917
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,1312	8248	4503	3745
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,1312	8358	5061	3297
L00011	5	-46,6535747	-23,5498948	3808	0,1313	0,6562	7072	4407	2665
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,1312	5416	3426	1990
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,1312	7001	3906	3095
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,1312	6548	4013	2535
L00022	5	-46,6521240	-23,5458002	10350	0,0483	0,6562	18525	11583	6942
L00023	4	-46,6498912	-23,5493645	2834	0,1411	0,5249	4909	3201	1708
L00026	2	-46,6351446	-23,5631017	1170	0,1709	0,2625	2088	1410	678
L00031	2	-46,6872489	-23,5323018	3785	0,0528	0,2625	5622	4272	1350
L00038	1	-46,6844226	-23,5340373	3156	0,0317	0,1312	5271	3545	1726
L00041	1	-46,6798996	-23,5306990	2132	0,0469	0,1312	3296	2395	901
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,1312	3940	2485	1455
L00049	3	-46,6806583	-23,5307166	4578	0,0655	0,3937	8065	5186	2879
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,1312	6577	4007	2570
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,1312	8677	5629	3048
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,1312	9323	6035	3288
L00056	2	-46,6508278	-23,5375343	2409	0,083	0,2625	4853	2751	2102
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,1312	17946	11853	6093
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,1312	4500	2909	1591
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,1312	5403	3409	1994
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,1312	5594	3588	2006
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,1312	6133	3437	2696
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,1312	6501	4011	2490
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,2625	8807	6387	2420
L00087	2	-46,5842762	-23,5514675	2993	0,0668	0,2625	5617	3662	1955
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,1312	7164	4714	2450
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,1312	3331	2227	1104
L00100	2	-46,5637915	-23,5715671	2872	0,0696	0,2625	5130	3619	1511
L00111	3	-46,6590182	-23,5634584	7550	0,0397	0,3937	13488	8273	5215
L00112	1	-46,6747793	-23,5889660	1465	0,0683	0,1312	2322	1627	695
L00113	3	-46,6642690	-23,5638420	4708	0,0637	0,3937	8733	5175	3558
L00114	2	-46,6627773	-23,5790597	1545	0,1294	0,2625	2374	1668	706
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,1312	5240	3249	1991
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,1312	3851	2471	1380
L00124	2	-46,6605835	-23,5566944	5697	0,0351	0,2625	10701	6297	4404
L00125	1	-46,6822891	-23,5834680	4924	0,0203	0,1312	9066	5408	3658
L00127	4	-46,6605835	-23,5566944	6318	0,0633	0,5249	11459	6999	4460
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,1312	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,1312	5654	3970	1684
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,1312	7651	5166	2485
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,1312	8425	5454	2971
L00135	2	-46,6431906	-23,5719338	4487	0,0446	0,2625	7477	5015	2462
L00138	3	-46,6259630	-23,5630260	2096	0,1431	0,3937	3469	2565	904
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,1312	4786	3093	1693
L00145	2	-46,6350220	-23,5881065	3012	0,0664	0,2625	5263	3410	1853
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,1312	7836	5122	2714
L00150	4	-46,6299014	-23,5758099	4050	0,0988	0,5249	6863	4657	2206
L00154	2	-46,6235069	-23,5745404	4329	0,0462	0,2625	7193	5134	2059
L00157	1	-46,6389836	-23,5697573	5176	0,0193	0,1312	8809	5934	2875
L00534	2	-46,7872371	-23,6773522	3311	0,0604	0,2625	5703	4173	1530
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,1312	5561	4120	1441
L00540	1	-46,7937648	-23,6769801	2766	0,0362	0,1312	4791	3520	1271
L00542	4	-46,7901616	-23,6750896	3768	0,1062	0,5249	6810	4643	2167
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,1312	6802	4728	2074
L00552	1	-46,7867141	-23,6791697	1483	0,0674	0,1312	2634	1909	725
L00556	1	-46,7765383	-23,6680796	2361	0,0424	0,1312	3983	2908	1075
L00561	2	-46,7797991	-23,6713610	3438	0,0582	0,2625	6027	4213	1814
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,1312	8236	5638	2598
L05531	2	-46,7133162	-23,6344474	2027	0,0987	0,2625	3063	2266	797
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,1312	9716	6724	2992
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,1312	8921	6173	2748
