cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,4975	6983	4278	2705
L00012	2	-46,6461964	-23,5700830	3252	0,0615	0,995	6283	3656	2627
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,4975	5416	3426	1990
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,4975	7001	3906	3095
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,4975	18525	11583	6942
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,4975	6501	4011	2490
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,4975	6924	5149	1775
L00111	2	-46,6590182	-23,5634584	7550	0,0265	0,995	13488	8273	5215
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,4975	5443	3456	1987
L00118	2	-46,6768341	-23,5885769	2860	0,0699	0,995	5240	3249	1991
L00123	2	-46,6731135	-23,5792999	2804	0,0713	0,995	4967	3078	1889
L00127	2	-46,6605835	-23,5566944	6318	0,0317	0,995	11459	6999	4460
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,4975	7035	4617	2418
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,4975	4478	3358	1120
L00526	1	-46,7757878	-23,6743707	289	0,346	0,4975	472	351	121
L00535	1	-46,7885429	-23,6654381	2164	0,0462	0,4975	3718	2707	1011
L00540	1	-46,7937648	-23,6769801	2766	0,0362	0,4975	4791	3520	1271
L00544	2	-46,7734160	-23,6802425	3538	0,0565	0,995	6419	4341	2078
L00547	2	-46,7885429	-23,6654381	4193	0,0477	0,995	7471	5355	2116
L00554	1	-46,7932547	-23,6670602	2548	0,0392	0,4975	4491	3254	1237
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,4975	3413	2489	924
L05533	1	-46,7012118	-23,6454413	2673	0,0374	0,4975	4610	2961	1649
L05536	2	-46,6821350	-23,6631782	5321	0,0376	0,995	8921	6173	2748
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,4975	8978	5840	3138
L05556	1	-46,4403512	-23,4942325	2553	0,0392	0,4975	4433	3067	1366
L05644	1	-46,7293968	-23,5276493	3559	0,0281	0,4975	5915	4024	1891
L05675	2	-46,7468883	-23,4900910	2971	0,0673	0,995	5066	3751	1315
L05692	1	-46,7342495	-23,5279924	4939	0,0202	0,4975	7451	5535	1916
L05693	1	-46,6769917	-23,5570934	4108	0,0243	0,4975	6768	4547	2221
L05703	6	-46,6962316	-23,5650597	1732	0,3464	2,9851	3356	1964	1392
L05705	1	-46,6896585	-23,5656255	3181	0,0314	0,4975	5968	3546	2422
L05718	2	-46,6823120	-23,5625230	2934	0,0682	0,995	4770	3236	1534
L05719	2	-46,6976578	-23,5648688	2714	0,0737	0,995	4719	3052	1667
L05749	1	-46,5657556	-23,5447205	2552	0,0392	0,4975	4152	3034	1118
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,4975	7403	5019	2384
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,4975	10333	6962	3371
L05786	1	-46,5327843	-23,5461447	1839	0,0544	0,4975	3271	2275	996
L05789	1	-46,5161156	-23,5584076	585	0,1709	0,4975	915	734	181
L05828	1	-46,6007196	-23,5005481	2697	0,0371	0,4975	4882	3315	1567
L05861	1	-46,6633902	-23,4700233	2413	0,0414	0,4975	4175	2930	1245
L05928	1	-46,5582100	-23,5739759	2347	0,0426	0,4975	4461	2967	1494
L05961	1	-46,5445942	-23,5990108	721	0,1387	0,4975	1219	923	296
L06012	1	-46,6319660	-23,6059990	2471	0,0405	0,4975	4092	2850	1242
L06695	1	-46,6958522	-23,6940299	960	0,1042	0,4975	1484	1199	285
L07578	1	-46,6468602	-23,6449791	4043	0,0247	0,4975	7270	4851	2419
L07600	1	-46,6356262	-23,6788985	1377	0,0726	0,4975	2329	1795	534
L07750	1	-46,7708337	-23,6299871	13605	0,0074	0,4975	25821	17652	8169
L07751	1	-46,7857380	-23,6492250	2439	0,041	0,4975	4196	3122	1074
L07755	3	-46,7557573	-23,6290243	3980	0,0754	1,4925	6741	5172	1569
L07756	1	-46,7617923	-23,6408234	4236	0,0236	0,4975	7697	5404	2293
L07758	1	-46,7701188	-23,6470003	3205	0,0312	0,4975	5536	3955	1581
L07759	1	-46,7708253	-23,6346601	2609	0,0383	0,4975	4845	3309	1536
L07760	2	-46,7556667	-23,6404221	3739	0,0535	0,995	6385	4685	1700
L07761	2	-46,7758320	-23,6436922	4304	0,0465	0,995	7784	5385	2399
L07762	3	-46,7860069	-23,6438270	3683	0,0815	1,4925	6454	4825	1629
L07763	2	-46,7776614	-23,6511000	4197	0,0477	0,995	7100	5325	1775
L07764	1	-46,7625103	-23,6349197	3815	0,0262	0,4975	6862	4883	1979
L07765	12	-46,7497115	-23,6403144	4495	0,267	5,9701	7813	5662	2151
L07767	6	-46,7490615	-23,6345587	3174	0,189	2,9851	5702	4133	1569
L07769	1	-46,7686119	-23,6296456	3708	0,027	0,4975	6898	4781	2117
L07773	5	-46,7538973	-23,6349349	4025	0,1242	2,4876	6657	5039	1618
L07774	4	-46,7498755	-23,6363346	2769	0,1445	1,99	4952	3627	1325
L08185	1	-46,7191286	-23,6260213	1988	0,0503	0,4975	3164	2315	849
L08188	3	-46,7165770	-23,5900570	2517	0,1192	1,4925	3979	2849	1130
L08189	2	-46,7439953	-23,5966397	2735	0,0731	0,995	4371	3211	1160
L08190	1	-46,7131334	-23,6188108	3137	0,0319	0,4975	5166	3531	1635
L08193	2	-46,7073893	-23,5739269	1438	0,1391	0,995	2590	1633	957
L08198	2	-46,7269586	-23,5890197	3106	0,0644	0,995	5469	3609	1860
L08200	1	-46,7298173	-23,5966128	2551	0,0392	0,4975	4499	3046	1453
L08206	3	-46,7371220	-23,5927960	2484	0,1208	1,4925	4358	3007	1351
L08212	3	-46,7546852	-23,5949824	2625	0,1143	1,4925	4694	3368	1326
L08264	1	-46,4940747	-23,5593746	897	0,1115	0,4975	1578	1194	384
L08320	1	-46,5866345	-23,4663679	2991	0,0334	0,4975	5086	3758	1328
L08353	2	-46,6568120	-23,6724366	2485	0,0805	0,995	4291	3131	1160
L08357	1	-46,6566918	-23,6673339	2867	0,0349	0,4975	5558	3511	2047
L08368	1	-46,6511485	-23,6760229	3448	0,029	0,4975	6243	4435	1808
L08374	1	-46,6583497	-23,6731895	2392	0,0418	0,4975	4435	3139	1296
L08383	1	-46,3769440	-23,4873573	2331	0,0429	0,4975	4327	3221	1106
L08394	1	-46,3870301	-23,4964237	3348	0,0299	0,4975	5936	4200	1736
L08427	1	-46,4213722	-23,5297891	4764	0,021	0,4975	7765	5959	1806
L08867	2	-46,6470260	-23,7040291	3006	0,0665	0,995	4976	3854	1122
L08888	1	-46,7449271	-23,6845334	3976	0,0252	0,4975	6506	4872	1634
L08891	2	-46,7705221	-23,7208213	4451	0,0449	0,995	7568	5541	2027
L08894	1	-46,7822515	-23,7187870	4175	0,024	0,4975	7569	5347	2222
L08903	2	-46,7549903	-23,6797057	2449	0,0817	0,995	4419	3166	1253
L08911	1	-46,7895404	-23,7358720	4436	0,0225	0,4975	7779	5629	2150
L08927	2	-46,7602288	-23,6921984	3141	0,0637	0,995	5143	3919	1224
L08936	1	-46,7568865	-23,7221715	4624	0,0216	0,4975	7539	5712	1827
L08939	1	-46,7687891	-23,6747016	1964	0,0509	0,4975	3621	2542	1079
