cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,1041	1384	845	539
L00002	3	-46,6458082	-23,5644282	2271	0,1321	0,3122	3779	2548	1231
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,1041	9838	5921	3917
L00005	2	-46,6603762	-23,5406137	4082	0,049	0,2081	8248	4503	3745
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,1041	6283	3656	2627
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,2081	5182	3459	1723
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,1041	7151	4273	2878
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,1041	7001	3906	3095
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1041	18525	11583	6942
L00026	1	-46,6351446	-23,5631017	1170	0,0855	0,1041	2088	1410	678
L00030	2	-46,6716846	-23,5278546	4168	0,048	0,2081	8123	4653	3470
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,1041	6405	4313	2092
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,2081	8062	5901	2161
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,1041	4613	3033	1580
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,1041	4656	2795	1861
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,1041	9970	6457	3513
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,1041	9323	6035	3288
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,1041	5641	3584	2057
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,1041	5594	3588	2006
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,1041	6133	3437	2696
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,1041	5496	3398	2098
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,1041	5984	4200	1784
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,1041	4581	3379	1202
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,1041	8807	6387	2420
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,1041	4461	3203	1258
L00096	2	-46,5697601	-23,5636527	4049	0,0494	0,2081	7290	5070	2220
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,1041	8563	5548	3015
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,1041	11883	7994	3889
L00109	2	-46,6685837	-23,5678112	2042	0,0979	0,2081	3574	2207	1367
L00110	3	-46,6602508	-23,5695486	2517	0,1192	0,3122	4741	2759	1982
L00111	5	-46,6590182	-23,5634584	7550	0,0662	0,5203	13488	8273	5215
L00115	2	-46,6759394	-23,5867575	1860	0,1075	0,2081	3357	2042	1315
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,1041	5443	3456	1987
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,1041	3851	2471	1380
L00121	2	-46,6790390	-23,5798975	3855	0,0519	0,2081	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,1041	4205	2672	1533
L00124	3	-46,6605835	-23,5566944	5697	0,0527	0,3122	10701	6297	4404
L00125	1	-46,6822891	-23,5834680	4924	0,0203	0,1041	9066	5408	3658
L00128	3	-46,6769068	-23,6001070	3888	0,0772	0,3122	6994	4384	2610
L00129	7	-46,6486232	-23,5813704	3537	0,1979	0,7284	5654	3970	1684
