cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	18	-46,7839050	-23,6244910	2761	0,6519	6,2937	4200	3119	1081
L07633	25	-46,7612065	-23,6113726	4597	0,5438	8,7413	7420	5442	1978
L07634	1	-46,7572310	-23,6033314	1396	0,0716	0,3497	2340	1665	675
L07635	1	-46,7565270	-23,6067700	2480	0,0403	0,3497	4281	2918	1363
L07636	4	-46,7626063	-23,6048929	2672	0,1497	1,3986	4702	3189	1513
L07637	1	-46,7600020	-23,6002290	1777	0,0563	0,3497	2922	2049	873
L07638	5	-46,7827528	-23,6145247	2870	0,1742	1,7483	4677	3286	1391
L07639	7	-46,7827047	-23,6201088	3405	0,2056	2,4476	5349	3964	1385
L07640	11	-46,7809841	-23,6226534	3206	0,3431	3,8462	5046	3616	1430
L07641	5	-46,7632454	-23,5998904	2449	0,2042	1,7483	4260	2966	1294
L07642	19	-46,7643999	-23,6176012	2434	0,7806	6,6434	4058	2818	1240
L07643	6	-46,7780760	-23,6094850	3390	0,177	2,0979	5433	4004	1429
L07644	1	-46,7676191	-23,6003759	2198	0,0455	0,3497	3678	2641	1037
L07645	7	-46,7845487	-23,6207858	2606	0,2686	2,4476	4218	3008	1210
L07646	8	-46,7761739	-23,6267542	3367	0,2376	2,7972	4997	3835	1162
L07647	4	-46,7717036	-23,6229532	2387	0,1676	1,3986	3466	2711	755
L07648	1	-46,7739782	-23,6251831	562	0,1779	0,3497	808	644	164
L07649	12	-46,7706746	-23,6192388	2831	0,4239	4,1958	4245	3289	956
L07650	3	-46,7735554	-23,6255284	2455	0,1222	1,049	3673	2844	829
L07652	2	-46,7595412	-23,6022576	1946	0,1028	0,6993	3143	2320	823
L07653	15	-46,7669098	-23,6173697	1711	0,8767	5,2448	2633	2014	619
L07654	3	-46,7797112	-23,6241566	1102	0,2722	1,049	1624	1264	360
L07656	13	-46,7636702	-23,6131931	1337	0,9723	4,5455	1921	1551	370
L07657	2	-46,7659123	-23,6054155	1516	0,1319	0,6993	2349	1839	510
L07658	4	-46,7823220	-23,6158939	1749	0,2287	1,3986	2759	2034	725
L10579	1	-46,7977850	-23,6318560	3846	0,026	0,3497	5743	4381	1362
L10580	3	-46,7981108	-23,6391481	2329	0,1288	1,049	3699	2615	1084
L10581	3	-46,7908036	-23,6354525	3575	0,0839	1,049	5342	4185	1157
L10582	2	-46,7837999	-23,6324890	3100	0,0645	0,6993	4589	3488	1101
L10583	4	-46,7940695	-23,6454745	2922	0,1369	1,3986	4384	3329	1055
L10584	9	-46,7859320	-23,6346026	3061	0,294	3,1469	4589	3551	1038
L10585	5	-46,7974580	-23,6235430	3484	0,1435	1,7483	5004	3946	1058
L10587	17	-46,8039420	-23,6189720	3530	0,4816	5,9441	5047	4042	1005
L10588	1	-46,8009504	-23,6373445	4245	0,0236	0,3497	6570	4764	1806
L10589	18	-46,8072552	-23,6270088	2689	0,6694	6,2937	3872	3019	853
L10590	1	-46,8073270	-23,6405439	3740	0,0267	0,3497	5849	4307	1542
L10591	6	-46,8039612	-23,6330861	2777	0,2161	2,0979	4080	3066	1014
L10594	1	-46,7853594	-23,6290943	1942	0,0515	0,3497	3077	2204	873
L10595	3	-46,7960960	-23,6419739	3840	0,0781	1,049	5670	4383	1287
L10596	12	-46,8008753	-23,6256588	3185	0,3768	4,1958	4598	3614	984
L10597	2	-46,8009875	-23,6245414	1440	0,1389	0,6993	2047	1666	381
L10598	2	-46,7916728	-23,6338000	3538	0,0565	0,6993	5399	3980	1419
L10599	3	-46,8098529	-23,6306390	3008	0,0997	1,049	4278	3395	883
L10600	3	-46,7840828	-23,6325436	2719	0,1103	1,049	4033	3100	933
L10601	1	-46,8006497	-23,6375795	3366	0,0297	0,3497	5039	3847	1192
L10604	2	-46,7941453	-23,6322846	1565	0,1278	0,6993	2299	1792	507
L10606	1	-46,7921549	-23,6189086	1201	0,0833	0,3497	1739	1392	347
L10608	8	-46,8093957	-23,6268763	3319	0,241	2,7972	4548	3686	862
