cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	2	-46,7839050	-23,6244910	2761	0,0724	0,7194	4200	3119	1081
L07633	1	-46,7612065	-23,6113726	4597	0,0218	0,3597	7420	5442	1978
L07634	1	-46,7572310	-23,6033314	1396	0,0716	0,3597	2340	1665	675
L07636	1	-46,7626063	-23,6048929	2672	0,0374	0,3597	4702	3189	1513
L07638	4	-46,7827528	-23,6145247	2870	0,1394	1,4388	4677	3286	1391
L07639	7	-46,7827047	-23,6201088	3405	0,2056	2,518	5349	3964	1385
L07640	8	-46,7809841	-23,6226534	3206	0,2495	2,8777	5046	3616	1430
L07642	1	-46,7643999	-23,6176012	2434	0,0411	0,3597	4058	2818	1240
L07644	1	-46,7676191	-23,6003759	2198	0,0455	0,3597	3678	2641	1037
L07645	3	-46,7845487	-23,6207858	2606	0,1151	1,0791	4218	3008	1210
L07646	3	-46,7761739	-23,6267542	3367	0,0891	1,0791	4997	3835	1162
L07647	1	-46,7717036	-23,6229532	2387	0,0419	0,3597	3466	2711	755
L07652	1	-46,7595412	-23,6022576	1946	0,0514	0,3597	3143	2320	823
L07653	3	-46,7669098	-23,6173697	1711	0,1753	1,0791	2633	2014	619
L07654	4	-46,7797112	-23,6241566	1102	0,363	1,4388	1624	1264	360
L07655	1	-46,7822374	-23,6198911	341	0,2933	0,3597	487	399	88
L07656	2	-46,7636702	-23,6131931	1337	0,1496	0,7194	1921	1551	370
L07658	1	-46,7823220	-23,6158939	1749	0,0572	0,3597	2759	2034	725
L10579	2	-46,7977850	-23,6318560	3846	0,052	0,7194	5743	4381	1362
L10580	1	-46,7981108	-23,6391481	2329	0,0429	0,3597	3699	2615	1084
L10581	12	-46,7908036	-23,6354525	3575	0,3357	4,3165	5342	4185	1157
L10582	31	-46,7837999	-23,6324890	3100	1,0	11,1511	4589	3488	1101
L10583	2	-46,7940695	-23,6454745	2922	0,0684	0,7194	4384	3329	1055
L10584	63	-46,7859320	-23,6346026	3061	2,0582	22,6619	4589	3551	1038
L10586	2	-46,7963236	-23,6113818	1098	0,1821	0,7194	1542	1213	329
L10587	2	-46,8039420	-23,6189720	3530	0,0567	0,7194	5047	4042	1005
L10588	6	-46,8009504	-23,6373445	4245	0,1413	2,1583	6570	4764	1806
L10589	2	-46,8072552	-23,6270088	2689	0,0744	0,7194	3872	3019	853
L10590	4	-46,8073270	-23,6405439	3740	0,107	1,4388	5849	4307	1542
L10591	3	-46,8039612	-23,6330861	2777	0,108	1,0791	4080	3066	1014
L10592	21	-46,7863878	-23,6345081	1261	1,6653	7,554	1906	1499	407
L10593	2	-46,7994842	-23,6414914	2083	0,096	0,7194	3124	2429	695
L10594	4	-46,7853594	-23,6290943	1942	0,206	1,4388	3077	2204	873
L10595	8	-46,7960960	-23,6419739	3840	0,2083	2,8777	5670	4383	1287
L10596	7	-46,8008753	-23,6256588	3185	0,2198	2,518	4598	3614	984
L10597	1	-46,8009875	-23,6245414	1440	0,0694	0,3597	2047	1666	381
L10598	17	-46,7916728	-23,6338000	3538	0,4805	6,1151	5399	3980	1419
L10599	1	-46,8098529	-23,6306390	3008	0,0332	0,3597	4278	3395	883
L10600	16	-46,7840828	-23,6325436	2719	0,5885	5,7554	4033	3100	933
L10601	6	-46,8006497	-23,6375795	3366	0,1783	2,1583	5039	3847	1192
L10602	4	-46,7901850	-23,6228220	2391	0,1673	1,4388	3468	2743	725
L10603	1	-46,7957830	-23,6441530	1398	0,0715	0,3597	1953	1532	421
L10604	2	-46,7941453	-23,6322846	1565	0,1278	0,7194	2299	1792	507
L10605	6	-46,8001350	-23,6299000	3200	0,1875	2,1583	4646	3629	1017
L10606	1	-46,7921549	-23,6189086	1201	0,0833	0,3597	1739	1392	347
L10607	5	-46,7988990	-23,6410980	2412	0,2073	1,7986	3976	2760	1216
L10608	1	-46,8093957	-23,6268763	3319	0,0301	0,3597	4548	3686	862
