cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07636	1	-46,7626063	-23,6048929	2672	0,0374	0,3676	4702	3189	1513
L07639	1	-46,7827047	-23,6201088	3405	0,0294	0,3676	5349	3964	1385
L07642	1	-46,7643999	-23,6176012	2434	0,0411	0,3676	4058	2818	1240
L07646	1	-46,7761739	-23,6267542	3367	0,0297	0,3676	4997	3835	1162
L07652	1	-46,7595412	-23,6022576	1946	0,0514	0,3676	3143	2320	823
L07654	1	-46,7797112	-23,6241566	1102	0,0907	0,3676	1624	1264	360
L07656	2	-46,7636702	-23,6131931	1337	0,1496	0,7353	1921	1551	370
L10579	7	-46,7977850	-23,6318560	3846	0,182	2,5735	5743	4381	1362
L10580	2	-46,7981108	-23,6391481	2329	0,0859	0,7353	3699	2615	1084
L10581	1	-46,7908036	-23,6354525	3575	0,028	0,3676	5342	4185	1157
L10585	1	-46,7974580	-23,6235430	3484	0,0287	0,3676	5004	3946	1058
L10586	1	-46,7963236	-23,6113818	1098	0,0911	0,3676	1542	1213	329
L10587	5	-46,8039420	-23,6189720	3530	0,1416	1,8382	5047	4042	1005
L10588	1	-46,8009504	-23,6373445	4245	0,0236	0,3676	6570	4764	1806
L10589	67	-46,8072552	-23,6270088	2689	2,4916	24,6324	3872	3019	853
L10590	1	-46,8073270	-23,6405439	3740	0,0267	0,3676	5849	4307	1542
L10591	10	-46,8039612	-23,6330861	2777	0,3601	3,6765	4080	3066	1014
L10593	1	-46,7994842	-23,6414914	2083	0,048	0,3676	3124	2429	695
L10594	3	-46,7853594	-23,6290943	1942	0,1545	1,1029	3077	2204	873
L10595	2	-46,7960960	-23,6419739	3840	0,0521	0,7353	5670	4383	1287
L10596	5	-46,8008753	-23,6256588	3185	0,157	1,8382	4598	3614	984
L10597	1	-46,8009875	-23,6245414	1440	0,0694	0,3676	2047	1666	381
L10599	40	-46,8098529	-23,6306390	3008	1,3298	14,7059	4278	3395	883
L10601	2	-46,8006497	-23,6375795	3366	0,0594	0,7353	5039	3847	1192
L10602	2	-46,7901850	-23,6228220	2391	0,0836	0,7353	3468	2743	725
L10603	1	-46,7957830	-23,6441530	1398	0,0715	0,3676	1953	1532	421
L10605	8	-46,8001350	-23,6299000	3200	0,25	2,9412	4646	3629	1017
L10608	103	-46,8093957	-23,6268763	3319	3,1033	37,8676	4548	3686	862
