cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07637	2	-46,7600020	-23,6002290	1777	0,1125	5,0	2922	2049	873
L07638	5	-46,7827528	-23,6145247	2870	0,1742	12,5	4677	3286	1391
L07639	4	-46,7827047	-23,6201088	3405	0,1175	10,0	5349	3964	1385
L07641	1	-46,7632454	-23,5998904	2449	0,0408	2,5	4260	2966	1294
L07645	4	-46,7845487	-23,6207858	2606	0,1535	10,0	4218	3008	1210
L07656	1	-46,7636702	-23,6131931	1337	0,0748	2,5	1921	1551	370
L07658	1	-46,7823220	-23,6158939	1749	0,0572	2,5	2759	2034	725
L10581	2	-46,7908036	-23,6354525	3575	0,0559	5,0	5342	4185	1157
L10584	1	-46,7859320	-23,6346026	3061	0,0327	2,5	4589	3551	1038
L10585	2	-46,7974580	-23,6235430	3484	0,0574	5,0	5004	3946	1058
L10587	1	-46,8039420	-23,6189720	3530	0,0283	2,5	5047	4042	1005
L10598	8	-46,7916728	-23,6338000	3538	0,2261	20,0	5399	3980	1419
L10599	1	-46,8098529	-23,6306390	3008	0,0332	2,5	4278	3395	883
L10603	2	-46,7957830	-23,6441530	1398	0,1431	5,0	1953	1532	421
L10604	3	-46,7941453	-23,6322846	1565	0,1917	7,5	2299	1792	507
L10605	1	-46,8001350	-23,6299000	3200	0,0312	2,5	4646	3629	1017
L10607	1	-46,7988990	-23,6410980	2412	0,0415	2,5	3976	2760	1216
