cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	8	-46,7839050	-23,6244910	2761	0,2898	29,6296	4200	3119	1081
L07638	1	-46,7827528	-23,6145247	2870	0,0348	3,7037	4677	3286	1391
L07639	5	-46,7827047	-23,6201088	3405	0,1468	18,5185	5349	3964	1385
L07640	1	-46,7809841	-23,6226534	3206	0,0312	3,7037	5046	3616	1430
L07641	1	-46,7632454	-23,5998904	2449	0,0408	3,7037	4260	2966	1294
L07646	1	-46,7761739	-23,6267542	3367	0,0297	3,7037	4997	3835	1162
L07654	1	-46,7797112	-23,6241566	1102	0,0907	3,7037	1624	1264	360
L07658	1	-46,7823220	-23,6158939	1749	0,0572	3,7037	2759	2034	725
L10579	1	-46,7977850	-23,6318560	3846	0,026	3,7037	5743	4381	1362
L10581	1	-46,7908036	-23,6354525	3575	0,028	3,7037	5342	4185	1157
L10591	2	-46,8039612	-23,6330861	2777	0,072	7,4074	4080	3066	1014
L10602	1	-46,7901850	-23,6228220	2391	0,0418	3,7037	3468	2743	725
L10608	3	-46,8093957	-23,6268763	3319	0,0904	11,1111	4548	3686	862
